,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
49,9,1,True,57,0,4,0,True,active,2020-08-14 02:19:19+00:00,True,57,True,2020-08-14 03:15:45,2020
50,12,2,True,58,0,5,0,True,active,2020-08-14 03:14:07+00:00,True,58,True,2020-08-14 03:15:45,2020
51,9,0,True,59,0,10,0,True,active,2020-08-14 02:27:13+00:00,True,59,True,2020-08-14 03:15:45,2020
52,1,0,True,60,0,18,0,True,active,2020-08-14 03:09:07+00:00,True,60,False,2020-08-14 03:15:45,2020
53,5,0,True,61,0,14,0,True,active,2020-08-14 02:58:02+00:00,True,61,False,2020-08-14 03:15:45,2020
54,4,0,True,63,0,11,0,True,active,2020-08-14 02:31:08+00:00,True,63,False,2020-08-14 03:15:45,2020
55,7,2,True,64,0,10,0,True,active,2020-08-14 02:48:36+00:00,True,64,False,2020-08-14 03:15:45,2020
56,3,1,True,65,0,19,0,True,active,2020-08-14 02:21:20+00:00,True,65,False,2020-08-14 03:15:45,2020
57,13,2,True,66,0,0,0,True,active,2020-08-14 02:01:27+00:00,True,66,False,2020-08-14 03:15:45,2020
58,1,0,True,67,0,26,0,True,active,2020-08-14 03:08:13+00:00,True,67,True,2020-08-14 03:15:45,2020
59,14,1,True,68,0,4,0,True,active,2020-08-14 03:11:00+00:00,True,68,True,2020-08-14 03:15:45,2020
60,11,0,True,69,0,8,0,True,active,2020-08-14 02:46:03+00:00,True,69,True,2020-08-14 03:15:45,2020
61,16,0,True,70,0,7,0,True,active,2020-08-14 03:01:50+00:00,True,70,False,2020-08-14 03:15:45,2020
62,12,1,True,71,0,10,0,True,active,2020-08-14 02:51:51+00:00,True,71,False,2020-08-14 03:15:45,2020
63,0,0,True,72,0,23,0,True,active,2020-08-14 02:15:35+00:00,True,72,False,2020-08-14 03:15:45,2020
64,2,1,True,73,0,12,0,True,active,2020-08-14 02:59:54+00:00,True,73,False,2020-08-14 03:15:45,2020
65,4,1,True,74,0,14,0,True,active,2020-08-14 03:12:34+00:00,True,74,True,2020-08-14 03:15:45,2020
66,5,0,True,75,0,10,0,True,active,2020-08-14 02:22:37+00:00,True,75,False,2020-08-14 03:15:45,2020
67,10,1,True,76,0,6,0,True,active,2020-08-14 03:12:34+00:00,True,76,False,2020-08-14 03:15:45,2020
68,7,1,True,77,0,7,0,True,active,2020-08-14 03:04:06+00:00,True,77,False,2020-08-14 03:15:45,2020
69,18,0,True,78,0,1,0,True,active,2020-08-14 03:02:10+00:00,True,78,False,2020-08-14 03:15:45,2020
70,13,6,True,79,0,0,0,True,active,2020-08-14 03:13:14+00:00,True,79,False,2020-08-14 03:15:45,2020
71,6,1,True,80,0,28,0,True,active,2020-08-14 02:51:51+00:00,True,80,False,2020-08-14 03:15:45,2020
72,16,2,True,81,0,1,0,True,active,2020-08-14 03:08:54+00:00,True,81,False,2020-08-14 03:15:45,2020
73,3,0,True,82,0,12,0,True,active,2020-08-14 02:39:23+00:00,True,82,False,2020-08-14 03:15:45,2020
74,3,0,True,84,0,12,0,True,active,2020-08-14 03:10:36+00:00,True,84,False,2020-08-14 03:15:45,2020
75,2,0,True,85,0,17,0,True,active,2020-08-14 02:50:42+00:00,True,85,False,2020-08-14 03:15:45,2020
76,14,0,True,86,0,5,0,True,active,2020-08-14 03:09:23+00:00,True,86,False,2020-08-14 03:15:45,2020
77,14,0,True,87,0,1,0,True,active,2020-08-14 02:53:07+00:00,True,87,False,2020-08-14 03:15:45,2020
78,10,0,True,89,0,9,0,True,active,2020-08-14 02:02:47+00:00,True,89,False,2020-08-14 03:15:45,2020
79,18,1,True,90,0,0,0,True,active,2020-08-14 01:59:24+00:00,True,90,False,2020-08-14 03:15:45,2020
80,0,0,True,91,0,19,0,True,active,2020-08-14 02:59:43+00:00,True,91,False,2020-08-14 03:15:45,2020
81,10,0,True,92,0,9,0,True,active,2020-08-14 00:17:58+00:00,True,92,False,2020-08-14 03:15:45,2020
82,14,0,True,93,0,1,0,True,active,2020-08-14 00:45:30+00:00,True,93,False,2020-08-14 03:15:45,2020
83,5,0,True,94,0,6,0,True,active,2020-08-14 01:02:51+00:00,True,94,False,2020-08-14 03:15:45,2020
84,13,1,True,95,0,1,0,True,active,2020-08-14 03:12:36+00:00,True,95,False,2020-08-14 03:15:45,2020
85,13,1,True,96,0,5,0,True,active,2020-08-14 01:33:58+00:00,True,96,False,2020-08-14 03:15:45,2020
86,6,1,True,97,0,12,0,True,active,2020-08-14 02:57:31+00:00,True,97,False,2020-08-14 03:15:45,2020
87,11,0,True,98,0,12,0,True,active,2020-08-14 03:10:53+00:00,True,98,False,2020-08-14 03:15:45,2020
88,14,0,True,99,0,1,0,True,active,2020-08-14 01:44:19+00:00,True,99,False,2020-08-14 03:15:45,2020
89,21,2,True,100,0,2,0,True,active,2020-08-14 03:15:03+00:00,True,100,True,2020-08-14 03:15:45,2020
