,station_id,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_renting,eightd_has_available_keys,num_bikes_disabled,station_status,legacy_id,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
186,214,13,2020-08-21 23:08:47+00:00,0,0,True,False,0,active,214,True,True,2,,,2020-08-21 23:10:35,2020
187,215,8,2020-08-21 23:00:02+00:00,0,0,True,False,1,active,215,True,True,6,,,2020-08-21 23:10:35,2020
188,216,5,2020-08-21 06:54:34+00:00,0,0,True,False,0,active,216,True,True,14,,,2020-08-21 23:10:35,2020
189,217,17,2020-08-21 22:55:06+00:00,0,0,True,False,1,active,217,True,True,1,,,2020-08-21 23:10:35,2020
190,218,9,2020-08-21 23:07:49+00:00,0,0,True,False,0,active,218,True,True,6,,,2020-08-21 23:10:35,2020
191,219,9,2020-08-21 20:06:41+00:00,0,0,True,False,0,active,219,True,True,6,,,2020-08-21 23:10:35,2020
192,221,19,2020-08-21 22:39:57+00:00,0,0,True,False,0,active,221,True,True,0,,,2020-08-21 23:10:35,2020
193,222,11,2020-08-21 23:10:11+00:00,0,0,True,True,1,active,222,True,True,2,,,2020-08-21 23:10:35,2020
194,224,9,2020-08-21 23:02:08+00:00,0,0,True,False,1,active,224,True,True,7,,,2020-08-21 23:10:35,2020
195,225,1,2020-08-21 23:10:13+00:00,0,0,True,False,2,active,225,True,True,16,,,2020-08-21 23:10:35,2020
196,226,6,2020-08-21 23:06:45+00:00,0,0,True,False,1,active,226,True,True,8,,,2020-08-21 23:10:35,2020
197,227,16,2020-08-21 23:10:04+00:00,0,0,True,False,2,active,227,True,True,1,,,2020-08-21 23:10:35,2020
198,228,9,2020-08-21 23:04:42+00:00,0,0,True,False,0,active,228,True,True,10,,,2020-08-21 23:10:35,2020
199,232,10,2020-08-21 21:57:05+00:00,0,0,True,False,0,active,232,True,True,1,,,2020-08-21 23:10:35,2020
200,233,6,2020-08-21 23:02:42+00:00,0,0,True,False,0,active,233,True,True,9,,,2020-08-21 23:10:35,2020
201,234,15,2020-08-21 21:59:05+00:00,0,0,True,False,0,active,234,True,True,0,,,2020-08-21 23:10:35,2020
202,235,9,2020-08-21 22:06:28+00:00,0,0,True,False,0,active,235,True,True,6,,,2020-08-21 23:10:35,2020
203,236,2,2020-08-21 21:13:22+00:00,0,0,True,False,0,active,236,True,True,13,,,2020-08-21 23:10:35,2020
204,239,14,2020-08-21 22:57:10+00:00,0,0,True,False,1,active,239,True,True,0,,,2020-08-21 23:10:35,2020
205,255,10,2020-08-21 18:57:17+00:00,0,0,True,False,0,active,255,True,True,5,,,2020-08-21 23:10:35,2020
206,258,1,2020-08-21 23:09:45+00:00,0,0,True,False,0,active,258,True,True,14,,,2020-08-21 23:10:35,2020
207,259,7,2020-08-21 17:58:41+00:00,0,0,True,False,0,active,259,True,True,8,,,2020-08-21 23:10:35,2020
208,260,11,2020-08-21 23:00:46+00:00,0,0,True,False,0,active,260,True,True,4,,,2020-08-21 23:10:35,2020
209,271,11,2020-08-21 20:45:00+00:00,0,0,True,False,0,active,271,True,True,4,,,2020-08-21 23:10:35,2020
210,272,10,2020-08-21 20:22:33+00:00,0,0,True,False,0,active,272,True,True,9,,,2020-08-21 23:10:35,2020
211,273,17,2020-08-21 23:07:57+00:00,0,0,True,False,0,active,273,True,True,23,,,2020-08-21 23:10:35,2020
212,279,0,2020-08-21 22:09:37+00:00,0,0,True,False,0,active,279,True,True,19,,,2020-08-21 23:10:35,2020
213,280,6,2020-08-21 22:49:02+00:00,0,0,True,False,0,active,280,True,True,13,,,2020-08-21 23:10:35,2020
214,282,4,2020-08-21 22:58:51+00:00,0,0,True,False,0,active,282,True,True,11,,,2020-08-21 23:10:35,2020
215,296,14,2020-08-21 23:09:30+00:00,0,0,True,False,1,active,296,True,True,8,,,2020-08-21 23:10:35,2020
216,318,13,2020-08-21 23:09:17+00:00,0,0,True,False,0,active,318,True,True,6,,,2020-08-21 23:10:35,2020
217,319,23,2020-08-21 22:41:55+00:00,0,0,True,False,0,active,319,True,True,2,,,2020-08-21 23:10:35,2020
218,327,8,2020-08-21 22:43:59+00:00,0,0,True,False,0,active,327,True,True,7,,,2020-08-21 23:10:35,2020
219,328,8,2020-08-21 23:09:54+00:00,0,0,True,False,0,active,328,True,True,7,,,2020-08-21 23:10:35,2020
220,329,5,2020-08-21 22:54:28+00:00,0,0,True,False,0,active,329,True,True,10,,,2020-08-21 23:10:35,2020
221,330,7,2020-08-21 23:04:50+00:00,0,0,True,False,0,active,330,True,True,8,,,2020-08-21 23:10:35,2020
222,331,2,2020-08-21 23:01:58+00:00,0,0,True,False,0,active,331,True,True,13,,,2020-08-21 23:10:35,2020
223,332,13,2020-08-21 22:57:15+00:00,0,0,True,False,0,active,332,True,True,2,,,2020-08-21 23:10:35,2020
224,333,6,2020-08-21 22:55:35+00:00,0,0,True,False,0,active,333,True,True,19,,,2020-08-21 23:10:35,2020
