,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_ebikes_available,num_docks_disabled,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,station_id,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
331,False,448,0,0,0,True,active,True,6,5,True,448,2020-08-06 14:48:41+00:00,,,2020-08-06 22:02:50,2020
332,False,449,0,0,0,True,out_of_service,True,0,0,False,449,1970-01-02 00:00:00+00:00,,,2020-08-06 22:02:50,1970
333,False,450,0,0,0,True,active,True,0,15,True,450,2020-08-06 21:06:32+00:00,,,2020-08-06 22:02:50,2020
334,False,451,0,0,0,True,active,True,1,14,True,451,2020-08-06 20:41:26+00:00,,,2020-08-06 22:02:50,2020
335,False,452,0,0,0,True,active,True,3,12,True,452,2020-08-06 21:46:24+00:00,,,2020-08-06 22:02:50,2020
336,False,453,0,0,0,True,active,True,4,11,True,453,2020-08-06 21:41:31+00:00,,,2020-08-06 22:02:50,2020
337,False,454,0,0,0,True,active,True,13,2,True,454,2020-08-06 21:59:43+00:00,,,2020-08-06 22:02:50,2020
338,False,455,1,0,0,True,active,True,8,3,True,455,2020-08-06 21:38:57+00:00,,,2020-08-06 22:02:50,2020
339,False,456,0,0,0,True,active,True,4,15,True,456,2020-08-06 21:49:44+00:00,,,2020-08-06 22:02:50,2020
340,False,457,0,0,0,True,active,True,2,9,True,457,2020-08-06 21:53:17+00:00,,,2020-08-06 22:02:50,2020
341,False,458,0,0,0,True,active,True,1,10,True,458,2020-08-06 19:34:25+00:00,,,2020-08-06 22:02:50,2020
