,num_bikes_disabled,station_id,eightd_has_available_keys,last_reported,legacy_id,num_docks_disabled,num_ebikes_available,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
162,0,188,False,2020-08-04 13:32:32+00:00,188,0,0,True,active,True,5,10,True,,,2020-08-04 16:00:40,2020
163,1,189,False,2020-08-04 15:54:15+00:00,189,0,0,True,active,True,7,15,True,,,2020-08-04 16:00:40,2020
164,0,190,True,2020-08-04 15:50:09+00:00,190,0,0,True,active,True,1,36,True,,,2020-08-04 16:00:40,2020
165,0,191,False,2020-08-04 11:17:09+00:00,191,0,0,True,active,True,4,11,True,,,2020-08-04 16:00:40,2020
166,0,192,False,2020-08-04 15:37:22+00:00,192,0,0,True,active,True,9,10,True,,,2020-08-04 16:00:40,2020
167,1,193,True,2020-08-04 13:18:58+00:00,193,0,0,True,active,True,8,6,True,,,2020-08-04 16:00:40,2020
168,0,194,False,2020-08-04 10:24:18+00:00,194,0,0,True,active,True,7,12,True,,,2020-08-04 16:00:40,2020
169,1,195,False,2020-08-04 15:58:39+00:00,195,0,0,True,active,True,1,21,True,,,2020-08-04 16:00:40,2020
170,0,196,True,2020-08-04 12:59:07+00:00,196,0,0,True,active,True,1,9,True,,,2020-08-04 16:00:40,2020
171,0,197,False,2020-08-04 08:46:23+00:00,197,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
172,0,199,False,2020-08-04 10:28:56+00:00,199,0,0,True,active,True,12,3,True,,,2020-08-04 16:00:40,2020
173,1,200,False,2020-08-04 15:47:23+00:00,200,0,0,True,active,True,14,4,True,,,2020-08-04 16:00:40,2020
174,0,201,False,2020-08-04 12:17:44+00:00,201,0,0,True,active,True,0,15,True,,,2020-08-04 16:00:40,2020
175,0,202,False,2020-08-04 13:48:28+00:00,202,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
176,0,203,False,2020-08-04 08:21:44+00:00,203,0,0,True,active,True,6,9,True,,,2020-08-04 16:00:40,2020
177,0,204,False,2020-08-04 15:21:35+00:00,204,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
178,0,205,False,2020-08-04 08:49:49+00:00,205,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
179,0,206,False,2020-08-04 15:58:55+00:00,206,0,0,True,active,True,8,15,True,,,2020-08-04 16:00:40,2020
180,0,208,True,2020-08-04 15:52:09+00:00,208,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
181,0,209,False,2020-08-04 08:30:27+00:00,209,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
182,1,210,False,2020-08-04 12:03:09+00:00,210,0,0,True,active,True,1,13,True,,,2020-08-04 16:00:40,2020
183,0,211,False,2020-08-04 15:58:29+00:00,211,0,0,True,active,True,16,3,True,,,2020-08-04 16:00:40,2020
184,0,212,False,2020-08-04 15:17:56+00:00,212,0,0,True,active,True,24,9,True,,,2020-08-04 16:00:40,2020
185,0,213,True,2020-08-04 15:54:27+00:00,213,0,0,True,active,True,4,12,True,,,2020-08-04 16:00:40,2020
186,0,214,False,2020-08-04 15:57:58+00:00,214,0,0,True,active,True,8,7,True,,,2020-08-04 16:00:40,2020
187,0,215,False,2020-08-04 15:25:43+00:00,215,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
188,0,216,False,2020-08-04 08:31:15+00:00,216,0,0,True,active,True,12,7,True,,,2020-08-04 16:00:40,2020
189,1,217,False,2020-08-04 15:22:30+00:00,217,0,0,True,active,True,16,2,True,,,2020-08-04 16:00:40,2020
190,1,218,False,2020-08-04 15:38:22+00:00,218,0,0,True,active,True,4,10,True,,,2020-08-04 16:00:40,2020
191,0,219,False,2020-08-04 08:56:33+00:00,219,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
192,0,221,False,2020-08-04 15:57:33+00:00,221,0,0,True,active,True,3,16,True,,,2020-08-04 16:00:40,2020
193,0,222,True,2020-08-04 15:22:48+00:00,222,0,0,True,active,True,2,12,True,,,2020-08-04 16:00:40,2020
194,1,224,False,2020-08-04 12:04:31+00:00,224,0,0,True,active,True,3,13,True,,,2020-08-04 16:00:40,2020
195,0,225,False,2020-08-04 15:08:27+00:00,225,0,0,True,active,True,1,18,True,,,2020-08-04 16:00:40,2020
196,1,226,False,2020-08-04 15:22:21+00:00,226,0,0,True,active,True,0,14,True,,,2020-08-04 16:00:40,2020
197,0,227,False,2020-08-04 15:51:38+00:00,227,0,0,True,active,True,4,15,True,,,2020-08-04 16:00:40,2020
198,1,228,False,2020-08-04 15:11:22+00:00,228,0,0,True,active,True,15,3,True,,,2020-08-04 16:00:40,2020
199,0,232,False,2020-08-04 15:49:48+00:00,232,0,0,True,active,True,4,7,True,,,2020-08-04 16:00:40,2020
200,1,233,False,2020-08-04 16:00:36+00:00,233,0,0,True,active,True,4,10,True,,,2020-08-04 16:00:40,2020
201,0,234,False,2020-08-04 15:50:41+00:00,234,0,0,True,active,True,1,14,True,,,2020-08-04 16:00:40,2020
202,0,235,False,2020-08-04 15:46:55+00:00,235,0,0,True,active,True,0,15,True,,,2020-08-04 16:00:40,2020
203,0,236,False,2020-08-04 13:24:20+00:00,236,0,0,True,active,True,8,7,True,,,2020-08-04 16:00:40,2020
204,0,239,False,2020-08-04 15:57:44+00:00,239,0,0,True,active,True,8,7,True,,,2020-08-04 16:00:40,2020
205,0,255,False,2020-08-04 09:01:20+00:00,255,0,0,True,active,True,11,4,True,,,2020-08-04 16:00:40,2020
206,0,258,False,2020-08-04 12:34:55+00:00,258,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
207,0,259,False,2020-08-04 09:01:37+00:00,259,0,0,True,active,True,0,15,True,,,2020-08-04 16:00:40,2020
208,0,260,False,2020-08-04 14:43:10+00:00,260,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
209,0,271,False,2020-08-04 15:55:00+00:00,271,0,0,True,active,True,6,9,True,,,2020-08-04 16:00:40,2020
210,0,272,False,2020-08-04 09:00:19+00:00,272,0,0,True,active,True,6,13,True,,,2020-08-04 16:00:40,2020
211,1,273,False,2020-08-04 15:48:47+00:00,273,0,0,True,active,True,30,9,True,,,2020-08-04 16:00:40,2020
212,0,279,False,2020-08-04 15:33:50+00:00,279,0,0,True,active,True,4,15,True,,,2020-08-04 16:00:40,2020
213,0,280,False,2020-08-04 12:31:48+00:00,280,0,0,True,active,True,0,19,True,,,2020-08-04 16:00:40,2020
214,0,282,False,2020-08-04 14:56:51+00:00,282,0,0,True,active,True,9,6,True,,,2020-08-04 16:00:40,2020
215,1,296,False,2020-08-04 15:51:47+00:00,296,0,0,True,active,True,8,14,True,,,2020-08-04 16:00:40,2020
216,0,318,False,2020-08-04 15:24:02+00:00,318,0,0,True,active,True,19,0,True,,,2020-08-04 16:00:40,2020
217,0,319,False,2020-08-04 15:35:20+00:00,319,0,0,True,active,True,10,15,True,,,2020-08-04 16:00:40,2020
218,0,327,False,2020-08-04 15:06:23+00:00,327,0,0,True,active,True,6,9,True,,,2020-08-04 16:00:40,2020
219,0,328,False,2020-08-04 16:00:21+00:00,328,0,0,True,active,True,6,9,True,,,2020-08-04 16:00:40,2020
220,0,329,False,2020-08-04 15:36:44+00:00,329,0,0,True,active,True,9,6,True,,,2020-08-04 16:00:40,2020
