,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
105,19,True,0,1,116,116,active,False,0,True,True,3,2020-08-07 03:04:41+00:00,,,2020-08-07 03:51:25,2020
106,19,True,0,0,117,117,active,False,0,True,True,0,2020-08-07 01:46:59+00:00,,,2020-08-07 03:51:25,2020
107,17,True,0,0,118,118,active,False,0,True,True,2,2020-08-07 02:06:32+00:00,,,2020-08-07 03:51:25,2020
108,15,True,0,0,119,119,active,False,0,True,True,0,2020-08-07 03:30:14+00:00,,,2020-08-07 03:51:25,2020
109,10,True,0,0,120,120,active,False,0,True,True,5,2020-08-07 03:43:32+00:00,,,2020-08-07 03:51:25,2020
110,17,True,0,0,121,121,active,False,0,True,True,0,2020-08-07 03:15:35+00:00,,,2020-08-07 03:51:25,2020
111,4,True,0,0,122,122,active,False,0,True,True,11,2020-08-07 01:24:19+00:00,,,2020-08-07 03:51:25,2020
112,6,True,0,0,124,124,active,False,0,True,True,9,2020-08-07 01:17:04+00:00,,,2020-08-07 03:51:25,2020
113,9,True,0,1,125,125,active,False,0,True,True,5,2020-08-07 01:05:00+00:00,,,2020-08-07 03:51:25,2020
114,7,True,0,0,126,126,active,False,0,True,True,8,2020-08-06 22:31:13+00:00,,,2020-08-07 03:51:25,2020
115,14,True,0,1,128,128,active,False,0,True,True,4,2020-08-07 03:50:20+00:00,,,2020-08-07 03:51:25,2020
116,15,True,0,1,129,129,active,False,0,True,True,3,2020-08-06 23:13:49+00:00,,,2020-08-07 03:51:25,2020
117,12,True,0,1,130,130,active,False,0,True,True,2,2020-08-07 03:25:34+00:00,,,2020-08-07 03:51:25,2020
118,9,True,0,2,131,131,active,False,0,True,True,7,2020-08-07 03:47:16+00:00,,,2020-08-07 03:51:25,2020
119,11,True,0,0,133,133,active,False,0,True,True,12,2020-08-07 00:34:22+00:00,,,2020-08-07 03:51:25,2020
