,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,timestamp_of_data_read_request,year_station_last_reported
294,True,406,1,False,18,True,406,0,True,0,0,active,2020-08-18 21:11:01+00:00,2020-08-18 23:19:40,2020
295,True,407,15,False,4,True,407,0,True,0,0,active,2020-08-18 23:19:02+00:00,2020-08-18 23:19:40,2020
296,True,408,10,False,4,True,408,1,True,0,0,active,2020-08-18 22:27:13+00:00,2020-08-18 23:19:40,2020
297,True,409,4,False,15,True,409,0,True,0,0,active,2020-08-18 23:17:49+00:00,2020-08-18 23:19:40,2020
298,True,410,13,False,6,True,410,0,True,0,0,active,2020-08-18 21:53:12+00:00,2020-08-18 23:19:40,2020
299,True,411,13,False,2,True,411,0,True,0,0,active,2020-08-18 22:12:23+00:00,2020-08-18 23:19:40,2020
300,True,412,8,False,11,True,412,0,True,0,0,active,2020-08-18 23:16:31+00:00,2020-08-18 23:19:40,2020
301,True,413,17,False,2,True,413,0,True,0,0,active,2020-08-18 23:14:44+00:00,2020-08-18 23:19:40,2020
302,True,414,20,False,3,True,414,0,True,0,0,active,2020-08-18 22:19:59+00:00,2020-08-18 23:19:40,2020
303,True,415,14,False,5,True,415,0,True,0,0,active,2020-08-18 23:16:59+00:00,2020-08-18 23:19:40,2020
304,True,416,12,False,0,True,416,3,True,0,0,active,2020-08-18 23:10:51+00:00,2020-08-18 23:19:40,2020
305,True,417,12,False,7,True,417,0,True,0,0,active,2020-08-18 23:17:59+00:00,2020-08-18 23:19:40,2020
306,True,419,8,False,7,True,419,0,True,0,0,active,2020-08-18 23:05:52+00:00,2020-08-18 23:19:40,2020
307,False,420,0,False,0,False,420,0,False,0,0,out_of_service,1970-01-02 00:00:00+00:00,2020-08-18 23:19:40,1970
308,True,421,0,False,19,True,421,0,True,0,0,active,2020-08-17 16:27:03+00:00,2020-08-18 23:19:40,2020
309,True,422,8,False,6,True,422,1,True,0,0,active,2020-08-18 15:24:57+00:00,2020-08-18 23:19:40,2020
310,True,423,11,False,8,True,423,0,True,0,0,active,2020-08-18 23:10:29+00:00,2020-08-18 23:19:40,2020
311,True,424,17,False,2,True,424,0,True,0,0,active,2020-08-18 21:17:04+00:00,2020-08-18 23:19:40,2020
312,True,425,16,False,0,True,425,0,True,0,0,active,2020-08-18 22:46:58+00:00,2020-08-18 23:19:40,2020
313,True,426,23,False,4,True,426,0,True,0,0,active,2020-08-18 23:15:36+00:00,2020-08-18 23:19:40,2020
314,True,427,18,False,1,True,427,0,True,0,0,active,2020-08-18 14:14:07+00:00,2020-08-18 23:19:40,2020
315,True,428,14,False,4,True,428,1,True,0,0,active,2020-08-18 23:06:35+00:00,2020-08-18 23:19:40,2020
316,True,430,3,False,16,True,430,0,True,0,0,active,2020-08-18 22:24:09+00:00,2020-08-18 23:19:40,2020
317,True,431,14,False,1,True,431,0,True,0,0,active,2020-08-18 15:50:09+00:00,2020-08-18 23:19:40,2020
318,True,432,14,False,5,True,432,0,True,0,0,active,2020-08-18 22:49:55+00:00,2020-08-18 23:19:40,2020
319,True,433,16,False,3,True,433,0,True,0,0,active,2020-08-18 08:58:55+00:00,2020-08-18 23:19:40,2020
