,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
141,11,active,0,False,4,0,True,True,2020-08-11 22:29:17+00:00,162,True,162,0,2020-08-12 00:47:25,2020
142,9,active,0,True,10,0,True,True,2020-08-12 00:22:12+00:00,163,True,163,0,2020-08-12 00:47:25,2020
143,9,active,0,False,6,0,True,True,2020-08-12 00:23:28+00:00,167,True,167,0,2020-08-12 00:47:25,2020
144,10,active,0,False,9,0,True,True,2020-08-12 00:23:04+00:00,169,True,169,0,2020-08-12 00:47:25,2020
145,11,active,0,True,2,0,True,True,2020-08-12 00:06:07+00:00,170,True,170,1,2020-08-12 00:47:25,2020
146,14,active,0,True,9,0,True,True,2020-08-12 00:25:43+00:00,171,True,171,0,2020-08-12 00:47:25,2020
147,6,active,0,True,8,0,True,True,2020-08-12 00:16:57+00:00,173,True,173,0,2020-08-12 00:47:25,2020
148,4,active,0,False,10,0,True,True,2020-08-12 00:27:05+00:00,174,True,174,1,2020-08-12 00:47:25,2020
149,11,active,0,True,6,0,True,True,2020-08-12 00:23:28+00:00,175,True,175,0,2020-08-12 00:47:25,2020
150,0,active,0,False,15,0,True,True,2020-08-11 23:12:55+00:00,176,True,176,0,2020-08-12 00:47:25,2020
151,14,active,0,False,5,0,True,True,2020-08-12 00:44:44+00:00,177,True,177,0,2020-08-12 00:47:25,2020
152,14,active,0,False,5,0,True,True,2020-08-12 00:40:14+00:00,178,True,178,0,2020-08-12 00:47:25,2020
153,16,active,0,False,8,0,True,True,2020-08-12 00:25:06+00:00,179,True,179,1,2020-08-12 00:47:25,2020
154,5,active,0,False,13,0,True,True,2020-08-12 00:10:58+00:00,180,True,180,1,2020-08-12 00:47:25,2020
155,6,active,0,False,13,0,True,True,2020-08-12 00:16:37+00:00,181,True,181,0,2020-08-12 00:47:25,2020
156,13,active,0,True,6,0,True,True,2020-08-12 00:03:25+00:00,182,True,182,0,2020-08-12 00:47:25,2020
157,10,active,0,False,8,0,True,True,2020-08-11 23:55:17+00:00,183,True,183,1,2020-08-12 00:47:25,2020
158,8,active,0,False,9,0,True,True,2020-08-12 00:16:32+00:00,184,True,184,2,2020-08-12 00:47:25,2020
159,0,active,0,False,15,0,True,True,2020-08-12 00:03:05+00:00,185,True,185,0,2020-08-12 00:47:25,2020
