,num_bikes_available,valet,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
160,1,,2020-08-02 17:35:42+00:00,True,185,0,active,0,0,185,True,True,False,14,,2020-08-02 17:47:25,2020
161,3,,2020-08-02 17:26:05+00:00,True,186,1,active,0,0,186,True,True,True,11,,2020-08-02 17:47:25,2020
162,14,,2020-08-02 15:10:37+00:00,True,187,0,active,0,0,187,True,True,False,1,,2020-08-02 17:47:25,2020
163,6,,2020-08-02 17:02:17+00:00,True,188,0,active,0,0,188,True,True,False,9,,2020-08-02 17:47:25,2020
164,6,,2020-08-02 17:38:23+00:00,True,189,0,active,0,0,189,True,True,True,17,,2020-08-02 17:47:25,2020
165,4,,2020-08-02 17:32:33+00:00,True,190,8,active,0,0,190,True,True,True,25,,2020-08-02 17:47:25,2020
166,3,,2020-08-02 17:02:01+00:00,True,191,0,active,0,0,191,True,True,False,12,,2020-08-02 17:47:25,2020
167,1,,2020-08-02 13:48:47+00:00,True,192,0,active,0,0,192,True,True,False,18,,2020-08-02 17:47:25,2020
168,7,,2020-08-02 17:16:27+00:00,True,193,1,active,0,0,193,True,True,True,7,,2020-08-02 17:47:25,2020
169,8,,2020-08-02 15:56:56+00:00,True,194,0,active,0,0,194,True,True,False,11,,2020-08-02 17:47:25,2020
170,8,,2020-08-02 17:34:05+00:00,True,195,0,active,0,0,195,True,True,False,15,,2020-08-02 17:47:25,2020
171,0,,2020-08-02 13:31:37+00:00,True,196,1,active,0,0,196,True,True,True,9,,2020-08-02 17:47:25,2020
172,0,,2020-08-02 15:54:35+00:00,True,197,0,active,0,0,197,True,True,False,15,,2020-08-02 17:47:25,2020
173,13,,2020-08-02 08:43:22+00:00,True,199,2,active,0,0,199,True,True,False,0,,2020-08-02 17:47:25,2020
174,14,,2020-08-02 15:59:20+00:00,True,200,0,active,0,0,200,True,True,False,5,,2020-08-02 17:47:25,2020
175,0,,2020-08-02 15:17:02+00:00,True,201,0,active,0,0,201,True,True,False,15,,2020-08-02 17:47:25,2020
176,4,,2020-08-02 16:18:36+00:00,True,202,1,active,0,0,202,True,True,False,10,,2020-08-02 17:47:25,2020
177,6,,2020-08-02 09:38:12+00:00,True,203,0,active,0,0,203,True,True,False,9,,2020-08-02 17:47:25,2020
178,7,,2020-08-02 17:39:49+00:00,True,204,0,active,0,0,204,True,True,False,8,,2020-08-02 17:47:25,2020
179,4,,2020-08-02 15:38:39+00:00,True,205,0,active,0,0,205,True,True,False,11,,2020-08-02 17:47:25,2020
180,1,,2020-08-02 17:45:20+00:00,True,206,0,active,0,0,206,True,True,False,22,,2020-08-02 17:47:25,2020
181,13,,2020-08-02 17:46:59+00:00,True,208,0,active,0,0,208,True,True,True,2,,2020-08-02 17:47:25,2020
182,10,,2020-08-02 12:12:21+00:00,True,209,1,active,0,0,209,True,True,False,4,,2020-08-02 17:47:25,2020
183,3,,2020-08-02 17:39:12+00:00,True,210,0,active,0,0,210,True,True,False,12,,2020-08-02 17:47:25,2020
184,14,,2020-08-02 16:41:03+00:00,True,211,2,active,0,0,211,True,True,False,3,,2020-08-02 17:47:25,2020
185,16,,2020-08-02 17:25:45+00:00,True,212,0,active,0,0,212,True,True,False,17,,2020-08-02 17:47:25,2020
186,2,,2020-08-02 08:54:10+00:00,True,213,0,active,0,0,213,True,True,True,14,,2020-08-02 17:47:25,2020
187,15,,2020-08-02 17:25:59+00:00,True,214,0,active,0,0,214,True,True,False,0,,2020-08-02 17:47:25,2020
188,10,,2020-08-02 17:27:39+00:00,True,215,0,active,0,0,215,True,True,False,5,,2020-08-02 17:47:25,2020
189,16,,2020-08-02 13:00:29+00:00,True,216,0,active,0,0,216,True,True,False,3,,2020-08-02 17:47:25,2020
190,7,,2020-08-02 17:30:24+00:00,True,217,0,active,0,0,217,True,True,False,12,,2020-08-02 17:47:25,2020
191,11,,2020-08-02 17:36:14+00:00,True,218,2,active,0,0,218,True,True,False,2,,2020-08-02 17:47:25,2020
192,14,,2020-08-02 17:30:33+00:00,True,219,1,active,0,0,219,True,True,False,0,,2020-08-02 17:47:25,2020
193,17,,2020-08-02 17:43:02+00:00,True,221,0,active,0,0,221,True,True,False,2,,2020-08-02 17:47:25,2020
194,1,,2020-08-02 17:42:04+00:00,True,222,0,active,0,0,222,True,True,True,13,,2020-08-02 17:47:25,2020
195,11,,2020-08-02 17:04:05+00:00,True,224,0,active,0,0,224,True,True,False,6,,2020-08-02 17:47:25,2020
196,12,,2020-08-02 17:36:18+00:00,True,225,1,active,0,0,225,True,True,False,6,,2020-08-02 17:47:25,2020
197,2,,2020-08-02 17:26:57+00:00,True,226,1,active,0,0,226,True,True,False,12,,2020-08-02 17:47:25,2020
198,2,,2020-08-02 17:46:28+00:00,True,227,1,active,0,0,227,True,True,False,16,,2020-08-02 17:47:25,2020
199,8,,2020-08-02 16:20:14+00:00,True,228,1,active,0,0,228,True,True,False,10,,2020-08-02 17:47:25,2020
200,5,,2020-08-02 16:25:15+00:00,True,232,0,active,0,0,232,True,True,False,6,,2020-08-02 17:47:25,2020
201,13,,2020-08-02 17:05:29+00:00,True,233,2,active,0,0,233,True,True,False,0,,2020-08-02 17:47:25,2020
202,8,,2020-08-02 17:11:44+00:00,True,234,0,active,0,0,234,True,True,False,7,,2020-08-02 17:47:25,2020
203,6,,2020-08-02 16:51:19+00:00,True,235,0,active,0,0,235,True,True,False,9,,2020-08-02 17:47:25,2020
204,9,,2020-08-02 17:23:42+00:00,True,236,0,active,0,0,236,True,True,False,6,,2020-08-02 17:47:25,2020
205,8,,2020-08-02 16:53:29+00:00,True,239,0,active,0,0,239,True,True,False,7,,2020-08-02 17:47:25,2020
206,10,,2020-08-02 15:35:52+00:00,True,255,0,active,0,0,255,True,True,False,5,,2020-08-02 17:47:25,2020
207,15,,2020-08-02 16:06:51+00:00,True,258,0,active,0,0,258,True,True,False,0,,2020-08-02 17:47:25,2020
208,0,,2020-08-02 08:54:33+00:00,True,259,0,active,0,0,259,True,True,False,15,,2020-08-02 17:47:25,2020
209,0,,2020-08-02 17:41:26+00:00,True,260,0,active,0,0,260,True,True,False,15,,2020-08-02 17:47:25,2020
210,10,,2020-08-02 17:08:15+00:00,True,271,0,active,0,0,271,True,True,False,5,,2020-08-02 17:47:25,2020
211,4,,2020-08-02 13:23:04+00:00,True,272,0,active,0,0,272,True,True,False,15,,2020-08-02 17:47:25,2020
212,35,,2020-08-02 17:43:15+00:00,True,273,0,active,0,0,273,True,True,False,5,,2020-08-02 17:47:25,2020
213,0,,2020-08-02 17:39:24+00:00,True,279,0,active,0,0,279,True,True,False,19,,2020-08-02 17:47:25,2020
214,9,,2020-08-02 17:29:59+00:00,True,280,1,active,0,0,280,True,True,False,9,,2020-08-02 17:47:25,2020
215,6,,2020-08-02 17:21:18+00:00,True,282,2,active,0,0,282,True,True,False,7,,2020-08-02 17:47:25,2020
216,8,,2020-08-02 17:25:15+00:00,True,318,0,active,0,0,318,True,True,False,11,,2020-08-02 17:47:25,2020
217,8,,2020-08-02 17:09:43+00:00,True,319,0,active,0,0,319,True,True,False,17,,2020-08-02 17:47:25,2020
218,3,,2020-08-02 17:18:39+00:00,True,327,0,active,0,0,327,True,True,False,12,,2020-08-02 17:47:25,2020
