,station_status,num_docks_disabled,is_returning,eightd_has_available_keys,num_ebikes_available,num_docks_available,is_installed,station_id,legacy_id,num_bikes_available,last_reported,is_renting,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
156,active,0,True,True,0,16,True,182,182,3,2020-08-12 15:41:46+00:00,True,0,2020-08-12 18:24:20,2020
157,active,0,True,False,0,12,True,183,183,7,2020-08-12 17:38:28+00:00,True,0,2020-08-12 18:24:20,2020
158,active,0,True,False,0,9,True,184,184,10,2020-08-12 17:36:58+00:00,True,0,2020-08-12 18:24:20,2020
159,active,0,True,False,0,5,True,185,185,10,2020-08-12 18:00:17+00:00,True,0,2020-08-12 18:24:20,2020
160,active,0,True,True,0,8,True,186,186,7,2020-08-12 18:01:33+00:00,True,0,2020-08-12 18:24:20,2020
161,active,0,True,False,0,8,True,187,187,7,2020-08-12 17:39:51+00:00,True,0,2020-08-12 18:24:20,2020
162,active,0,True,False,0,0,True,188,188,15,2020-08-12 13:30:54+00:00,True,0,2020-08-12 18:24:20,2020
163,active,0,True,True,0,9,True,189,189,14,2020-08-12 18:24:06+00:00,True,0,2020-08-12 18:24:20,2020
164,active,0,True,True,0,30,True,190,190,6,2020-08-12 17:49:24+00:00,True,1,2020-08-12 18:24:20,2020
165,active,0,True,False,0,11,True,191,191,4,2020-08-12 17:01:46+00:00,True,0,2020-08-12 18:24:20,2020
166,active,0,True,False,0,9,True,192,192,10,2020-08-12 18:05:04+00:00,True,0,2020-08-12 18:24:20,2020
167,active,0,True,False,0,8,True,193,193,5,2020-08-12 17:41:44+00:00,True,2,2020-08-12 18:24:20,2020
168,active,0,True,False,0,17,True,194,194,2,2020-08-12 17:43:20+00:00,True,0,2020-08-12 18:24:20,2020
169,active,0,True,False,0,16,True,195,195,7,2020-08-12 18:23:29+00:00,True,0,2020-08-12 18:24:20,2020
170,active,0,True,True,0,10,True,196,196,0,2020-08-12 18:10:07+00:00,True,0,2020-08-12 18:24:20,2020
171,active,0,True,False,0,10,True,197,197,5,2020-08-12 13:30:48+00:00,True,0,2020-08-12 18:24:20,2020
172,active,0,True,False,0,13,True,199,199,2,2020-08-12 16:56:33+00:00,True,0,2020-08-12 18:24:20,2020
173,active,0,True,False,0,2,True,200,200,16,2020-08-12 17:15:20+00:00,True,1,2020-08-12 18:24:20,2020
174,active,0,True,False,0,15,True,201,201,0,2020-08-12 12:04:48+00:00,True,0,2020-08-12 18:24:20,2020
175,active,0,True,False,0,10,True,202,202,5,2020-08-12 08:28:22+00:00,True,0,2020-08-12 18:24:20,2020
176,active,0,True,False,0,14,True,203,203,1,2020-08-12 08:43:55+00:00,True,0,2020-08-12 18:24:20,2020
177,active,0,True,False,0,15,True,204,204,0,2020-08-12 12:58:21+00:00,True,0,2020-08-12 18:24:20,2020
178,active,0,True,False,0,13,True,205,205,2,2020-08-12 14:46:58+00:00,True,0,2020-08-12 18:24:20,2020
179,active,0,True,True,0,16,True,206,206,6,2020-08-12 16:58:50+00:00,True,1,2020-08-12 18:24:20,2020
180,active,0,True,True,0,11,True,208,208,3,2020-08-12 18:02:28+00:00,True,1,2020-08-12 18:24:20,2020
181,active,0,True,False,0,10,True,209,209,5,2020-08-12 17:41:40+00:00,True,0,2020-08-12 18:24:20,2020
182,active,0,True,False,0,14,True,210,210,1,2020-08-12 12:40:11+00:00,True,0,2020-08-12 18:24:20,2020
183,active,0,True,False,0,13,True,211,211,6,2020-08-12 17:00:36+00:00,True,0,2020-08-12 18:24:20,2020
184,active,0,True,False,0,3,True,212,212,29,2020-08-12 13:41:52+00:00,True,1,2020-08-12 18:24:20,2020
185,active,0,True,True,0,11,True,213,213,5,2020-08-12 18:15:14+00:00,True,0,2020-08-12 18:24:20,2020
186,active,0,True,False,0,13,True,214,214,2,2020-08-12 17:45:52+00:00,True,0,2020-08-12 18:24:20,2020
187,active,0,True,False,0,8,True,215,215,6,2020-08-12 17:08:48+00:00,True,1,2020-08-12 18:24:20,2020
188,active,0,True,False,0,1,True,216,216,17,2020-08-12 16:28:35+00:00,True,1,2020-08-12 18:24:20,2020
