,station_id,is_returning,legacy_id,station_status,last_reported,num_ebikes_available,eightd_has_available_keys,is_renting,num_docks_available,num_bikes_disabled,num_bikes_available,is_installed,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
113,125,True,125,active,2020-07-31 17:27:56+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
114,126,True,126,active,2020-07-31 16:33:45+00:00,0,False,True,7,0,8,True,0,,,2020-07-31 17:35:00,2020
115,128,True,128,active,2020-07-31 17:29:42+00:00,0,False,True,8,1,10,True,0,,,2020-07-31 17:35:00,2020
116,129,True,129,active,2020-07-31 15:43:47+00:00,0,False,True,10,0,9,True,0,,,2020-07-31 17:35:00,2020
117,130,True,130,active,2020-07-31 17:09:30+00:00,0,False,True,3,0,12,True,0,,,2020-07-31 17:35:00,2020
118,131,True,131,active,2020-07-31 16:42:51+00:00,0,False,True,9,3,6,True,0,,,2020-07-31 17:35:00,2020
119,133,True,133,active,2020-07-31 17:05:43+00:00,0,False,True,11,0,12,True,0,,,2020-07-31 17:35:00,2020
120,135,True,135,active,2020-07-31 14:14:47+00:00,0,False,True,10,0,7,True,0,,,2020-07-31 17:35:00,2020
121,136,True,136,active,2020-07-31 15:12:30+00:00,0,False,True,6,0,13,True,0,,,2020-07-31 17:35:00,2020
122,137,True,137,active,2020-07-31 16:48:32+00:00,0,False,True,10,0,5,True,0,,,2020-07-31 17:35:00,2020
123,138,True,138,active,2020-07-31 17:21:47+00:00,0,False,True,0,1,14,True,0,,,2020-07-31 17:35:00,2020
124,139,True,139,active,2020-07-31 17:23:57+00:00,0,False,True,17,0,2,True,0,,,2020-07-31 17:35:00,2020
125,140,True,140,active,2020-07-31 16:39:44+00:00,0,False,True,11,0,6,True,0,,,2020-07-31 17:35:00,2020
126,141,True,141,active,2020-07-31 17:33:23+00:00,0,False,True,12,0,3,True,0,,,2020-07-31 17:35:00,2020
127,142,True,142,active,2020-07-31 17:21:17+00:00,0,False,True,4,1,18,True,0,,,2020-07-31 17:35:00,2020
128,143,True,143,active,2020-07-31 17:04:39+00:00,0,False,True,9,1,13,True,0,,,2020-07-31 17:35:00,2020
129,144,True,144,active,2020-07-31 17:34:13+00:00,0,False,True,15,0,4,True,0,,,2020-07-31 17:35:00,2020
130,145,True,145,active,2020-07-31 15:38:31+00:00,0,False,True,13,0,6,True,0,,,2020-07-31 17:35:00,2020
131,146,True,146,active,2020-07-31 17:21:49+00:00,0,False,True,6,2,11,True,0,,,2020-07-31 17:35:00,2020
132,149,True,149,active,2020-07-31 17:21:45+00:00,0,True,True,17,0,1,True,0,,,2020-07-31 17:35:00,2020
133,150,True,150,active,2020-07-31 17:33:25+00:00,0,False,True,5,1,13,True,0,,,2020-07-31 17:35:00,2020
134,151,True,151,active,2020-07-31 17:19:30+00:00,0,False,True,11,2,6,True,0,,,2020-07-31 17:35:00,2020
135,152,True,152,active,2020-07-31 17:20:31+00:00,0,True,True,4,0,11,True,0,,,2020-07-31 17:35:00,2020
136,156,True,156,active,2020-07-31 16:50:07+00:00,0,False,True,13,0,2,True,0,,,2020-07-31 17:35:00,2020
137,157,True,157,active,2020-07-31 17:34:33+00:00,0,False,True,6,1,8,True,0,,,2020-07-31 17:35:00,2020
138,159,True,159,active,2020-07-31 14:28:50+00:00,0,False,True,14,1,0,True,0,,,2020-07-31 17:35:00,2020
139,160,True,160,active,2020-07-31 17:33:16+00:00,0,True,True,2,0,12,True,0,,,2020-07-31 17:35:00,2020
140,161,True,161,active,2020-07-31 17:02:08+00:00,0,True,True,13,0,10,True,0,,,2020-07-31 17:35:00,2020
141,162,True,162,active,2020-07-31 17:30:58+00:00,0,False,True,10,1,4,True,0,,,2020-07-31 17:35:00,2020
142,163,True,163,active,2020-07-31 15:48:48+00:00,0,True,True,12,0,7,True,0,,,2020-07-31 17:35:00,2020
143,167,True,167,active,2020-07-31 17:17:36+00:00,0,False,True,4,0,11,True,0,,,2020-07-31 17:35:00,2020
144,169,True,169,active,2020-07-31 17:28:21+00:00,0,False,True,13,0,6,True,0,,,2020-07-31 17:35:00,2020
145,170,True,170,active,2020-07-31 16:09:04+00:00,0,True,True,10,0,4,True,0,,,2020-07-31 17:35:00,2020
146,171,True,171,active,2020-07-31 13:05:11+00:00,0,True,True,17,0,6,True,0,,,2020-07-31 17:35:00,2020
147,173,True,173,active,2020-07-31 17:18:09+00:00,0,True,True,7,2,5,True,0,,,2020-07-31 17:35:00,2020
148,174,True,174,active,2020-07-31 17:21:46+00:00,0,False,True,3,0,12,True,0,,,2020-07-31 17:35:00,2020
149,175,True,175,active,2020-07-31 17:05:52+00:00,0,True,True,8,0,9,True,0,,,2020-07-31 17:35:00,2020
150,176,True,176,active,2020-07-31 17:08:15+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
151,177,True,177,active,2020-07-31 17:20:20+00:00,0,False,True,7,0,12,True,0,,,2020-07-31 17:35:00,2020
152,178,True,178,active,2020-07-31 17:31:08+00:00,0,False,True,9,0,10,True,0,,,2020-07-31 17:35:00,2020
153,179,True,179,active,2020-07-31 17:32:53+00:00,0,False,True,8,0,17,True,0,,,2020-07-31 17:35:00,2020
154,180,True,180,active,2020-07-31 16:53:40+00:00,0,False,True,6,0,13,True,0,,,2020-07-31 17:35:00,2020
155,181,True,181,active,2020-07-31 17:21:58+00:00,0,False,True,12,1,6,True,0,,,2020-07-31 17:35:00,2020
156,182,True,182,active,2020-07-31 15:42:27+00:00,0,True,True,11,1,7,True,0,,,2020-07-31 17:35:00,2020
157,183,True,183,active,2020-07-31 16:27:57+00:00,0,False,True,15,0,4,True,0,,,2020-07-31 17:35:00,2020
158,184,True,184,active,2020-07-31 17:33:40+00:00,0,False,True,4,0,15,True,0,,,2020-07-31 17:35:00,2020
159,185,True,185,active,2020-07-31 17:10:56+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
