,num_bikes_disabled,eightd_has_available_keys,is_installed,num_docks_available,is_renting,num_bikes_available,legacy_id,station_status,is_returning,last_reported,num_docks_disabled,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
169,0,False,True,21,True,2,195,active,True,2020-08-21 20:37:01+00:00,0,195,0,,,2020-08-21 21:08:05,2020
170,0,False,True,8,True,2,196,active,True,2020-08-21 20:56:08+00:00,0,196,0,,,2020-08-21 21:08:05,2020
171,0,False,True,8,True,7,197,active,True,2020-08-21 21:03:04+00:00,0,197,0,,,2020-08-21 21:08:05,2020
172,0,False,True,5,True,10,199,active,True,2020-08-21 20:47:53+00:00,0,199,0,,,2020-08-21 21:08:05,2020
173,0,False,True,1,True,18,200,active,True,2020-08-21 20:40:43+00:00,0,200,0,,,2020-08-21 21:08:05,2020
174,0,False,True,13,True,2,201,active,True,2020-08-21 12:22:54+00:00,0,201,0,,,2020-08-21 21:08:05,2020
175,0,False,True,12,True,3,202,active,True,2020-08-21 19:17:15+00:00,0,202,0,,,2020-08-21 21:08:05,2020
176,0,False,True,9,True,6,203,active,True,2020-08-21 12:45:21+00:00,0,203,0,,,2020-08-21 21:08:05,2020
177,1,False,True,11,True,3,204,active,True,2020-08-21 20:35:45+00:00,0,204,0,,,2020-08-21 21:08:05,2020
178,0,False,True,12,True,3,205,active,True,2020-08-21 17:31:24+00:00,0,205,0,,,2020-08-21 21:08:05,2020
179,1,False,True,21,True,1,206,active,True,2020-08-21 20:54:05+00:00,0,206,0,,,2020-08-21 21:08:05,2020
180,1,True,True,0,True,14,208,active,True,2020-08-21 18:47:52+00:00,0,208,0,,,2020-08-21 21:08:05,2020
181,0,False,True,9,True,6,209,active,True,2020-08-21 19:36:35+00:00,0,209,0,,,2020-08-21 21:08:05,2020
182,0,False,True,14,True,1,210,active,True,2020-08-21 19:55:14+00:00,0,210,0,,,2020-08-21 21:08:05,2020
183,0,False,True,9,True,10,211,active,True,2020-08-21 19:10:05+00:00,0,211,0,,,2020-08-21 21:08:05,2020
184,1,False,True,26,True,6,212,active,True,2020-08-21 20:52:33+00:00,0,212,0,,,2020-08-21 21:08:05,2020
185,0,True,True,10,True,6,213,active,True,2020-08-21 19:55:09+00:00,0,213,0,,,2020-08-21 21:08:05,2020
186,0,False,True,13,True,2,214,active,True,2020-08-21 20:59:14+00:00,0,214,0,,,2020-08-21 21:08:05,2020
187,1,False,True,6,True,8,215,active,True,2020-08-21 19:13:09+00:00,0,215,0,,,2020-08-21 21:08:05,2020
188,0,False,True,5,True,14,216,active,True,2020-08-21 06:54:34+00:00,0,216,0,,,2020-08-21 21:08:05,2020
189,1,False,True,13,True,5,217,active,True,2020-08-21 21:02:29+00:00,0,217,0,,,2020-08-21 21:08:05,2020
190,0,False,True,14,True,1,218,active,True,2020-08-21 21:01:46+00:00,0,218,0,,,2020-08-21 21:08:05,2020
191,0,False,True,9,True,6,219,active,True,2020-08-21 20:06:41+00:00,0,219,0,,,2020-08-21 21:08:05,2020
192,0,False,True,17,True,2,221,active,True,2020-08-21 20:39:19+00:00,0,221,0,,,2020-08-21 21:08:05,2020
193,1,True,True,11,True,2,222,active,True,2020-08-21 21:07:17+00:00,0,222,0,,,2020-08-21 21:08:05,2020
194,1,False,True,8,True,8,224,active,True,2020-08-21 19:43:24+00:00,0,224,0,,,2020-08-21 21:08:05,2020
195,1,False,True,9,True,9,225,active,True,2020-08-21 21:03:22+00:00,0,225,0,,,2020-08-21 21:08:05,2020
196,0,False,True,15,True,0,226,active,True,2020-08-21 20:49:15+00:00,0,226,0,,,2020-08-21 21:08:05,2020
197,0,False,True,15,True,4,227,active,True,2020-08-21 20:55:44+00:00,0,227,0,,,2020-08-21 21:08:05,2020
198,0,False,True,6,True,13,228,active,True,2020-08-21 20:28:55+00:00,0,228,0,,,2020-08-21 21:08:05,2020
199,0,False,True,11,True,0,232,active,True,2020-08-21 20:59:47+00:00,0,232,0,,,2020-08-21 21:08:05,2020
200,0,False,True,5,True,10,233,active,True,2020-08-21 21:03:12+00:00,0,233,0,,,2020-08-21 21:08:05,2020
201,0,False,True,14,True,1,234,active,True,2020-08-21 19:17:19+00:00,0,234,0,,,2020-08-21 21:08:05,2020
202,0,False,True,8,True,7,235,active,True,2020-08-21 20:40:05+00:00,0,235,0,,,2020-08-21 21:08:05,2020
203,0,False,True,3,True,12,236,active,True,2020-08-21 20:53:00+00:00,0,236,0,,,2020-08-21 21:08:05,2020
204,1,False,True,12,True,2,239,active,True,2020-08-21 20:42:53+00:00,0,239,0,,,2020-08-21 21:08:05,2020
205,0,False,True,10,True,5,255,active,True,2020-08-21 18:57:17+00:00,0,255,0,,,2020-08-21 21:08:05,2020
206,0,False,True,3,True,12,258,active,True,2020-08-21 19:20:54+00:00,0,258,0,,,2020-08-21 21:08:05,2020
207,0,False,True,7,True,8,259,active,True,2020-08-21 17:58:41+00:00,0,259,0,,,2020-08-21 21:08:05,2020
208,0,False,True,11,True,4,260,active,True,2020-08-21 21:00:49+00:00,0,260,0,,,2020-08-21 21:08:05,2020
209,0,False,True,11,True,4,271,active,True,2020-08-21 20:45:00+00:00,0,271,0,,,2020-08-21 21:08:05,2020
210,0,False,True,10,True,9,272,active,True,2020-08-21 20:22:33+00:00,0,272,0,,,2020-08-21 21:08:05,2020
211,0,False,True,10,True,30,273,active,True,2020-08-21 20:21:32+00:00,0,273,0,,,2020-08-21 21:08:05,2020
212,0,False,True,1,True,18,279,active,True,2020-08-21 20:36:01+00:00,0,279,0,,,2020-08-21 21:08:05,2020
213,0,False,True,4,True,15,280,active,True,2020-08-21 20:48:11+00:00,0,280,0,,,2020-08-21 21:08:05,2020
214,0,False,True,6,True,9,282,active,True,2020-08-21 20:57:01+00:00,0,282,0,,,2020-08-21 21:08:05,2020
215,1,False,True,15,True,7,296,active,True,2020-08-21 21:06:58+00:00,0,296,0,,,2020-08-21 21:08:05,2020
