,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
223,2020-08-05 10:35:47+00:00,True,0,332,True,0,0,True,0,active,15,False,332,,,2020-08-05 12:17:20,2020
224,2020-08-05 09:54:04+00:00,True,0,333,True,0,0,True,19,active,6,False,333,,,2020-08-05 12:17:20,2020
225,2020-08-05 12:07:57+00:00,True,0,334,True,0,0,True,11,active,8,False,334,,,2020-08-05 12:17:20,2020
226,2020-08-05 12:05:52+00:00,True,1,335,True,0,0,True,4,active,14,False,335,,,2020-08-05 12:17:20,2020
227,2020-08-05 08:56:43+00:00,True,0,336,True,0,0,True,12,active,3,False,336,,,2020-08-05 12:17:20,2020
228,2020-08-05 11:41:14+00:00,True,0,337,True,0,0,True,12,active,3,False,337,,,2020-08-05 12:17:20,2020
229,2020-08-05 12:05:47+00:00,True,0,338,True,0,0,True,4,active,11,False,338,,,2020-08-05 12:17:20,2020
230,2020-08-05 12:05:44+00:00,True,0,339,True,0,0,True,11,active,4,False,339,,,2020-08-05 12:17:20,2020
231,2020-08-04 17:02:48+00:00,True,0,340,True,0,0,True,16,active,3,False,340,,,2020-08-05 12:17:20,2020
232,2020-08-05 00:14:54+00:00,True,0,341,True,0,0,True,6,active,9,True,341,,,2020-08-05 12:17:20,2020
233,2020-08-05 12:01:05+00:00,True,0,342,True,0,0,True,2,active,13,False,342,,,2020-08-05 12:17:20,2020
234,2020-08-04 19:00:47+00:00,True,0,343,True,0,0,True,6,active,9,False,343,,,2020-08-05 12:17:20,2020
235,2020-08-05 11:36:51+00:00,True,0,344,True,0,0,True,2,active,17,False,344,,,2020-08-05 12:17:20,2020
236,2020-08-05 11:45:41+00:00,True,0,345,True,0,0,True,10,active,9,False,345,,,2020-08-05 12:17:20,2020
