,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
222,True,331,True,4,True,2020-08-15 19:42:06+00:00,0,False,331,0,active,0,11,,,2020-08-15 19:47:05,2020
223,True,332,True,10,True,2020-08-15 19:46:35+00:00,2,False,332,0,active,0,3,,,2020-08-15 19:47:05,2020
224,True,333,True,10,True,2020-08-15 19:45:39+00:00,0,False,333,0,active,0,15,,,2020-08-15 19:47:05,2020
225,True,334,True,7,True,2020-08-15 18:53:50+00:00,0,False,334,0,active,0,12,,,2020-08-15 19:47:05,2020
226,True,335,True,15,True,2020-08-15 19:31:15+00:00,0,False,335,0,active,0,4,,,2020-08-15 19:47:05,2020
227,True,336,True,11,True,2020-08-15 18:30:01+00:00,0,False,336,0,active,0,4,,,2020-08-15 19:47:05,2020
228,True,337,True,0,True,2020-08-15 15:55:21+00:00,0,False,337,0,active,0,15,,,2020-08-15 19:47:05,2020
229,True,338,True,13,True,2020-08-15 19:45:55+00:00,1,False,338,0,active,0,1,,,2020-08-15 19:47:05,2020
230,True,339,True,2,True,2020-08-15 19:43:19+00:00,0,False,339,0,active,0,13,,,2020-08-15 19:47:05,2020
231,True,340,True,2,True,2020-08-15 08:51:30+00:00,0,False,340,0,active,0,17,,,2020-08-15 19:47:05,2020
232,True,341,True,0,True,2020-08-15 18:20:14+00:00,0,True,341,0,active,0,15,,,2020-08-15 19:47:05,2020
