,num_bikes_disabled,last_reported,station_status,is_installed,is_returning,num_docks_disabled,eightd_has_available_keys,legacy_id,num_bikes_available,station_id,num_docks_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
90,0,2020-07-29 21:24:51+00:00,active,True,True,0,False,101,0,101,15,0,True,,,2020-07-29 21:28:45,2020
91,0,2020-07-29 21:27:33+00:00,active,True,True,0,False,102,2,102,13,0,True,,,2020-07-29 21:28:45,2020
92,1,2020-07-29 21:17:42+00:00,active,True,True,0,False,103,1,103,13,0,True,,,2020-07-29 21:28:45,2020
93,1,2020-07-29 21:17:26+00:00,active,True,True,0,False,104,9,104,9,0,True,,,2020-07-29 21:28:45,2020
94,1,2020-07-29 21:25:20+00:00,active,True,True,0,False,105,7,105,11,0,True,,,2020-07-29 21:28:45,2020
95,0,2020-07-29 12:13:40+00:00,active,True,True,0,False,106,11,106,4,0,True,,,2020-07-29 21:28:45,2020
96,1,2020-07-29 21:26:54+00:00,active,True,True,0,False,107,9,107,9,0,True,,,2020-07-29 21:28:45,2020
97,0,2020-07-29 21:10:27+00:00,active,True,True,0,False,108,15,108,2,0,True,,,2020-07-29 21:28:45,2020
98,2,2020-07-29 18:46:27+00:00,active,True,True,0,False,109,21,109,12,0,True,,,2020-07-29 21:28:45,2020
99,0,2020-07-29 21:26:50+00:00,active,True,True,0,False,110,3,110,12,0,True,,,2020-07-29 21:28:45,2020
100,0,2020-07-29 20:18:00+00:00,active,True,True,0,False,111,5,111,10,0,True,,,2020-07-29 21:28:45,2020
101,0,2020-07-29 21:26:08+00:00,active,True,True,0,False,112,5,112,10,0,True,,,2020-07-29 21:28:45,2020
102,0,2020-07-29 21:09:10+00:00,active,True,True,0,False,113,4,113,11,0,True,,,2020-07-29 21:28:45,2020
103,0,2020-07-29 21:18:09+00:00,active,True,True,0,False,114,5,114,10,0,True,,,2020-07-29 21:28:45,2020
104,1,2020-07-29 21:18:35+00:00,active,True,True,0,False,115,10,115,8,0,True,,,2020-07-29 21:28:45,2020
105,0,2020-07-29 21:20:55+00:00,active,True,True,0,False,116,0,116,23,0,True,,,2020-07-29 21:28:45,2020
106,0,2020-07-29 21:12:37+00:00,active,True,True,0,False,117,17,117,2,0,True,,,2020-07-29 21:28:45,2020
107,0,2020-07-29 21:16:43+00:00,active,True,True,0,False,118,6,118,13,0,True,,,2020-07-29 21:28:45,2020
108,0,2020-07-29 21:27:24+00:00,active,True,True,0,False,119,9,119,6,0,True,,,2020-07-29 21:28:45,2020
109,0,2020-07-29 21:11:05+00:00,active,True,True,0,False,120,6,120,9,0,True,,,2020-07-29 21:28:45,2020
110,1,2020-07-29 21:20:36+00:00,active,True,True,0,False,121,1,121,15,0,True,,,2020-07-29 21:28:45,2020
111,0,2020-07-29 21:11:58+00:00,active,True,True,0,False,122,4,122,11,0,True,,,2020-07-29 21:28:45,2020
112,0,2020-07-29 18:12:32+00:00,active,True,True,0,False,124,3,124,12,0,True,,,2020-07-29 21:28:45,2020
113,0,2020-07-29 21:20:26+00:00,active,True,True,0,False,125,4,125,11,0,True,,,2020-07-29 21:28:45,2020
114,0,2020-07-29 21:24:40+00:00,active,True,True,0,False,126,2,126,13,0,True,,,2020-07-29 21:28:45,2020
115,0,2020-07-29 21:24:03+00:00,active,True,True,0,False,128,14,128,5,0,True,,,2020-07-29 21:28:45,2020
116,0,2020-07-29 21:24:36+00:00,active,True,True,0,False,129,8,129,11,0,True,,,2020-07-29 21:28:45,2020
117,0,2020-07-29 17:49:53+00:00,active,True,True,0,False,130,7,130,8,0,True,,,2020-07-29 21:28:45,2020
118,1,2020-07-29 21:19:46+00:00,active,True,True,0,False,131,8,131,9,0,True,,,2020-07-29 21:28:45,2020
119,0,2020-07-29 21:12:08+00:00,active,True,True,0,False,133,4,133,19,0,True,,,2020-07-29 21:28:45,2020
120,0,2020-07-29 20:25:08+00:00,active,True,True,0,False,135,6,135,11,0,True,,,2020-07-29 21:28:45,2020
121,0,2020-07-29 21:26:40+00:00,active,True,True,0,False,136,15,136,4,0,True,,,2020-07-29 21:28:45,2020
122,0,2020-07-29 20:55:32+00:00,active,True,True,0,False,137,2,137,13,0,True,,,2020-07-29 21:28:45,2020
123,0,2020-07-29 20:24:13+00:00,active,True,True,0,False,138,9,138,6,0,True,,,2020-07-29 21:28:45,2020
124,0,2020-07-29 21:26:41+00:00,active,True,True,0,False,139,5,139,14,0,True,,,2020-07-29 21:28:45,2020
125,0,2020-07-29 21:02:11+00:00,active,True,True,0,False,140,4,140,13,0,True,,,2020-07-29 21:28:45,2020
126,0,2020-07-29 21:26:53+00:00,active,True,True,0,False,141,3,141,12,0,True,,,2020-07-29 21:28:45,2020
127,1,2020-07-29 20:18:10+00:00,active,True,True,0,False,142,16,142,6,0,True,,,2020-07-29 21:28:45,2020
128,0,2020-07-29 20:46:22+00:00,active,True,True,0,False,143,3,143,20,0,True,,,2020-07-29 21:28:45,2020
129,0,2020-07-29 20:49:27+00:00,active,True,True,0,False,144,8,144,11,0,True,,,2020-07-29 21:28:45,2020
130,0,2020-07-29 18:39:30+00:00,active,True,True,0,False,145,11,145,8,0,True,,,2020-07-29 21:28:45,2020
131,0,2020-07-29 21:03:31+00:00,active,True,True,0,False,146,11,146,8,0,True,,,2020-07-29 21:28:45,2020
132,0,2020-07-29 21:23:18+00:00,active,True,True,0,True,149,7,149,11,0,True,,,2020-07-29 21:28:45,2020
133,0,2020-07-29 21:23:53+00:00,active,True,True,0,False,150,14,150,5,0,True,,,2020-07-29 21:28:45,2020
134,1,2020-07-29 21:21:54+00:00,active,True,True,0,False,151,10,151,8,0,True,,,2020-07-29 21:28:45,2020
135,0,2020-07-29 21:06:40+00:00,active,True,True,0,True,152,10,152,5,0,True,,,2020-07-29 21:28:45,2020
136,0,2020-07-29 20:16:34+00:00,active,True,True,0,False,156,5,156,10,0,True,,,2020-07-29 21:28:45,2020
137,1,2020-07-29 21:27:41+00:00,active,True,True,0,False,157,6,157,8,0,True,,,2020-07-29 21:28:45,2020
138,2,2020-07-29 20:52:40+00:00,active,True,True,0,False,159,3,159,10,0,True,,,2020-07-29 21:28:45,2020
139,0,2020-07-29 21:24:55+00:00,active,True,True,0,True,160,9,160,5,0,True,,,2020-07-29 21:28:45,2020
140,0,2020-07-29 21:27:27+00:00,active,True,True,0,True,161,20,161,3,0,True,,,2020-07-29 21:28:45,2020
141,0,2020-07-29 20:56:43+00:00,active,True,True,0,False,162,2,162,13,0,True,,,2020-07-29 21:28:45,2020
142,0,2020-07-29 20:59:38+00:00,active,True,True,0,True,163,7,163,12,0,True,,,2020-07-29 21:28:45,2020
143,2,2020-07-29 21:00:28+00:00,active,True,True,0,False,167,12,167,1,0,True,,,2020-07-29 21:28:45,2020
144,0,2020-07-29 19:53:08+00:00,active,True,True,0,False,169,9,169,10,0,True,,,2020-07-29 21:28:45,2020
145,0,2020-07-29 20:02:03+00:00,active,True,True,0,True,170,1,170,13,0,True,,,2020-07-29 21:28:45,2020
146,1,2020-07-29 21:15:17+00:00,active,True,True,0,True,171,6,171,16,0,True,,,2020-07-29 21:28:45,2020
147,2,2020-07-29 19:50:01+00:00,active,True,True,0,True,173,5,173,7,0,True,,,2020-07-29 21:28:45,2020
148,0,2020-07-29 21:26:23+00:00,active,True,True,0,False,174,9,174,6,0,True,,,2020-07-29 21:28:45,2020
149,0,2020-07-29 21:26:25+00:00,active,True,True,0,True,175,2,175,15,0,True,,,2020-07-29 21:28:45,2020
150,0,2020-07-29 21:22:11+00:00,active,True,True,0,False,176,6,176,9,0,True,,,2020-07-29 21:28:45,2020
151,0,2020-07-29 21:18:27+00:00,active,True,True,0,False,177,5,177,14,0,True,,,2020-07-29 21:28:45,2020
152,1,2020-07-29 21:08:30+00:00,active,True,True,0,False,178,1,178,17,0,True,,,2020-07-29 21:28:45,2020
153,0,2020-07-29 21:19:21+00:00,active,True,True,0,False,179,14,179,11,0,True,,,2020-07-29 21:28:45,2020
154,0,2020-07-29 21:25:46+00:00,active,True,True,0,False,180,8,180,11,0,True,,,2020-07-29 21:28:45,2020
155,0,2020-07-29 21:02:54+00:00,active,True,True,0,False,181,6,181,13,0,True,,,2020-07-29 21:28:45,2020
156,0,2020-07-29 21:21:18+00:00,active,True,True,0,True,182,5,182,14,0,True,,,2020-07-29 21:28:45,2020
157,0,2020-07-29 21:23:29+00:00,active,True,True,0,False,183,9,183,10,0,True,,,2020-07-29 21:28:45,2020
158,0,2020-07-29 21:25:43+00:00,active,True,True,0,False,184,14,184,5,0,True,,,2020-07-29 21:28:45,2020
159,1,2020-07-29 21:03:34+00:00,active,True,True,0,False,185,2,185,12,0,True,,,2020-07-29 21:28:45,2020
160,0,2020-07-29 20:55:03+00:00,active,True,True,0,True,186,12,186,3,0,True,,,2020-07-29 21:28:45,2020
161,0,2020-07-29 15:08:20+00:00,active,True,True,0,False,187,9,187,6,0,True,,,2020-07-29 21:28:45,2020
162,0,2020-07-29 21:05:40+00:00,active,True,True,0,False,188,13,188,2,0,True,,,2020-07-29 21:28:45,2020
163,1,2020-07-29 21:19:09+00:00,active,True,True,0,True,189,9,189,13,0,True,,,2020-07-29 21:28:45,2020
164,1,2020-07-29 21:23:11+00:00,active,True,True,0,True,190,20,190,16,0,True,,,2020-07-29 21:28:45,2020
165,0,2020-07-29 19:58:36+00:00,active,True,True,0,False,191,2,191,13,0,True,,,2020-07-29 21:28:45,2020
166,0,2020-07-29 21:22:35+00:00,active,True,True,0,False,192,10,192,9,0,True,,,2020-07-29 21:28:45,2020
167,0,2020-07-29 21:26:09+00:00,active,True,True,0,True,193,13,193,2,0,True,,,2020-07-29 21:28:45,2020
168,0,2020-07-29 18:11:48+00:00,active,True,True,0,False,194,14,194,5,0,True,,,2020-07-29 21:28:45,2020
169,2,2020-07-29 21:22:36+00:00,active,True,True,0,False,195,6,195,15,0,True,,,2020-07-29 21:28:45,2020
170,0,2020-07-29 20:53:05+00:00,active,True,True,0,True,196,1,196,9,0,True,,,2020-07-29 21:28:45,2020
171,0,2020-07-29 20:53:08+00:00,active,True,True,0,False,197,5,197,10,0,True,,,2020-07-29 21:28:45,2020
172,0,2020-07-29 16:57:39+00:00,active,True,True,0,False,199,7,199,8,0,True,,,2020-07-29 21:28:45,2020
173,0,2020-07-29 21:11:33+00:00,active,True,True,0,False,200,11,200,8,0,True,,,2020-07-29 21:28:45,2020
174,0,2020-07-29 12:09:09+00:00,active,True,True,0,False,201,0,201,15,0,True,,,2020-07-29 21:28:45,2020
175,1,2020-07-29 21:23:44+00:00,active,True,True,0,False,202,2,202,12,0,True,,,2020-07-29 21:28:45,2020
176,0,2020-07-29 20:08:28+00:00,active,True,True,0,False,203,3,203,12,0,True,,,2020-07-29 21:28:45,2020
177,0,2020-07-29 20:09:46+00:00,active,True,True,0,False,204,2,204,13,0,True,,,2020-07-29 21:28:45,2020
178,1,2020-07-29 18:59:24+00:00,active,True,True,0,False,205,4,205,10,0,True,,,2020-07-29 21:28:45,2020
179,0,2020-07-29 21:09:40+00:00,active,True,True,0,False,206,11,206,12,0,True,,,2020-07-29 21:28:45,2020
180,0,2020-07-29 20:41:04+00:00,active,True,True,0,True,208,13,208,2,0,True,,,2020-07-29 21:28:45,2020
181,1,2020-07-29 19:43:00+00:00,active,True,True,0,False,209,12,209,2,0,True,,,2020-07-29 21:28:45,2020
182,0,2020-07-29 20:45:48+00:00,active,True,True,0,False,210,1,210,14,0,True,,,2020-07-29 21:28:45,2020
183,1,2020-07-29 20:24:52+00:00,active,True,True,0,False,211,14,211,4,0,True,,,2020-07-29 21:28:45,2020
184,0,2020-07-29 21:27:25+00:00,active,True,True,0,False,212,6,212,27,0,True,,,2020-07-29 21:28:45,2020
185,0,2020-07-29 21:05:25+00:00,active,True,True,0,True,213,8,213,8,0,True,,,2020-07-29 21:28:45,2020
186,0,2020-07-29 20:54:52+00:00,active,True,True,0,False,214,11,214,4,0,True,,,2020-07-29 21:28:45,2020
187,0,2020-07-29 16:16:33+00:00,active,True,True,0,False,215,12,215,3,0,True,,,2020-07-29 21:28:45,2020
188,1,2020-07-29 20:43:27+00:00,active,True,True,0,False,216,17,216,1,0,True,,,2020-07-29 21:28:45,2020
189,0,2020-07-29 21:24:39+00:00,active,True,True,0,False,217,3,217,16,0,True,,,2020-07-29 21:28:45,2020
190,0,2020-07-29 21:24:59+00:00,active,True,True,0,False,218,3,218,12,0,True,,,2020-07-29 21:28:45,2020
191,0,2020-07-29 17:58:44+00:00,active,True,True,0,False,219,9,219,6,0,True,,,2020-07-29 21:28:45,2020
192,1,2020-07-29 21:28:33+00:00,active,True,True,0,False,221,5,221,13,0,True,,,2020-07-29 21:28:45,2020
193,0,2020-07-29 20:37:26+00:00,active,True,True,0,True,222,4,222,10,0,True,,,2020-07-29 21:28:45,2020
194,0,2020-07-29 21:11:17+00:00,active,True,True,0,False,224,9,224,8,0,True,,,2020-07-29 21:28:45,2020
195,1,2020-07-29 21:12:18+00:00,active,True,True,0,False,225,8,225,10,0,True,,,2020-07-29 21:28:45,2020
196,0,2020-07-29 21:25:03+00:00,active,True,True,0,False,226,3,226,12,0,True,,,2020-07-29 21:28:45,2020
197,0,2020-07-29 20:59:14+00:00,active,True,True,0,False,227,12,227,7,0,True,,,2020-07-29 21:28:45,2020
198,0,2020-07-29 17:26:31+00:00,active,True,True,0,False,228,6,228,13,0,True,,,2020-07-29 21:28:45,2020
199,0,2020-07-29 17:44:10+00:00,active,True,True,0,False,232,3,232,8,0,True,,,2020-07-29 21:28:45,2020
200,1,2020-07-29 21:19:47+00:00,active,True,True,0,False,233,4,233,10,0,True,,,2020-07-29 21:28:45,2020
201,0,2020-07-29 21:27:37+00:00,active,True,True,0,False,234,4,234,11,0,True,,,2020-07-29 21:28:45,2020
202,0,2020-07-29 21:22:14+00:00,active,True,True,0,False,235,9,235,6,0,True,,,2020-07-29 21:28:45,2020
203,1,2020-07-29 21:16:11+00:00,active,True,True,0,False,236,8,236,6,0,True,,,2020-07-29 21:28:45,2020
204,0,2020-07-29 21:13:20+00:00,active,True,True,0,False,239,2,239,13,0,True,,,2020-07-29 21:28:45,2020
205,0,2020-07-29 17:50:43+00:00,active,True,True,0,False,255,11,255,4,0,True,,,2020-07-29 21:28:45,2020
206,0,2020-07-29 12:20:53+00:00,active,True,True,0,False,258,8,258,7,0,True,,,2020-07-29 21:28:45,2020
207,1,2020-07-29 20:49:08+00:00,active,True,True,0,False,259,0,259,14,0,True,,,2020-07-29 21:28:45,2020
208,3,2020-07-29 20:34:03+00:00,active,True,True,0,False,260,12,260,0,0,True,,,2020-07-29 21:28:45,2020
209,1,2020-07-29 17:00:13+00:00,active,True,True,0,False,271,0,271,14,0,True,,,2020-07-29 21:28:45,2020
210,2,2020-07-29 20:09:56+00:00,active,True,True,0,False,272,12,272,5,0,True,,,2020-07-29 21:28:45,2020
211,1,2020-07-29 21:26:12+00:00,active,True,True,0,False,273,31,273,8,0,True,,,2020-07-29 21:28:45,2020
212,0,2020-07-29 21:12:23+00:00,active,True,True,0,False,279,10,279,9,0,True,,,2020-07-29 21:28:45,2020
