,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
131,2,False,146,14,146,True,True,0,2020-08-11 00:54:41+00:00,3,active,0,True,2020-08-11 01:21:40,2020
132,0,True,149,5,149,True,True,0,2020-08-11 00:38:51+00:00,13,active,0,True,2020-08-11 01:21:40,2020
133,1,False,150,7,150,True,True,0,2020-08-10 23:59:34+00:00,11,active,0,True,2020-08-11 01:21:40,2020
134,0,False,151,16,151,True,True,0,2020-08-11 00:26:50+00:00,3,active,0,True,2020-08-11 01:21:40,2020
135,0,True,152,1,152,True,True,0,2020-08-11 00:37:13+00:00,14,active,0,True,2020-08-11 01:21:40,2020
136,0,False,156,12,156,True,True,0,2020-08-11 01:21:19+00:00,3,active,0,True,2020-08-11 01:21:40,2020
137,1,False,157,7,157,True,True,0,2020-08-11 01:04:56+00:00,7,active,0,True,2020-08-11 01:21:40,2020
138,1,False,159,10,159,True,True,0,2020-08-11 01:13:49+00:00,4,active,0,True,2020-08-11 01:21:40,2020
139,0,True,160,14,160,True,True,0,2020-08-10 22:30:07+00:00,0,active,0,True,2020-08-11 01:21:40,2020
140,2,True,161,14,161,True,True,0,2020-08-11 01:16:11+00:00,7,active,0,True,2020-08-11 01:21:40,2020
141,0,False,162,9,162,True,True,0,2020-08-11 00:33:12+00:00,6,active,0,True,2020-08-11 01:21:40,2020
142,0,True,163,8,163,True,True,0,2020-08-11 00:27:57+00:00,11,active,0,True,2020-08-11 01:21:40,2020
143,0,False,167,10,167,True,True,0,2020-08-10 23:28:48+00:00,5,active,0,True,2020-08-11 01:21:40,2020
144,0,False,169,4,169,True,True,0,2020-08-11 00:20:45+00:00,15,active,0,True,2020-08-11 01:21:40,2020
145,0,True,170,11,170,True,True,0,2020-08-11 00:26:00+00:00,3,active,0,True,2020-08-11 01:21:40,2020
146,0,True,171,17,171,True,True,0,2020-08-10 23:07:44+00:00,6,active,0,True,2020-08-11 01:21:40,2020
147,0,True,173,4,173,True,True,0,2020-08-11 00:24:09+00:00,10,active,0,True,2020-08-11 01:21:40,2020
148,0,False,174,14,174,True,True,0,2020-08-11 01:11:47+00:00,1,active,0,True,2020-08-11 01:21:40,2020
149,0,True,175,15,175,True,True,0,2020-08-11 00:20:13+00:00,2,active,0,True,2020-08-11 01:21:40,2020
150,0,False,176,0,176,True,True,0,2020-08-10 23:11:45+00:00,15,active,0,True,2020-08-11 01:21:40,2020
151,0,False,177,19,177,True,True,0,2020-08-11 00:53:18+00:00,0,active,0,True,2020-08-11 01:21:40,2020
152,0,False,178,14,178,True,True,0,2020-08-11 01:17:07+00:00,5,active,0,True,2020-08-11 01:21:40,2020
153,0,False,179,9,179,True,True,0,2020-08-11 00:50:43+00:00,16,active,0,True,2020-08-11 01:21:40,2020
154,0,False,180,4,180,True,True,0,2020-08-11 00:13:05+00:00,15,active,0,True,2020-08-11 01:21:40,2020
155,0,False,181,4,181,True,True,0,2020-08-11 00:24:18+00:00,15,active,0,True,2020-08-11 01:21:40,2020
156,0,True,182,13,182,True,True,0,2020-08-11 00:42:30+00:00,6,active,0,True,2020-08-11 01:21:40,2020
157,0,False,183,18,183,True,True,0,2020-08-11 00:09:31+00:00,1,active,0,True,2020-08-11 01:21:40,2020
158,1,False,184,7,184,True,True,0,2020-08-11 00:57:21+00:00,11,active,0,True,2020-08-11 01:21:40,2020
159,0,False,185,13,185,True,True,0,2020-08-11 01:12:41+00:00,2,active,0,True,2020-08-11 01:21:40,2020
160,2,True,186,3,186,True,True,0,2020-08-11 01:02:02+00:00,10,active,0,True,2020-08-11 01:21:40,2020
161,0,False,187,2,187,True,True,0,2020-08-11 00:24:38+00:00,13,active,0,True,2020-08-11 01:21:40,2020
162,0,False,188,7,188,True,True,0,2020-08-11 00:12:12+00:00,8,active,0,True,2020-08-11 01:21:40,2020
163,1,True,189,13,189,True,True,0,2020-08-11 01:20:29+00:00,9,active,0,True,2020-08-11 01:21:40,2020
164,1,True,190,14,190,True,True,0,2020-08-11 01:04:48+00:00,22,active,0,True,2020-08-11 01:21:40,2020
165,0,False,191,13,191,True,True,0,2020-08-10 23:52:41+00:00,2,active,0,True,2020-08-11 01:21:40,2020
166,0,False,192,14,192,True,True,0,2020-08-11 00:34:35+00:00,5,active,0,True,2020-08-11 01:21:40,2020
167,0,True,193,8,193,True,True,0,2020-08-11 01:11:01+00:00,7,active,0,True,2020-08-11 01:21:40,2020
168,0,False,194,19,194,True,True,0,2020-08-11 00:49:37+00:00,0,active,0,True,2020-08-11 01:21:40,2020
169,0,False,195,9,195,True,True,0,2020-08-11 01:15:10+00:00,14,active,0,True,2020-08-11 01:21:40,2020
