,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,station_status,num_docks_disabled,num_docks_available,is_returning,station_id,legacy_id,is_installed,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
58,2020-08-06 13:59:20+00:00,True,0,11,active,0,16,True,67,67,True,0,True,,,2020-08-06 14:02:25,2020
59,2020-08-06 13:49:30+00:00,True,1,18,active,0,0,True,68,68,True,0,True,,,2020-08-06 14:02:25,2020
60,2020-08-06 13:14:34+00:00,True,1,8,active,0,10,True,69,69,True,0,True,,,2020-08-06 14:02:25,2020
61,2020-08-06 13:58:20+00:00,False,0,17,active,0,6,True,70,70,True,0,True,,,2020-08-06 14:02:25,2020
62,2020-08-06 13:34:04+00:00,False,0,19,active,0,4,True,71,71,True,0,True,,,2020-08-06 14:02:25,2020
63,2020-08-06 14:01:13+00:00,False,0,7,active,0,16,True,72,72,True,0,True,,,2020-08-06 14:02:25,2020
64,2020-08-06 13:33:59+00:00,False,1,10,active,0,4,True,73,73,True,0,True,,,2020-08-06 14:02:25,2020
65,2020-08-06 13:16:42+00:00,True,1,5,active,0,13,True,74,74,True,0,True,,,2020-08-06 14:02:25,2020
66,2020-08-06 13:38:55+00:00,False,0,9,active,0,6,True,75,75,True,0,True,,,2020-08-06 14:02:25,2020
67,2020-08-06 13:49:40+00:00,False,0,15,active,0,2,True,76,76,True,0,True,,,2020-08-06 14:02:25,2020
68,2020-08-06 13:53:28+00:00,False,0,5,active,0,10,True,77,77,True,0,True,,,2020-08-06 14:02:25,2020
69,2020-08-06 13:59:57+00:00,False,0,11,active,0,8,True,78,78,True,0,True,,,2020-08-06 14:02:25,2020
70,2020-08-06 14:01:17+00:00,False,0,7,active,0,12,True,79,79,True,0,True,,,2020-08-06 14:02:25,2020
71,2020-08-06 14:02:00+00:00,False,0,23,active,0,12,True,80,80,True,0,True,,,2020-08-06 14:02:25,2020
72,2020-08-06 14:00:58+00:00,False,1,16,active,0,2,True,81,81,True,0,True,,,2020-08-06 14:02:25,2020
73,2020-08-06 13:35:20+00:00,False,0,3,active,0,12,True,82,82,True,0,True,,,2020-08-06 14:02:25,2020
74,2020-08-06 13:46:17+00:00,False,0,10,active,0,5,True,84,84,True,0,True,,,2020-08-06 14:02:25,2020
75,2020-08-06 13:57:38+00:00,False,0,14,active,0,5,True,85,85,True,0,True,,,2020-08-06 14:02:25,2020
76,2020-08-06 13:52:41+00:00,False,1,10,active,0,8,True,86,86,True,0,True,,,2020-08-06 14:02:25,2020
77,2020-08-06 13:43:25+00:00,False,0,4,active,0,11,True,87,87,True,0,True,,,2020-08-06 14:02:25,2020
78,2020-08-06 14:01:01+00:00,False,1,10,active,0,8,True,89,89,True,0,True,,,2020-08-06 14:02:25,2020
79,2020-08-06 13:36:27+00:00,False,0,8,active,0,11,True,90,90,True,0,True,,,2020-08-06 14:02:25,2020
80,2020-08-06 13:58:39+00:00,False,0,14,active,0,5,True,91,91,True,0,True,,,2020-08-06 14:02:25,2020
