,station_id,eightd_has_available_keys,legacy_id,last_reported,num_docks_disabled,is_renting,num_bikes_available,station_status,is_returning,is_installed,num_docks_available,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
145,170,True,170,2020-08-12 02:10:08+00:00,0,True,1,active,True,True,12,1,0,2020-08-12 02:29:40,2020
146,171,True,171,2020-08-12 00:25:43+00:00,0,True,9,active,True,True,14,0,0,2020-08-12 02:29:40,2020
147,173,True,173,2020-08-12 01:40:39+00:00,0,True,9,active,True,True,5,0,0,2020-08-12 02:29:40,2020
148,174,False,174,2020-08-12 01:39:59+00:00,0,True,9,active,True,True,5,1,0,2020-08-12 02:29:40,2020
149,175,True,175,2020-08-12 02:13:37+00:00,0,True,7,active,True,True,10,0,0,2020-08-12 02:29:40,2020
150,176,False,176,2020-08-12 01:55:11+00:00,0,True,13,active,True,True,2,0,0,2020-08-12 02:29:40,2020
151,177,False,177,2020-08-12 02:16:00+00:00,0,True,6,active,True,True,13,0,0,2020-08-12 02:29:40,2020
152,178,False,178,2020-08-12 02:27:12+00:00,0,True,4,active,True,True,15,0,0,2020-08-12 02:29:40,2020
153,179,False,179,2020-08-12 01:58:07+00:00,0,True,11,active,True,True,13,1,0,2020-08-12 02:29:40,2020
154,180,False,180,2020-08-12 01:41:21+00:00,0,True,12,active,True,True,6,1,0,2020-08-12 02:29:40,2020
155,181,False,181,2020-08-12 01:30:14+00:00,0,True,13,active,True,True,6,0,0,2020-08-12 02:29:40,2020
156,182,True,182,2020-08-12 02:18:35+00:00,0,True,3,active,True,True,16,0,0,2020-08-12 02:29:40,2020
157,183,False,183,2020-08-12 00:54:50+00:00,0,True,9,active,True,True,9,1,0,2020-08-12 02:29:40,2020
158,184,False,184,2020-08-12 01:57:54+00:00,0,True,6,active,True,True,11,2,0,2020-08-12 02:29:40,2020
159,185,False,185,2020-08-12 02:15:54+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
160,186,True,186,2020-08-12 02:11:57+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
161,187,False,187,2020-08-12 00:47:26+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
162,188,False,188,2020-08-12 02:18:29+00:00,0,True,14,active,True,True,1,0,0,2020-08-12 02:29:40,2020
163,189,True,189,2020-08-12 01:33:34+00:00,0,True,14,active,True,True,9,0,0,2020-08-12 02:29:40,2020
164,190,True,190,2020-08-12 02:22:32+00:00,0,True,14,active,True,True,22,1,0,2020-08-12 02:29:40,2020
165,191,False,191,2020-08-12 01:30:08+00:00,0,True,6,active,True,True,9,0,0,2020-08-12 02:29:40,2020
166,192,False,192,2020-08-12 02:21:13+00:00,0,True,1,active,True,True,17,1,0,2020-08-12 02:29:40,2020
167,193,True,193,2020-08-12 01:44:01+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
168,194,False,194,2020-08-11 22:31:21+00:00,0,True,1,active,True,True,17,1,0,2020-08-12 02:29:40,2020
169,195,False,195,2020-08-12 01:55:22+00:00,0,True,13,active,True,True,10,0,0,2020-08-12 02:29:40,2020
170,196,True,196,2020-08-11 23:59:37+00:00,0,True,1,active,True,True,9,0,0,2020-08-12 02:29:40,2020
171,197,False,197,2020-08-12 00:42:10+00:00,0,True,2,active,True,True,13,0,0,2020-08-12 02:29:40,2020
172,199,False,199,2020-08-12 00:29:30+00:00,0,True,3,active,True,True,12,0,0,2020-08-12 02:29:40,2020
173,200,False,200,2020-08-12 00:47:12+00:00,0,True,15,active,True,True,4,0,0,2020-08-12 02:29:40,2020
174,201,False,201,2020-08-12 00:48:44+00:00,0,True,1,active,True,True,14,0,0,2020-08-12 02:29:40,2020
175,202,False,202,2020-08-11 21:15:52+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
176,203,False,203,2020-08-12 00:29:43+00:00,0,True,1,active,True,True,14,0,0,2020-08-12 02:29:40,2020
177,204,False,204,2020-08-12 00:23:12+00:00,0,True,1,active,True,True,14,0,0,2020-08-12 02:29:40,2020
178,205,False,205,2020-08-11 23:04:36+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
179,206,True,206,2020-08-12 02:17:55+00:00,0,True,5,active,True,True,18,0,0,2020-08-12 02:29:40,2020
180,208,True,208,2020-08-11 22:20:43+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
181,209,False,209,2020-08-11 23:50:56+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
182,210,False,210,2020-08-11 20:57:01+00:00,0,True,3,active,True,True,12,0,0,2020-08-12 02:29:40,2020
183,211,False,211,2020-08-12 00:18:35+00:00,0,True,5,active,True,True,14,0,0,2020-08-12 02:29:40,2020
184,212,False,212,2020-08-12 01:58:29+00:00,0,True,22,active,True,True,10,1,0,2020-08-12 02:29:40,2020
185,213,True,213,2020-08-12 02:17:23+00:00,0,True,5,active,True,True,11,0,0,2020-08-12 02:29:40,2020
186,214,False,214,2020-08-12 00:53:22+00:00,0,True,3,active,True,True,12,0,0,2020-08-12 02:29:40,2020
187,215,False,215,2020-08-11 23:53:58+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
188,216,False,216,2020-08-12 02:13:41+00:00,0,True,17,active,True,True,1,1,0,2020-08-12 02:29:40,2020
189,217,False,217,2020-08-12 01:32:32+00:00,0,True,16,active,True,True,3,0,0,2020-08-12 02:29:40,2020
190,218,False,218,2020-08-12 02:16:09+00:00,0,True,3,active,True,True,11,1,0,2020-08-12 02:29:40,2020
191,219,False,219,2020-08-12 01:36:43+00:00,0,True,5,active,True,True,8,2,0,2020-08-12 02:29:40,2020
192,221,False,221,2020-08-12 01:40:51+00:00,0,True,10,active,True,True,9,0,0,2020-08-12 02:29:40,2020
193,222,True,222,2020-08-12 02:29:11+00:00,0,True,9,active,True,True,5,0,0,2020-08-12 02:29:40,2020
194,224,False,224,2020-08-12 00:21:27+00:00,0,True,11,active,True,True,5,1,0,2020-08-12 02:29:40,2020
195,225,False,225,2020-08-12 02:28:01+00:00,0,True,7,active,True,True,11,1,0,2020-08-12 02:29:40,2020
196,226,False,226,2020-08-12 02:28:18+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
197,227,False,227,2020-08-12 01:59:26+00:00,0,True,9,active,True,True,10,0,0,2020-08-12 02:29:40,2020
198,228,False,228,2020-08-12 01:46:10+00:00,0,True,6,active,True,True,13,0,0,2020-08-12 02:29:40,2020
199,232,False,232,2020-08-11 01:22:39+00:00,0,True,8,active,True,True,3,0,0,2020-08-12 02:29:40,2020
200,233,False,233,2020-08-12 02:05:43+00:00,0,True,9,active,True,True,6,0,0,2020-08-12 02:29:40,2020
201,234,False,234,2020-08-12 02:22:19+00:00,0,True,1,active,True,True,14,0,0,2020-08-12 02:29:40,2020
202,235,False,235,2020-08-12 01:21:23+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
203,236,False,236,2020-08-12 02:19:07+00:00,0,True,9,active,True,True,6,0,0,2020-08-12 02:29:40,2020
204,239,False,239,2020-08-12 00:57:19+00:00,0,True,7,active,True,True,8,0,0,2020-08-12 02:29:40,2020
205,255,False,255,2020-08-12 01:08:02+00:00,0,True,8,active,True,True,7,0,0,2020-08-12 02:29:40,2020
206,258,False,258,2020-08-12 00:05:54+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
207,259,False,259,2020-08-11 08:42:57+00:00,0,True,15,active,True,True,0,0,0,2020-08-12 02:29:40,2020
208,260,False,260,2020-08-12 01:48:50+00:00,0,True,11,active,True,True,2,2,0,2020-08-12 02:29:40,2020
209,271,False,271,2020-08-12 00:39:24+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
210,272,False,272,2020-08-12 00:45:18+00:00,0,True,6,active,True,True,12,1,0,2020-08-12 02:29:40,2020
211,273,False,273,2020-08-12 02:20:05+00:00,0,True,16,active,True,True,24,0,0,2020-08-12 02:29:40,2020
212,279,False,279,2020-08-12 02:28:48+00:00,0,True,16,active,True,True,3,0,0,2020-08-12 02:29:40,2020
213,280,False,280,2020-08-12 01:41:06+00:00,0,True,8,active,True,True,11,0,0,2020-08-12 02:29:40,2020
214,282,False,282,2020-08-12 01:50:22+00:00,0,True,8,active,True,True,6,1,0,2020-08-12 02:29:40,2020
215,296,False,296,2020-08-12 01:33:54+00:00,0,True,13,active,True,True,9,1,0,2020-08-12 02:29:40,2020
216,318,False,318,2020-08-12 01:50:27+00:00,0,True,4,active,True,True,15,0,0,2020-08-12 02:29:40,2020
217,319,False,319,2020-08-11 23:20:29+00:00,0,True,3,active,True,True,22,0,0,2020-08-12 02:29:40,2020
218,327,False,327,2020-08-12 01:01:55+00:00,0,True,9,active,True,True,5,1,0,2020-08-12 02:29:40,2020
219,328,False,328,2020-08-12 02:17:25+00:00,0,True,8,active,True,True,6,1,0,2020-08-12 02:29:40,2020
220,329,False,329,2020-08-12 01:18:44+00:00,0,True,6,active,True,True,9,0,0,2020-08-12 02:29:40,2020
221,330,False,330,2020-08-12 02:16:00+00:00,0,True,7,active,True,True,8,0,0,2020-08-12 02:29:40,2020
222,331,False,331,2020-08-12 02:18:02+00:00,0,True,6,active,True,True,9,0,0,2020-08-12 02:29:40,2020
223,332,False,332,2020-08-12 01:19:30+00:00,0,True,0,active,True,True,14,1,0,2020-08-12 02:29:40,2020
224,333,False,333,2020-08-12 01:09:08+00:00,0,True,21,active,True,True,4,0,0,2020-08-12 02:29:40,2020
225,334,False,334,2020-08-12 00:06:23+00:00,0,True,19,active,True,True,0,0,0,2020-08-12 02:29:40,2020
226,335,False,335,2020-08-12 02:16:45+00:00,0,True,13,active,True,True,6,0,0,2020-08-12 02:29:40,2020
227,336,False,336,2020-08-12 01:29:28+00:00,0,True,8,active,True,True,7,0,0,2020-08-12 02:29:40,2020
228,337,False,337,2020-08-12 00:56:55+00:00,0,True,14,active,True,True,1,0,0,2020-08-12 02:29:40,2020
