,legacy_id,station_id,eightd_has_available_keys,num_bikes_available,is_returning,last_reported,station_status,is_renting,is_installed,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
232,341,341,True,7,True,2020-07-31 16:13:56+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
233,342,342,False,3,True,2020-07-31 22:51:07+00:00,active,True,True,1,11,0,0,,,2020-07-31 22:51:35,2020
234,343,343,False,4,True,2020-07-31 08:32:11+00:00,active,True,True,1,10,0,0,,,2020-07-31 22:51:35,2020
235,344,344,False,0,True,2020-07-31 21:03:28+00:00,active,True,True,0,19,0,0,,,2020-07-31 22:51:35,2020
236,345,345,False,3,True,2020-07-31 22:26:57+00:00,active,True,True,1,15,0,0,,,2020-07-31 22:51:35,2020
237,346,346,False,1,True,2020-07-31 22:44:05+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
238,347,347,False,3,True,2020-07-31 22:10:40+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
239,348,348,False,10,True,2020-07-31 19:00:57+00:00,active,True,True,2,3,0,0,,,2020-07-31 22:51:35,2020
240,349,349,True,11,True,2020-07-31 21:50:36+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
241,350,350,False,2,True,2020-07-31 18:38:22+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
242,351,351,False,6,True,2020-07-31 21:38:55+00:00,active,True,True,1,8,0,0,,,2020-07-31 22:51:35,2020
243,352,352,False,6,True,2020-07-31 22:38:28+00:00,active,True,True,0,9,0,0,,,2020-07-31 22:51:35,2020
244,353,353,True,11,True,2020-07-31 17:28:08+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
245,354,354,False,1,True,2020-07-31 22:45:34+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
246,355,355,False,5,True,2020-07-31 22:49:32+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
247,356,356,False,9,True,2020-07-31 22:48:30+00:00,active,True,True,1,13,0,0,,,2020-07-31 22:51:35,2020
248,357,357,False,12,True,2020-07-31 22:16:06+00:00,active,True,True,1,2,0,0,,,2020-07-31 22:51:35,2020
249,358,358,False,8,True,2020-07-31 22:06:44+00:00,active,True,True,0,11,0,0,,,2020-07-31 22:51:35,2020
250,359,359,False,0,True,2020-07-31 22:32:12+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
251,360,360,False,2,True,2020-07-31 22:47:43+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
252,361,361,False,8,True,2020-07-31 22:51:31+00:00,active,True,True,0,11,0,0,,,2020-07-31 22:51:35,2020
253,362,362,False,11,True,2020-07-31 22:49:27+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
254,363,363,False,6,True,2020-07-31 22:50:51+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
255,364,364,False,6,True,2020-07-31 22:43:12+00:00,active,True,True,1,12,0,0,,,2020-07-31 22:51:35,2020
