,legacy_id,eightd_has_available_keys,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,is_installed,last_reported,station_id,is_renting,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
88,99,False,13,1,0,True,0,True,2020-08-07 00:34:11+00:00,99,True,1,active,,,2020-08-07 00:57:30,2020
89,100,True,20,1,0,True,0,True,2020-08-07 00:47:53+00:00,100,True,4,active,,,2020-08-07 00:57:30,2020
90,101,False,14,0,0,True,0,True,2020-08-07 00:11:39+00:00,101,True,1,active,,,2020-08-07 00:57:30,2020
91,102,False,7,1,0,True,0,True,2020-08-07 00:34:17+00:00,102,True,7,active,,,2020-08-07 00:57:30,2020
92,103,False,2,0,0,True,0,True,2020-08-07 00:46:56+00:00,103,True,13,active,,,2020-08-07 00:57:30,2020
93,104,False,7,0,0,True,0,True,2020-08-07 00:48:07+00:00,104,True,12,active,,,2020-08-07 00:57:30,2020
94,105,False,12,1,0,True,0,True,2020-08-07 00:53:23+00:00,105,True,6,active,,,2020-08-07 00:57:30,2020
95,106,False,4,1,0,True,0,True,2020-08-06 23:44:54+00:00,106,True,10,active,,,2020-08-07 00:57:30,2020
96,107,False,4,0,0,True,0,True,2020-08-07 00:53:23+00:00,107,True,15,active,,,2020-08-07 00:57:30,2020
97,108,False,6,0,0,True,0,True,2020-08-07 00:39:56+00:00,108,True,11,active,,,2020-08-07 00:57:30,2020
98,109,False,10,0,0,True,0,True,2020-08-07 00:21:13+00:00,109,True,25,active,,,2020-08-07 00:57:30,2020
99,110,False,3,0,0,True,0,True,2020-08-07 00:46:10+00:00,110,True,12,active,,,2020-08-07 00:57:30,2020
100,111,False,6,0,0,True,0,True,2020-08-06 23:48:21+00:00,111,True,9,active,,,2020-08-07 00:57:30,2020
101,112,False,3,0,0,True,0,True,2020-08-07 00:44:08+00:00,112,True,12,active,,,2020-08-07 00:57:30,2020
102,113,False,6,0,0,True,0,True,2020-08-07 00:55:04+00:00,113,True,9,active,,,2020-08-07 00:57:30,2020
103,114,False,12,1,0,True,0,True,2020-08-06 23:52:44+00:00,114,True,2,active,,,2020-08-07 00:57:30,2020
104,115,False,14,1,0,True,0,True,2020-08-07 00:31:33+00:00,115,True,4,active,,,2020-08-07 00:57:30,2020
105,116,False,7,1,0,True,0,True,2020-08-07 00:49:03+00:00,116,True,15,active,,,2020-08-07 00:57:30,2020
106,117,False,17,0,0,True,0,True,2020-08-07 00:19:43+00:00,117,True,2,active,,,2020-08-07 00:57:30,2020
107,118,False,16,0,0,True,0,True,2020-08-07 00:49:07+00:00,118,True,3,active,,,2020-08-07 00:57:30,2020
108,119,False,12,1,0,True,0,True,2020-08-07 00:45:16+00:00,119,True,2,active,,,2020-08-07 00:57:30,2020
109,120,False,2,0,0,True,0,True,2020-08-07 00:40:21+00:00,120,True,13,active,,,2020-08-07 00:57:30,2020
110,121,False,5,0,0,True,0,True,2020-08-07 00:46:43+00:00,121,True,12,active,,,2020-08-07 00:57:30,2020
111,122,False,4,0,0,True,0,True,2020-08-07 00:56:05+00:00,122,True,11,active,,,2020-08-07 00:57:30,2020
112,124,False,5,0,0,True,0,True,2020-08-06 20:22:30+00:00,124,True,10,active,,,2020-08-07 00:57:30,2020
113,125,False,9,1,0,True,0,True,2020-08-07 00:25:01+00:00,125,True,5,active,,,2020-08-07 00:57:30,2020
114,126,False,7,0,0,True,0,True,2020-08-06 22:31:13+00:00,126,True,8,active,,,2020-08-07 00:57:30,2020
115,128,False,15,1,0,True,0,True,2020-08-06 23:35:35+00:00,128,True,3,active,,,2020-08-07 00:57:30,2020
116,129,False,15,1,0,True,0,True,2020-08-06 23:13:49+00:00,129,True,3,active,,,2020-08-07 00:57:30,2020
117,130,False,8,1,0,True,0,True,2020-08-07 00:11:06+00:00,130,True,6,active,,,2020-08-07 00:57:30,2020
118,131,False,6,2,0,True,0,True,2020-08-07 00:50:28+00:00,131,True,10,active,,,2020-08-07 00:57:30,2020
119,133,False,11,0,0,True,0,True,2020-08-07 00:34:22+00:00,133,True,12,active,,,2020-08-07 00:57:30,2020
120,135,False,6,0,0,True,0,True,2020-08-07 00:54:49+00:00,135,True,11,active,,,2020-08-07 00:57:30,2020
121,136,False,3,0,0,True,0,True,2020-08-07 00:51:47+00:00,136,True,16,active,,,2020-08-07 00:57:30,2020
122,137,False,2,0,0,True,0,True,2020-08-07 00:26:00+00:00,137,True,13,active,,,2020-08-07 00:57:30,2020
