,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
115,2020-08-18 22:48:31+00:00,False,128,True,0,active,19,0,True,True,128,0,0,2020-08-19 00:51:30,2020
116,2020-08-19 00:42:15+00:00,False,129,True,0,active,13,0,True,True,129,0,6,2020-08-19 00:51:30,2020
117,2020-08-18 23:40:12+00:00,False,130,True,0,active,15,0,True,True,130,0,0,2020-08-19 00:51:30,2020
118,2020-08-19 00:40:39+00:00,False,131,True,0,active,12,0,True,True,131,0,6,2020-08-19 00:51:30,2020
119,2020-08-18 23:32:09+00:00,False,133,True,0,active,19,2,True,True,133,0,2,2020-08-19 00:51:30,2020
120,2020-08-19 00:46:49+00:00,False,135,True,0,active,2,0,True,True,135,0,15,2020-08-19 00:51:30,2020
121,2020-08-19 00:43:20+00:00,False,136,True,0,active,0,1,True,True,136,0,18,2020-08-19 00:51:30,2020
122,2020-08-19 00:45:07+00:00,False,137,True,0,active,12,0,True,True,137,0,3,2020-08-19 00:51:30,2020
123,2020-08-19 00:09:47+00:00,False,138,True,0,active,10,1,True,True,138,0,4,2020-08-19 00:51:30,2020
124,2020-08-19 00:50:14+00:00,False,139,True,0,active,12,0,True,True,139,0,7,2020-08-19 00:51:30,2020
125,2020-08-19 00:31:34+00:00,False,140,True,0,active,11,0,True,True,140,0,6,2020-08-19 00:51:30,2020
126,2020-08-19 00:44:57+00:00,False,141,True,0,active,6,0,True,True,141,0,9,2020-08-19 00:51:30,2020
127,2020-08-19 00:28:15+00:00,False,142,True,0,active,18,0,True,True,142,0,5,2020-08-19 00:51:30,2020
128,2020-08-19 00:36:43+00:00,False,143,True,0,active,7,2,True,True,143,0,14,2020-08-19 00:51:30,2020
129,2020-08-19 00:08:04+00:00,False,144,True,0,active,19,0,True,True,144,0,0,2020-08-19 00:51:30,2020
130,2020-08-19 00:50:48+00:00,False,145,True,0,active,15,0,True,True,145,0,4,2020-08-19 00:51:30,2020
131,2020-08-19 00:50:25+00:00,False,146,True,0,active,18,1,True,True,146,0,0,2020-08-19 00:51:30,2020
132,2020-08-19 00:47:00+00:00,True,149,True,0,active,13,1,True,True,149,0,4,2020-08-19 00:51:30,2020
133,2020-08-19 00:17:10+00:00,False,150,True,0,active,13,1,True,True,150,0,5,2020-08-19 00:51:30,2020
134,2020-08-18 23:26:49+00:00,False,151,True,0,active,18,0,True,True,151,0,1,2020-08-19 00:51:30,2020
135,2020-08-19 00:48:09+00:00,True,152,True,0,active,11,0,True,True,152,0,4,2020-08-19 00:51:30,2020
