,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
112,0,True,True,False,0,True,0,2020-08-11 22:38:21+00:00,active,8,124,7,124,2020-08-12 02:50:00,2020
113,0,True,True,False,0,True,0,2020-08-12 02:23:35+00:00,active,9,125,6,125,2020-08-12 02:50:00,2020
114,0,True,True,False,0,True,0,2020-08-11 23:36:21+00:00,active,10,126,5,126,2020-08-12 02:50:00,2020
115,1,True,True,False,0,True,0,2020-08-12 02:35:15+00:00,active,11,128,7,128,2020-08-12 02:50:00,2020
116,0,True,True,False,0,True,0,2020-08-12 02:16:52+00:00,active,9,129,10,129,2020-08-12 02:50:00,2020
117,0,True,True,False,0,True,0,2020-08-12 02:05:39+00:00,active,3,130,12,130,2020-08-12 02:50:00,2020
118,0,True,True,False,0,True,0,2020-08-12 02:40:31+00:00,active,2,131,16,131,2020-08-12 02:50:00,2020
119,0,True,True,False,0,True,0,2020-08-12 02:05:08+00:00,active,9,133,14,133,2020-08-12 02:50:00,2020
120,0,True,True,False,0,True,0,2020-08-12 02:46:56+00:00,active,12,135,5,135,2020-08-12 02:50:00,2020
121,0,True,True,False,0,True,0,2020-08-12 00:50:09+00:00,active,17,136,2,136,2020-08-12 02:50:00,2020
122,0,True,True,False,0,True,0,2020-08-12 02:27:29+00:00,active,6,137,9,137,2020-08-12 02:50:00,2020
123,1,True,True,False,0,True,0,2020-08-12 00:35:21+00:00,active,1,138,13,138,2020-08-12 02:50:00,2020
124,0,True,True,False,0,True,0,2020-08-12 02:16:23+00:00,active,5,139,14,139,2020-08-12 02:50:00,2020
125,0,True,True,False,0,True,0,2020-08-12 01:16:00+00:00,active,0,140,17,140,2020-08-12 02:50:00,2020
126,0,True,True,False,0,True,0,2020-08-12 02:31:13+00:00,active,2,141,13,141,2020-08-12 02:50:00,2020
127,1,True,True,False,0,True,0,2020-08-11 23:51:08+00:00,active,10,142,12,142,2020-08-12 02:50:00,2020
128,1,True,True,False,0,True,0,2020-08-12 02:45:39+00:00,active,3,143,19,143,2020-08-12 02:50:00,2020
129,1,True,True,False,0,True,0,2020-08-12 01:08:03+00:00,active,2,144,16,144,2020-08-12 02:50:00,2020
130,0,True,True,False,0,True,0,2020-08-12 00:57:32+00:00,active,1,145,18,145,2020-08-12 02:50:00,2020
131,0,True,True,False,0,True,0,2020-08-12 02:07:46+00:00,active,10,146,9,146,2020-08-12 02:50:00,2020
132,0,True,True,True,0,True,0,2020-08-12 02:13:43+00:00,active,0,149,18,149,2020-08-12 02:50:00,2020
133,1,True,True,False,0,True,0,2020-08-12 01:54:03+00:00,active,2,150,16,150,2020-08-12 02:50:00,2020
134,0,True,True,False,0,True,0,2020-08-12 02:24:46+00:00,active,12,151,7,151,2020-08-12 02:50:00,2020
135,0,True,True,True,0,True,0,2020-08-12 00:59:42+00:00,active,10,152,5,152,2020-08-12 02:50:00,2020
136,0,True,True,False,0,True,0,2020-08-12 02:03:59+00:00,active,11,156,4,156,2020-08-12 02:50:00,2020
137,1,True,True,False,0,True,0,2020-08-12 02:18:03+00:00,active,14,157,0,157,2020-08-12 02:50:00,2020
138,1,True,True,False,0,True,0,2020-08-12 00:13:53+00:00,active,8,159,6,159,2020-08-12 02:50:00,2020
139,0,True,True,True,0,True,0,2020-08-12 01:46:07+00:00,active,13,160,1,160,2020-08-12 02:50:00,2020
140,1,True,True,True,0,True,0,2020-08-12 02:37:40+00:00,active,12,161,10,161,2020-08-12 02:50:00,2020
141,0,True,True,False,0,True,0,2020-08-12 00:57:50+00:00,active,10,162,5,162,2020-08-12 02:50:00,2020
142,0,True,True,True,0,True,0,2020-08-12 02:04:02+00:00,active,10,163,9,163,2020-08-12 02:50:00,2020
143,0,True,True,False,0,True,0,2020-08-12 02:34:25+00:00,active,14,167,1,167,2020-08-12 02:50:00,2020
144,0,True,True,False,0,True,0,2020-08-12 02:35:11+00:00,active,4,169,15,169,2020-08-12 02:50:00,2020
145,1,True,True,True,0,True,0,2020-08-12 02:10:08+00:00,active,12,170,1,170,2020-08-12 02:50:00,2020
146,0,True,True,True,0,True,0,2020-08-12 00:25:43+00:00,active,14,171,9,171,2020-08-12 02:50:00,2020
