,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
82,92,1,0,0,18,0,True,True,True,2020-03-24 08:30:56+00:00,False,,2020-03-24 21:07:39,2020
83,93,11,0,2,2,0,True,True,True,2020-03-24 15:35:01+00:00,False,,2020-03-24 21:07:39,2020
84,94,4,0,0,7,0,True,True,True,2020-03-24 17:18:54+00:00,False,,2020-03-24 21:07:39,2020
85,95,14,0,0,1,0,True,True,True,2020-03-24 20:41:33+00:00,False,,2020-03-24 21:07:39,2020
86,96,5,0,0,14,0,True,True,True,2020-03-24 20:57:19+00:00,False,,2020-03-24 21:07:39,2020
87,97,6,0,0,13,0,True,True,True,2020-03-24 21:01:38+00:00,False,,2020-03-24 21:07:39,2020
88,98,16,0,1,6,0,True,True,True,2020-03-24 18:38:23+00:00,True,,2020-03-24 21:07:39,2020
89,99,12,0,0,3,0,True,True,True,2020-03-24 19:35:28+00:00,False,,2020-03-24 21:07:39,2020
90,100,23,0,1,1,0,True,True,True,2020-03-24 18:52:31+00:00,True,,2020-03-24 21:07:39,2020
91,101,5,0,0,10,0,True,True,True,2020-03-24 19:45:25+00:00,False,,2020-03-24 21:07:39,2020
92,102,11,0,0,4,0,True,True,True,2020-03-24 18:03:39+00:00,False,,2020-03-24 21:07:39,2020
93,103,2,0,1,12,0,True,True,True,2020-03-24 16:07:38+00:00,False,,2020-03-24 21:07:39,2020
94,104,5,0,0,14,0,True,True,True,2020-03-24 20:53:13+00:00,False,,2020-03-24 21:07:39,2020
95,105,2,0,0,17,0,True,True,True,2020-03-24 21:03:12+00:00,False,,2020-03-24 21:07:39,2020
96,106,0,0,0,3,0,False,False,False,2019-11-19 16:56:13+00:00,False,,2020-03-24 21:07:39,2019
97,108,6,0,0,11,0,True,True,True,2020-03-24 19:24:53+00:00,False,,2020-03-24 21:07:39,2020
98,109,35,0,0,0,0,True,True,True,2020-03-24 15:14:58+00:00,False,,2020-03-24 21:07:39,2020
99,110,1,0,0,14,0,True,True,True,2020-03-24 19:14:43+00:00,False,,2020-03-24 21:07:39,2020
100,111,3,0,0,12,0,True,True,True,2020-03-24 16:02:25+00:00,False,,2020-03-24 21:07:39,2020
101,112,3,0,0,12,0,True,True,True,2020-03-24 15:24:49+00:00,False,,2020-03-24 21:07:39,2020
102,113,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
103,114,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
104,115,17,0,0,2,0,True,True,True,2020-03-24 20:47:39+00:00,False,,2020-03-24 21:07:39,2020
105,116,15,0,0,8,0,True,True,True,2020-03-24 20:49:44+00:00,False,,2020-03-24 21:07:39,2020
106,117,11,0,0,8,0,True,True,True,2020-03-24 20:41:18+00:00,False,,2020-03-24 21:07:39,2020
107,118,4,0,1,14,0,True,True,True,2020-03-24 20:33:02+00:00,False,,2020-03-24 21:07:39,2020
108,119,6,0,1,8,0,True,True,True,2020-03-24 20:28:19+00:00,False,,2020-03-24 21:07:39,2020
109,120,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
110,121,10,0,0,7,0,True,True,True,2020-03-24 20:54:18+00:00,False,,2020-03-24 21:07:39,2020
111,122,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
112,124,8,0,0,7,0,True,True,True,2020-03-24 10:57:56+00:00,False,,2020-03-24 21:07:39,2020
113,125,4,0,0,11,0,True,True,True,2020-03-24 19:14:12+00:00,False,,2020-03-24 21:07:39,2020
