,last_reported,is_renting,num_bikes_available,num_ebikes_available,station_status,legacy_id,num_docks_available,station_id,num_docks_disabled,num_bikes_disabled,eightd_has_available_keys,is_installed,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
185,2020-08-04 21:42:45+00:00,True,4,0,active,213,12,213,0,0,True,True,True,,,2020-08-04 22:49:10,2020
186,2020-08-04 22:41:21+00:00,True,5,0,active,214,10,214,0,0,False,True,True,,,2020-08-04 22:49:10,2020
187,2020-08-04 19:07:32+00:00,True,15,0,active,215,0,215,0,0,False,True,True,,,2020-08-04 22:49:10,2020
188,2020-08-04 18:10:19+00:00,True,12,0,active,216,7,216,0,0,False,True,True,,,2020-08-04 22:49:10,2020
189,2020-08-04 20:01:05+00:00,True,16,0,active,217,2,217,0,1,False,True,True,,,2020-08-04 22:49:10,2020
190,2020-08-04 22:40:15+00:00,True,6,0,active,218,8,218,0,1,False,True,True,,,2020-08-04 22:49:10,2020
191,2020-08-04 20:19:56+00:00,True,9,0,active,219,6,219,0,0,False,True,True,,,2020-08-04 22:49:10,2020
192,2020-08-04 22:45:12+00:00,True,4,0,active,221,15,221,0,0,False,True,True,,,2020-08-04 22:49:10,2020
193,2020-08-04 22:33:49+00:00,True,9,0,active,222,5,222,0,0,True,True,True,,,2020-08-04 22:49:10,2020
194,2020-08-04 20:31:14+00:00,True,6,0,active,224,11,224,0,0,False,True,True,,,2020-08-04 22:49:10,2020
195,2020-08-04 22:31:56+00:00,True,3,0,active,225,16,225,0,0,False,True,True,,,2020-08-04 22:49:10,2020
196,2020-08-04 22:47:46+00:00,True,9,0,active,226,5,226,0,1,False,True,True,,,2020-08-04 22:49:10,2020
197,2020-08-04 22:48:01+00:00,True,6,0,active,227,13,227,0,0,False,True,True,,,2020-08-04 22:49:10,2020
198,2020-08-04 22:48:55+00:00,True,15,0,active,228,3,228,0,1,False,True,True,,,2020-08-04 22:49:10,2020
199,2020-08-04 18:35:54+00:00,True,2,0,active,232,9,232,0,0,False,True,True,,,2020-08-04 22:49:10,2020
200,2020-08-04 22:30:40+00:00,True,6,0,active,233,9,233,0,0,False,True,True,,,2020-08-04 22:49:10,2020
201,2020-08-04 22:47:33+00:00,True,3,0,active,234,12,234,0,0,False,True,True,,,2020-08-04 22:49:10,2020
202,2020-08-04 21:47:50+00:00,True,4,0,active,235,10,235,0,1,False,True,True,,,2020-08-04 22:49:10,2020
203,2020-08-04 22:44:27+00:00,True,10,0,active,236,5,236,0,0,False,True,True,,,2020-08-04 22:49:10,2020
204,2020-08-04 21:32:38+00:00,True,10,0,active,239,5,239,0,0,False,True,True,,,2020-08-04 22:49:10,2020
205,2020-08-04 22:15:33+00:00,True,12,0,active,255,3,255,0,0,False,True,True,,,2020-08-04 22:49:10,2020
206,2020-08-04 19:25:29+00:00,True,15,0,active,258,0,258,0,0,False,True,True,,,2020-08-04 22:49:10,2020
207,2020-08-04 09:01:37+00:00,True,0,0,active,259,15,259,0,0,False,True,True,,,2020-08-04 22:49:10,2020
208,2020-08-04 20:42:30+00:00,True,2,0,active,260,13,260,0,0,False,True,True,,,2020-08-04 22:49:10,2020
209,2020-08-04 20:37:38+00:00,True,6,0,active,271,9,271,0,0,False,True,True,,,2020-08-04 22:49:10,2020
210,2020-08-04 20:21:43+00:00,True,5,0,active,272,14,272,0,0,False,True,True,,,2020-08-04 22:49:10,2020
211,2020-08-04 21:57:33+00:00,True,24,0,active,273,15,273,0,1,False,True,True,,,2020-08-04 22:49:10,2020
212,2020-08-04 22:41:32+00:00,True,6,0,active,279,13,279,0,0,False,True,True,,,2020-08-04 22:49:10,2020
213,2020-08-04 22:44:06+00:00,True,10,0,active,280,9,280,0,0,False,True,True,,,2020-08-04 22:49:10,2020
214,2020-08-04 22:34:15+00:00,True,13,0,active,282,2,282,0,0,False,True,True,,,2020-08-04 22:49:10,2020
215,2020-08-04 22:44:36+00:00,True,7,0,active,296,15,296,0,1,False,True,True,,,2020-08-04 22:49:10,2020
216,2020-08-04 22:48:21+00:00,True,12,0,active,318,7,318,0,0,False,True,True,,,2020-08-04 22:49:10,2020
217,2020-08-04 22:13:49+00:00,True,13,0,active,319,12,319,0,0,False,True,True,,,2020-08-04 22:49:10,2020
