,station_id,last_reported,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,legacy_id,station_status,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
156,182,2020-08-05 03:05:55+00:00,0,True,True,0,True,0,True,15,182,active,4,2020-08-05 06:59:10,2020
157,183,2020-08-04 20:11:48+00:00,0,False,True,0,True,0,True,8,183,active,11,2020-08-05 06:59:10,2020
158,184,2020-08-05 04:49:11+00:00,0,False,True,0,True,0,True,10,184,active,9,2020-08-05 06:59:10,2020
159,185,2020-08-05 06:43:43+00:00,0,False,True,2,True,0,True,7,185,active,6,2020-08-05 06:59:10,2020
160,186,2020-08-05 05:03:58+00:00,0,True,True,0,True,0,True,4,186,active,11,2020-08-05 06:59:10,2020
161,187,2020-08-05 01:54:14+00:00,0,False,True,0,True,0,True,0,187,active,15,2020-08-05 06:59:10,2020
162,188,2020-08-05 01:26:23+00:00,0,False,True,0,True,0,True,11,188,active,4,2020-08-05 06:59:10,2020
163,189,2020-08-05 04:13:21+00:00,0,False,True,1,True,0,True,22,189,active,0,2020-08-05 06:59:10,2020
164,190,2020-08-05 05:12:29+00:00,0,True,True,0,True,0,True,24,190,active,13,2020-08-05 06:59:10,2020
165,191,2020-08-05 04:49:52+00:00,0,False,True,0,True,0,True,11,191,active,4,2020-08-05 06:59:10,2020
166,192,2020-08-05 05:54:10+00:00,0,False,True,0,True,0,True,19,192,active,0,2020-08-05 06:59:10,2020
167,193,2020-08-05 01:56:15+00:00,0,True,True,1,True,0,True,5,193,active,9,2020-08-05 06:59:10,2020
168,194,2020-08-05 03:51:55+00:00,0,False,True,0,True,0,True,12,194,active,7,2020-08-05 06:59:10,2020
169,195,2020-08-05 03:40:28+00:00,0,False,True,0,True,0,True,7,195,active,16,2020-08-05 06:59:10,2020
170,196,2020-08-05 03:19:11+00:00,0,True,True,0,True,0,True,9,196,active,1,2020-08-05 06:59:10,2020
171,197,2020-08-05 00:04:23+00:00,0,False,True,0,True,0,True,14,197,active,1,2020-08-05 06:59:10,2020
172,199,2020-08-04 22:49:17+00:00,0,False,True,0,True,0,True,1,199,active,14,2020-08-05 06:59:10,2020
173,200,2020-08-05 04:41:56+00:00,0,False,True,1,True,0,True,2,200,active,16,2020-08-05 06:59:10,2020
174,201,2020-08-04 12:17:44+00:00,0,False,True,0,True,0,True,15,201,active,0,2020-08-05 06:59:10,2020
175,202,2020-08-04 18:10:32+00:00,0,False,True,1,True,0,True,14,202,active,0,2020-08-05 06:59:10,2020
176,203,2020-08-04 08:21:44+00:00,0,False,True,0,True,0,True,9,203,active,6,2020-08-05 06:59:10,2020
177,204,2020-08-04 22:48:50+00:00,0,False,True,1,True,0,True,12,204,active,2,2020-08-05 06:59:10,2020
178,205,2020-08-05 06:46:16+00:00,0,False,True,0,True,0,True,8,205,active,7,2020-08-05 06:59:10,2020
179,206,2020-08-05 03:36:18+00:00,0,False,True,0,True,0,True,15,206,active,8,2020-08-05 06:59:10,2020
180,208,2020-08-05 06:21:49+00:00,0,True,True,0,True,0,True,3,208,active,12,2020-08-05 06:59:10,2020
181,209,2020-08-04 23:49:19+00:00,0,False,True,0,True,0,True,7,209,active,8,2020-08-05 06:59:10,2020
182,210,2020-08-05 04:36:16+00:00,0,False,True,1,True,0,True,11,210,active,3,2020-08-05 06:59:10,2020
183,211,2020-08-05 01:17:09+00:00,0,False,True,0,True,0,True,2,211,active,17,2020-08-05 06:59:10,2020
184,212,2020-08-05 04:01:19+00:00,0,False,True,0,True,0,True,14,212,active,19,2020-08-05 06:59:10,2020
185,213,2020-08-05 00:54:10+00:00,0,True,True,0,True,0,True,9,213,active,7,2020-08-05 06:59:10,2020
186,214,2020-08-05 06:57:28+00:00,0,False,True,0,True,0,True,5,214,active,10,2020-08-05 06:59:10,2020
187,215,2020-08-05 06:42:12+00:00,0,False,True,0,True,0,True,3,215,active,12,2020-08-05 06:59:10,2020
188,216,2020-08-04 18:10:19+00:00,0,False,True,0,True,0,True,7,216,active,12,2020-08-05 06:59:10,2020
189,217,2020-08-05 00:16:43+00:00,0,False,True,1,True,0,True,1,217,active,17,2020-08-05 06:59:10,2020
190,218,2020-08-05 02:59:11+00:00,0,False,True,1,True,0,True,8,218,active,6,2020-08-05 06:59:10,2020
191,219,2020-08-05 03:58:44+00:00,0,False,True,0,True,0,True,5,219,active,10,2020-08-05 06:59:10,2020
192,221,2020-08-05 05:27:49+00:00,0,False,True,0,True,0,True,5,221,active,14,2020-08-05 06:59:10,2020
193,222,2020-08-05 02:52:44+00:00,0,True,True,0,True,0,True,7,222,active,7,2020-08-05 06:59:10,2020
194,224,2020-08-05 01:31:10+00:00,0,False,True,0,True,0,True,11,224,active,6,2020-08-05 06:59:10,2020
195,225,2020-08-05 06:44:09+00:00,0,False,True,0,True,0,True,10,225,active,9,2020-08-05 06:59:10,2020
196,226,2020-08-05 05:30:49+00:00,0,False,True,0,True,0,True,3,226,active,12,2020-08-05 06:59:10,2020
197,227,2020-08-05 06:33:34+00:00,0,False,True,0,True,0,True,16,227,active,3,2020-08-05 06:59:10,2020
198,228,2020-08-05 00:40:35+00:00,0,False,True,0,True,0,True,7,228,active,12,2020-08-05 06:59:10,2020
199,232,2020-08-05 01:12:26+00:00,0,False,True,0,True,0,True,10,232,active,1,2020-08-05 06:59:10,2020
200,233,2020-08-05 06:51:00+00:00,0,False,True,0,True,0,True,12,233,active,3,2020-08-05 06:59:10,2020
201,234,2020-08-04 23:50:55+00:00,0,False,True,0,True,0,True,11,234,active,4,2020-08-05 06:59:10,2020
202,235,2020-08-05 02:50:39+00:00,0,False,True,1,True,0,True,9,235,active,5,2020-08-05 06:59:10,2020
203,236,2020-08-05 00:14:33+00:00,0,False,True,0,True,0,True,5,236,active,10,2020-08-05 06:59:10,2020
204,239,2020-08-05 04:41:46+00:00,0,False,True,0,True,0,True,1,239,active,14,2020-08-05 06:59:10,2020
205,255,2020-08-04 22:15:33+00:00,0,False,True,0,True,0,True,3,255,active,12,2020-08-05 06:59:10,2020
206,258,2020-08-04 19:25:29+00:00,0,False,True,0,True,0,True,0,258,active,15,2020-08-05 06:59:10,2020
207,259,2020-08-04 09:01:37+00:00,0,False,True,0,True,0,True,15,259,active,0,2020-08-05 06:59:10,2020
208,260,2020-08-05 04:08:44+00:00,0,False,True,0,True,0,True,12,260,active,3,2020-08-05 06:59:10,2020
209,271,2020-08-05 04:27:34+00:00,0,False,True,0,True,0,True,10,271,active,5,2020-08-05 06:59:10,2020
210,272,2020-08-04 20:21:43+00:00,0,False,True,0,True,0,True,14,272,active,5,2020-08-05 06:59:10,2020
211,273,2020-08-05 04:05:10+00:00,0,False,True,1,True,0,True,15,273,active,24,2020-08-05 06:59:10,2020
212,279,2020-08-05 03:58:51+00:00,0,False,True,0,True,0,True,15,279,active,4,2020-08-05 06:59:10,2020
213,280,2020-08-05 03:32:13+00:00,0,False,True,0,True,0,True,8,280,active,11,2020-08-05 06:59:10,2020
214,282,2020-08-05 01:24:45+00:00,0,False,True,0,True,0,True,0,282,active,15,2020-08-05 06:59:10,2020
215,296,2020-08-05 03:53:26+00:00,0,False,True,1,True,0,True,13,296,active,9,2020-08-05 06:59:10,2020
216,318,2020-08-05 04:07:02+00:00,0,False,True,0,True,0,True,17,318,active,2,2020-08-05 06:59:10,2020
217,319,2020-08-05 04:24:02+00:00,0,False,True,0,True,0,True,11,319,active,14,2020-08-05 06:59:10,2020
218,327,2020-08-04 21:18:00+00:00,0,False,True,0,True,0,True,7,327,active,8,2020-08-05 06:59:10,2020
219,328,2020-08-05 03:26:59+00:00,0,False,True,0,True,0,True,3,328,active,12,2020-08-05 06:59:10,2020
220,329,2020-08-05 01:19:33+00:00,0,False,True,0,True,0,True,6,329,active,9,2020-08-05 06:59:10,2020
221,330,2020-08-05 02:10:06+00:00,0,False,True,0,True,0,True,10,330,active,5,2020-08-05 06:59:10,2020
222,331,2020-08-05 05:35:37+00:00,0,False,True,0,True,0,True,6,331,active,9,2020-08-05 06:59:10,2020
223,332,2020-08-05 06:08:56+00:00,0,False,True,0,True,0,True,15,332,active,0,2020-08-05 06:59:10,2020
224,333,2020-08-05 02:53:06+00:00,0,False,True,0,True,0,True,6,333,active,19,2020-08-05 06:59:10,2020
225,334,2020-08-05 04:43:18+00:00,0,False,True,0,True,0,True,9,334,active,10,2020-08-05 06:59:10,2020
226,335,2020-08-05 06:14:19+00:00,0,False,True,0,True,0,True,18,335,active,1,2020-08-05 06:59:10,2020
227,336,2020-08-04 23:47:53+00:00,0,False,True,0,True,0,True,3,336,active,12,2020-08-05 06:59:10,2020
228,337,2020-08-05 01:06:43+00:00,0,False,True,0,True,0,True,2,337,active,13,2020-08-05 06:59:10,2020
