,num_docks_available,last_reported,legacy_id,station_id,is_renting,is_installed,is_returning,station_status,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,num_docks_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
256,18,2020-08-07 23:10:51+00:00,365,365,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
257,8,2020-08-07 23:09:45+00:00,366,366,True,True,True,active,1,False,6,0,0,,,2020-08-07 23:14:00,2020
258,0,2020-08-07 21:49:03+00:00,367,367,True,True,True,active,0,False,19,0,0,,,2020-08-07 23:14:00,2020
259,8,2020-08-07 21:11:51+00:00,368,368,True,True,True,active,1,False,6,0,0,,,2020-08-07 23:14:00,2020
260,6,2020-08-07 22:39:27+00:00,369,369,True,True,True,active,1,False,8,0,0,,,2020-08-07 23:14:00,2020
261,6,2020-08-07 23:13:56+00:00,370,370,True,True,True,active,0,False,13,0,0,,,2020-08-07 23:14:00,2020
262,8,2020-08-07 23:08:09+00:00,371,371,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
263,5,2020-08-07 23:09:04+00:00,372,372,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
264,7,2020-08-07 20:11:03+00:00,373,373,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
265,18,2020-08-07 23:09:51+00:00,374,374,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
266,13,2020-08-07 23:06:30+00:00,376,376,True,True,True,active,1,False,1,0,0,,,2020-08-07 23:14:00,2020
267,5,2020-08-07 22:49:08+00:00,377,377,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
268,18,2020-08-07 22:58:35+00:00,378,378,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
269,9,2020-08-07 23:09:12+00:00,379,379,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
270,12,2020-08-07 23:12:46+00:00,380,380,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
271,14,2020-08-07 23:10:19+00:00,381,381,True,True,True,active,1,False,4,0,0,,,2020-08-07 23:14:00,2020
272,13,2020-08-07 23:12:35+00:00,384,384,True,True,True,active,1,True,5,0,0,,,2020-08-07 23:14:00,2020
273,14,2020-08-07 21:38:13+00:00,385,385,True,True,True,active,0,False,0,1,0,,,2020-08-07 23:14:00,2020
274,12,2020-08-07 23:08:02+00:00,386,386,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
275,6,2020-08-07 23:11:39+00:00,387,387,True,True,True,active,0,False,9,0,0,,,2020-08-07 23:14:00,2020
276,0,2020-08-07 17:10:16+00:00,388,388,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
277,1,2020-08-07 13:20:40+00:00,389,389,True,True,True,active,1,False,12,0,0,,,2020-08-07 23:14:00,2020
278,0,2020-08-07 20:34:48+00:00,390,390,True,True,True,active,0,False,15,0,0,,,2020-08-07 23:14:00,2020
