,num_docks_available,is_renting,is_returning,last_reported,num_ebikes_available,is_installed,num_bikes_disabled,station_id,num_docks_disabled,eightd_has_available_keys,station_status,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
121,18,True,True,2020-08-06 01:39:53+00:00,0,True,0,136,0,False,active,136,1,,,2020-08-06 02:58:30,2020
122,13,True,True,2020-08-06 01:56:59+00:00,0,True,0,137,0,False,active,137,2,,,2020-08-06 02:58:30,2020
123,12,True,True,2020-08-06 02:26:28+00:00,0,True,0,138,0,False,active,138,3,,,2020-08-06 02:58:30,2020
124,7,True,True,2020-08-06 02:30:15+00:00,0,True,0,139,0,False,active,139,12,,,2020-08-06 02:58:30,2020
125,3,True,True,2020-08-05 23:32:48+00:00,0,True,1,140,0,False,active,140,13,,,2020-08-06 02:58:30,2020
126,10,True,True,2020-08-06 02:29:56+00:00,0,True,0,141,0,False,active,141,5,,,2020-08-06 02:58:30,2020
127,10,True,True,2020-08-06 02:47:37+00:00,0,True,3,142,0,False,active,142,10,,,2020-08-06 02:58:30,2020
128,14,True,True,2020-08-06 02:46:20+00:00,0,True,1,143,0,False,active,143,8,,,2020-08-06 02:58:30,2020
129,12,True,True,2020-08-06 00:02:45+00:00,0,True,0,144,0,False,active,144,7,,,2020-08-06 02:58:30,2020
130,12,True,True,2020-08-05 23:49:58+00:00,0,True,0,145,0,False,active,145,7,,,2020-08-06 02:58:30,2020
131,8,True,True,2020-08-06 02:40:40+00:00,0,True,1,146,0,False,active,146,10,,,2020-08-06 02:58:30,2020
132,2,True,True,2020-08-06 02:20:00+00:00,0,True,0,149,0,True,active,149,16,,,2020-08-06 02:58:30,2020
133,19,True,True,2020-08-06 02:19:04+00:00,0,True,0,150,0,False,active,150,0,,,2020-08-06 02:58:30,2020
134,19,True,True,2020-08-06 02:25:02+00:00,0,True,0,151,0,False,active,151,0,,,2020-08-06 02:58:30,2020
135,3,True,True,2020-08-06 01:32:46+00:00,0,True,0,152,0,True,active,152,12,,,2020-08-06 02:58:30,2020
136,8,True,True,2020-08-05 23:18:36+00:00,0,True,0,156,0,False,active,156,7,,,2020-08-06 02:58:30,2020
137,12,True,True,2020-08-06 02:43:07+00:00,0,True,2,157,0,False,active,157,1,,,2020-08-06 02:58:30,2020
138,5,True,True,2020-08-06 01:41:22+00:00,0,True,3,159,0,False,active,159,7,,,2020-08-06 02:58:30,2020
139,9,True,True,2020-08-06 01:32:24+00:00,0,True,0,160,0,True,active,160,5,,,2020-08-06 02:58:30,2020
140,1,True,True,2020-08-06 01:55:21+00:00,0,True,0,161,0,True,active,161,22,,,2020-08-06 02:58:30,2020
141,6,True,True,2020-08-06 02:32:22+00:00,0,True,0,162,0,False,active,162,9,,,2020-08-06 02:58:30,2020
142,10,True,True,2020-08-06 02:30:45+00:00,0,True,0,163,0,True,active,163,9,,,2020-08-06 02:58:30,2020
143,8,True,True,2020-08-06 02:05:31+00:00,0,True,1,167,0,False,active,167,6,,,2020-08-06 02:58:30,2020
144,5,True,True,2020-08-06 01:33:06+00:00,0,True,1,169,0,False,active,169,13,,,2020-08-06 02:58:30,2020
