,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
77,8,True,2020-08-04 22:37:35+00:00,87,False,active,7,0,0,True,87,True,0,,,2020-08-04 22:38:55,2020
78,12,True,2020-08-04 22:22:28+00:00,89,False,active,6,0,1,True,89,True,0,,,2020-08-04 22:38:55,2020
79,8,True,2020-08-04 22:38:38+00:00,90,False,active,9,0,2,True,90,True,0,,,2020-08-04 22:38:55,2020
80,5,True,2020-08-04 22:24:01+00:00,91,False,active,12,0,2,True,91,True,0,,,2020-08-04 22:38:55,2020
81,15,True,2020-08-04 17:12:55+00:00,92,False,active,4,0,0,True,92,True,0,,,2020-08-04 22:38:55,2020
82,11,True,2020-08-04 21:18:51+00:00,93,False,active,3,0,1,True,93,True,0,,,2020-08-04 22:38:55,2020
83,5,True,2020-08-04 22:12:54+00:00,94,False,active,4,0,2,True,94,True,0,,,2020-08-04 22:38:55,2020
84,13,True,2020-08-04 22:33:49+00:00,95,False,active,2,0,0,True,95,True,0,,,2020-08-04 22:38:55,2020
85,15,True,2020-08-04 22:28:37+00:00,96,False,active,4,0,0,True,96,True,0,,,2020-08-04 22:38:55,2020
86,9,True,2020-08-04 22:23:39+00:00,97,False,active,9,0,1,True,97,True,0,,,2020-08-04 22:38:55,2020
87,12,True,2020-08-04 22:27:44+00:00,98,False,active,11,0,0,True,98,True,0,,,2020-08-04 22:38:55,2020
88,6,True,2020-08-04 22:22:32+00:00,99,False,active,9,0,0,True,99,True,0,,,2020-08-04 22:38:55,2020
89,20,True,2020-08-04 22:29:36+00:00,100,True,active,4,0,1,True,100,True,0,,,2020-08-04 22:38:55,2020
90,15,True,2020-08-04 21:47:00+00:00,101,False,active,0,0,0,True,101,True,0,,,2020-08-04 22:38:55,2020
91,10,True,2020-08-04 21:41:50+00:00,102,False,active,4,0,1,True,102,True,0,,,2020-08-04 22:38:55,2020
92,7,True,2020-08-04 22:07:49+00:00,103,False,active,7,0,1,True,103,True,0,,,2020-08-04 22:38:55,2020
93,4,True,2020-08-04 22:00:05+00:00,104,False,active,15,0,0,True,104,True,0,,,2020-08-04 22:38:55,2020
94,3,True,2020-08-04 22:11:59+00:00,105,False,active,16,0,0,True,105,True,0,,,2020-08-04 22:38:55,2020
95,0,True,2020-08-04 22:22:49+00:00,106,False,active,15,0,0,True,106,True,0,,,2020-08-04 22:38:55,2020
96,2,True,2020-08-04 22:30:19+00:00,107,False,active,17,0,0,True,107,True,0,,,2020-08-04 22:38:55,2020
97,7,True,2020-08-04 22:22:03+00:00,108,False,active,9,0,1,True,108,True,0,,,2020-08-04 22:38:55,2020
98,11,True,2020-08-04 18:13:59+00:00,109,False,active,22,0,2,True,109,True,0,,,2020-08-04 22:38:55,2020
99,8,True,2020-08-04 22:21:35+00:00,110,False,active,7,0,0,True,110,True,0,,,2020-08-04 22:38:55,2020
100,1,True,2020-08-04 19:14:24+00:00,111,False,active,14,0,0,True,111,True,0,,,2020-08-04 22:38:55,2020
101,10,True,2020-08-04 21:20:39+00:00,112,False,active,5,0,0,True,112,True,0,,,2020-08-04 22:38:55,2020
102,12,True,2020-08-04 20:54:06+00:00,113,False,active,3,0,0,True,113,True,0,,,2020-08-04 22:38:55,2020
103,11,True,2020-08-04 18:12:28+00:00,114,False,active,4,0,0,True,114,True,0,,,2020-08-04 22:38:55,2020
104,14,True,2020-08-04 22:26:26+00:00,115,False,active,5,0,0,True,115,True,0,,,2020-08-04 22:38:55,2020
105,23,True,2020-08-04 22:27:14+00:00,116,False,active,0,0,0,True,116,True,0,,,2020-08-04 22:38:55,2020
106,6,True,2020-08-04 22:35:45+00:00,117,False,active,13,0,0,True,117,True,0,,,2020-08-04 22:38:55,2020
107,17,True,2020-08-04 22:35:29+00:00,118,False,active,2,0,0,True,118,True,0,,,2020-08-04 22:38:55,2020
108,4,True,2020-08-04 22:24:42+00:00,119,False,active,11,0,0,True,119,True,0,,,2020-08-04 22:38:55,2020
109,1,True,2020-08-04 22:36:37+00:00,120,False,active,14,0,0,True,120,True,0,,,2020-08-04 22:38:55,2020
110,1,True,2020-08-04 22:38:23+00:00,121,False,active,16,0,0,True,121,True,0,,,2020-08-04 22:38:55,2020
111,3,True,2020-08-04 22:16:07+00:00,122,False,active,12,0,0,True,122,True,0,,,2020-08-04 22:38:55,2020
112,1,True,2020-08-04 21:00:19+00:00,124,False,active,14,0,0,True,124,True,0,,,2020-08-04 22:38:55,2020
113,4,True,2020-08-04 21:52:43+00:00,125,False,active,11,0,0,True,125,True,0,,,2020-08-04 22:38:55,2020
114,2,True,2020-08-04 19:26:30+00:00,126,False,active,13,0,0,True,126,True,0,,,2020-08-04 22:38:55,2020
115,15,True,2020-08-04 21:31:09+00:00,128,False,active,4,0,0,True,128,True,0,,,2020-08-04 22:38:55,2020
116,17,True,2020-08-04 22:37:04+00:00,129,False,active,2,0,0,True,129,True,0,,,2020-08-04 22:38:55,2020
117,13,True,2020-08-04 17:43:37+00:00,130,False,active,2,0,0,True,130,True,0,,,2020-08-04 22:38:55,2020
118,11,True,2020-08-04 22:33:45+00:00,131,False,active,7,0,0,True,131,True,0,,,2020-08-04 22:38:55,2020
119,11,True,2020-08-04 22:08:17+00:00,133,False,active,11,0,1,True,133,True,0,,,2020-08-04 22:38:55,2020
120,12,True,2020-08-04 18:45:12+00:00,135,False,active,5,0,0,True,135,True,0,,,2020-08-04 22:38:55,2020
121,10,True,2020-08-04 22:10:21+00:00,136,False,active,8,0,1,True,136,True,0,,,2020-08-04 22:38:55,2020
122,5,True,2020-08-04 19:35:22+00:00,137,False,active,10,0,0,True,137,True,0,,,2020-08-04 22:38:55,2020
