,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,timestamp_of_data_read_request,year_station_last_reported
105,True,True,True,False,116,0,0,2020-08-11 04:50:43+00:00,active,6,0,17,116,2020-08-11 06:38:15,2020
106,True,True,True,False,117,0,0,2020-08-11 01:34:16+00:00,active,7,0,12,117,2020-08-11 06:38:15,2020
107,True,True,True,False,118,0,0,2020-08-11 02:22:40+00:00,active,0,1,18,118,2020-08-11 06:38:15,2020
108,True,True,True,False,119,0,0,2020-08-11 03:59:42+00:00,active,14,0,1,119,2020-08-11 06:38:15,2020
109,True,True,True,False,120,0,0,2020-08-11 05:15:38+00:00,active,3,1,11,120,2020-08-11 06:38:15,2020
110,True,True,True,False,121,0,0,2020-08-11 03:21:27+00:00,active,10,0,7,121,2020-08-11 06:38:15,2020
111,True,True,True,False,122,0,0,2020-08-11 06:07:55+00:00,active,10,0,5,122,2020-08-11 06:38:15,2020
112,True,True,True,False,124,0,0,2020-08-11 00:41:14+00:00,active,4,0,11,124,2020-08-11 06:38:15,2020
113,True,True,True,False,125,0,0,2020-08-11 03:06:56+00:00,active,9,0,6,125,2020-08-11 06:38:15,2020
114,True,True,True,False,126,0,0,2020-08-11 05:14:03+00:00,active,10,0,5,126,2020-08-11 06:38:15,2020
115,True,True,True,False,128,0,0,2020-08-11 04:34:31+00:00,active,7,0,12,128,2020-08-11 06:38:15,2020
116,True,True,True,False,129,0,0,2020-08-11 02:38:45+00:00,active,7,0,12,129,2020-08-11 06:38:15,2020
117,True,True,True,False,130,0,0,2020-08-11 02:12:28+00:00,active,3,0,12,130,2020-08-11 06:38:15,2020
118,True,True,True,False,131,0,0,2020-08-11 02:24:42+00:00,active,0,0,18,131,2020-08-11 06:38:15,2020
119,True,True,True,False,133,0,0,2020-08-11 02:10:17+00:00,active,4,1,18,133,2020-08-11 06:38:15,2020
120,True,True,True,False,135,0,0,2020-08-11 06:35:40+00:00,active,11,1,5,135,2020-08-11 06:38:15,2020
121,True,True,True,False,136,0,0,2020-08-11 00:39:52+00:00,active,12,1,6,136,2020-08-11 06:38:15,2020
122,True,True,True,False,137,0,0,2020-08-11 02:03:19+00:00,active,3,0,12,137,2020-08-11 06:38:15,2020
123,True,True,True,False,138,0,0,2020-08-11 00:52:25+00:00,active,1,2,12,138,2020-08-11 06:38:15,2020
124,True,True,True,False,139,0,0,2020-08-11 06:14:42+00:00,active,11,0,8,139,2020-08-11 06:38:15,2020
125,True,True,True,False,140,0,0,2020-08-11 06:34:08+00:00,active,5,0,12,140,2020-08-11 06:38:15,2020
126,True,True,True,False,141,0,0,2020-08-11 03:48:25+00:00,active,7,0,8,141,2020-08-11 06:38:15,2020
127,True,True,True,False,142,0,0,2020-08-11 00:54:24+00:00,active,6,0,17,142,2020-08-11 06:38:15,2020
128,True,True,True,False,143,0,0,2020-08-11 04:48:11+00:00,active,5,0,18,143,2020-08-11 06:38:15,2020
129,True,True,True,False,144,0,0,2020-08-11 00:35:41+00:00,active,5,0,14,144,2020-08-11 06:38:15,2020
130,True,True,True,False,145,0,0,2020-08-11 01:47:51+00:00,active,2,0,17,145,2020-08-11 06:38:15,2020
131,True,True,True,False,146,0,0,2020-08-11 00:54:41+00:00,active,14,2,3,146,2020-08-11 06:38:15,2020
132,True,True,True,True,149,0,0,2020-08-11 02:19:11+00:00,active,3,0,15,149,2020-08-11 06:38:15,2020
133,True,True,True,False,150,0,0,2020-08-11 03:08:21+00:00,active,8,1,10,150,2020-08-11 06:38:15,2020
134,True,True,True,False,151,0,0,2020-08-11 06:31:24+00:00,active,17,0,2,151,2020-08-11 06:38:15,2020
