,station_status,num_bikes_disabled,last_reported,legacy_id,is_installed,num_docks_available,eightd_has_available_keys,is_renting,station_id,num_ebikes_available,num_bikes_available,is_returning,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
160,active,0,2020-08-22 02:10:03+00:00,186,True,3,True,True,186,0,12,True,0,2020-08-22 03:05:25,2020
161,active,1,2020-08-22 00:37:03+00:00,187,True,12,False,True,187,0,2,True,0,2020-08-22 03:05:25,2020
162,active,0,2020-08-22 02:45:15+00:00,188,True,1,False,True,188,0,14,True,0,2020-08-22 03:05:25,2020
163,active,0,2020-08-22 02:34:32+00:00,189,True,22,True,True,189,0,1,True,0,2020-08-22 03:05:25,2020
164,active,1,2020-08-22 02:44:42+00:00,190,True,23,True,True,190,0,13,True,0,2020-08-22 03:05:25,2020
165,active,0,2020-08-22 02:35:19+00:00,191,True,15,False,True,191,0,0,True,0,2020-08-22 03:05:25,2020
166,active,0,2020-08-22 02:25:31+00:00,192,True,16,False,True,192,0,3,True,0,2020-08-22 03:05:25,2020
167,active,0,2020-08-22 02:10:37+00:00,193,True,10,True,True,193,0,5,True,0,2020-08-22 03:05:25,2020
168,active,0,2020-08-22 02:09:02+00:00,194,True,15,False,True,194,0,4,True,0,2020-08-22 03:05:25,2020
169,active,0,2020-08-22 02:58:35+00:00,195,True,12,False,True,195,0,11,True,0,2020-08-22 03:05:25,2020
170,active,0,2020-08-22 01:43:10+00:00,196,True,3,False,True,196,0,7,True,0,2020-08-22 03:05:25,2020
171,active,0,2020-08-22 01:48:34+00:00,197,True,1,False,True,197,0,14,True,0,2020-08-22 03:05:25,2020
172,active,0,2020-08-21 23:38:51+00:00,199,True,4,False,True,199,0,11,True,0,2020-08-22 03:05:25,2020
173,active,0,2020-08-22 02:51:17+00:00,200,True,2,False,True,200,0,17,True,0,2020-08-22 03:05:25,2020
174,active,0,2020-08-21 22:44:20+00:00,201,True,13,False,True,201,0,2,True,0,2020-08-22 03:05:25,2020
175,active,0,2020-08-22 01:55:14+00:00,202,True,12,False,True,202,0,3,True,0,2020-08-22 03:05:25,2020
176,active,0,2020-08-21 12:45:21+00:00,203,True,9,False,True,203,0,6,True,0,2020-08-22 03:05:25,2020
177,active,0,2020-08-22 01:15:54+00:00,204,True,14,False,True,204,0,1,True,0,2020-08-22 03:05:25,2020
178,active,0,2020-08-22 02:28:27+00:00,205,True,11,False,True,205,0,4,True,0,2020-08-22 03:05:25,2020
179,active,0,2020-08-22 02:59:17+00:00,206,True,13,False,True,206,0,10,True,0,2020-08-22 03:05:25,2020
180,active,0,2020-08-22 01:20:02+00:00,208,True,0,True,True,208,0,15,True,0,2020-08-22 03:05:25,2020
181,active,1,2020-08-22 03:02:39+00:00,209,True,11,False,True,209,0,3,True,0,2020-08-22 03:05:25,2020
182,active,0,2020-08-22 02:50:53+00:00,210,True,15,False,True,210,0,0,True,0,2020-08-22 03:05:25,2020
183,active,0,2020-08-22 01:28:09+00:00,211,True,6,False,True,211,0,13,True,0,2020-08-22 03:05:25,2020
184,active,2,2020-08-22 02:47:07+00:00,212,True,29,False,True,212,0,2,True,0,2020-08-22 03:05:25,2020
185,active,0,2020-08-22 02:07:25+00:00,213,True,11,True,True,213,0,5,True,0,2020-08-22 03:05:25,2020
186,active,0,2020-08-22 01:43:02+00:00,214,True,10,False,True,214,0,5,True,0,2020-08-22 03:05:25,2020
187,active,1,2020-08-22 01:02:30+00:00,215,True,9,False,True,215,0,5,True,0,2020-08-22 03:05:25,2020
188,active,0,2020-08-21 23:55:44+00:00,216,True,6,False,True,216,0,13,True,0,2020-08-22 03:05:25,2020
