,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,valet,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
171,True,active,True,True,0,1,,196,True,9,196,0,2020-08-02 21:10:03+00:00,0,,2020-08-03 02:17:40,2020
172,True,active,True,False,0,2,,197,True,13,197,0,2020-08-03 00:31:43+00:00,0,,2020-08-03 02:17:40,2020
173,True,active,True,False,0,13,,199,True,2,199,0,2020-08-03 01:24:50+00:00,0,,2020-08-03 02:17:40,2020
174,True,active,True,False,0,19,,200,True,0,200,0,2020-08-03 01:59:45+00:00,0,,2020-08-03 02:17:40,2020
175,True,active,True,False,0,2,,201,True,12,201,0,2020-08-03 00:42:23+00:00,1,,2020-08-03 02:17:40,2020
176,True,active,True,False,0,3,,202,True,12,202,0,2020-08-02 23:14:20+00:00,0,,2020-08-03 02:17:40,2020
177,True,active,True,False,0,4,,203,True,11,203,0,2020-08-03 01:19:37+00:00,0,,2020-08-03 02:17:40,2020
178,True,active,True,False,0,6,,204,True,9,204,0,2020-08-03 00:43:11+00:00,0,,2020-08-03 02:17:40,2020
179,True,active,True,False,0,5,,205,True,10,205,0,2020-08-02 23:10:26+00:00,0,,2020-08-03 02:17:40,2020
180,True,active,True,False,0,10,,206,True,13,206,0,2020-08-03 01:05:47+00:00,0,,2020-08-03 02:17:40,2020
181,True,active,True,True,0,13,,208,True,2,208,0,2020-08-02 21:24:43+00:00,0,,2020-08-03 02:17:40,2020
182,True,active,True,False,0,9,,209,True,6,209,0,2020-08-03 01:18:46+00:00,0,,2020-08-03 02:17:40,2020
183,True,active,True,False,0,3,,210,True,12,210,0,2020-08-03 02:09:33+00:00,0,,2020-08-03 02:17:40,2020
184,True,active,True,False,0,16,,211,True,3,211,0,2020-08-03 00:59:01+00:00,0,,2020-08-03 02:17:40,2020
185,True,active,True,False,0,19,,212,True,14,212,0,2020-08-03 00:56:42+00:00,0,,2020-08-03 02:17:40,2020
186,True,active,True,True,0,2,,213,True,14,213,0,2020-08-03 00:55:44+00:00,0,,2020-08-03 02:17:40,2020
187,True,active,True,False,0,15,,214,True,0,214,0,2020-08-03 00:20:29+00:00,0,,2020-08-03 02:17:40,2020
188,True,active,True,False,0,12,,215,True,3,215,0,2020-08-03 00:46:36+00:00,0,,2020-08-03 02:17:40,2020
189,True,active,True,False,0,14,,216,True,5,216,0,2020-08-02 20:36:15+00:00,0,,2020-08-03 02:17:40,2020
190,True,active,True,False,0,10,,217,True,9,217,0,2020-08-02 21:20:49+00:00,0,,2020-08-03 02:17:40,2020
191,True,active,True,False,0,12,,218,True,1,218,0,2020-08-03 02:16:30+00:00,2,,2020-08-03 02:17:40,2020
192,True,active,True,False,0,8,,219,True,7,219,0,2020-08-02 20:39:53+00:00,0,,2020-08-03 02:17:40,2020
193,True,active,True,False,0,13,,221,True,6,221,0,2020-08-03 01:58:15+00:00,0,,2020-08-03 02:17:40,2020
194,True,active,True,True,0,2,,222,True,12,222,0,2020-08-03 01:18:49+00:00,0,,2020-08-03 02:17:40,2020
195,True,active,True,False,0,6,,224,True,11,224,0,2020-08-03 01:06:44+00:00,0,,2020-08-03 02:17:40,2020
196,True,active,True,False,0,2,,225,True,17,225,0,2020-08-03 00:34:38+00:00,0,,2020-08-03 02:17:40,2020
197,True,active,True,False,0,6,,226,True,8,226,0,2020-08-03 02:14:18+00:00,1,,2020-08-03 02:17:40,2020
198,True,active,True,False,0,7,,227,True,12,227,0,2020-08-03 00:50:59+00:00,0,,2020-08-03 02:17:40,2020
199,True,active,True,False,0,4,,228,True,14,228,0,2020-08-02 23:32:55+00:00,1,,2020-08-03 02:17:40,2020
200,True,active,True,False,0,6,,232,True,5,232,0,2020-08-02 20:32:52+00:00,0,,2020-08-03 02:17:40,2020
201,True,active,True,False,0,10,,233,True,3,233,0,2020-08-03 01:52:24+00:00,2,,2020-08-03 02:17:40,2020
202,True,active,True,False,0,8,,234,True,7,234,0,2020-08-03 01:43:12+00:00,0,,2020-08-03 02:17:40,2020
203,True,active,True,False,0,2,,235,True,12,235,0,2020-08-03 01:47:18+00:00,1,,2020-08-03 02:17:40,2020
204,True,active,True,False,0,9,,236,True,6,236,0,2020-08-03 00:35:08+00:00,0,,2020-08-03 02:17:40,2020
205,True,active,True,False,0,10,,239,True,5,239,0,2020-08-03 00:13:18+00:00,0,,2020-08-03 02:17:40,2020
206,True,active,True,False,0,11,,255,True,4,255,0,2020-08-02 20:59:52+00:00,0,,2020-08-03 02:17:40,2020
207,True,active,True,False,0,15,,258,True,0,258,0,2020-08-02 16:06:51+00:00,0,,2020-08-03 02:17:40,2020
208,True,active,True,False,0,0,,259,True,15,259,0,2020-08-02 08:54:33+00:00,0,,2020-08-03 02:17:40,2020
209,True,active,True,False,0,0,,260,True,15,260,0,2020-08-02 17:41:26+00:00,0,,2020-08-03 02:17:40,2020
210,True,active,True,False,0,8,,271,True,6,271,0,2020-08-03 00:30:58+00:00,1,,2020-08-03 02:17:40,2020
211,True,active,True,False,0,5,,272,True,14,272,0,2020-08-02 19:48:06+00:00,0,,2020-08-03 02:17:40,2020
212,True,active,True,False,0,36,,273,True,4,273,0,2020-08-03 00:42:01+00:00,0,,2020-08-03 02:17:40,2020
213,True,active,True,False,0,2,,279,True,17,279,0,2020-08-02 23:25:24+00:00,0,,2020-08-03 02:17:40,2020
214,True,active,True,False,0,11,,280,True,7,280,0,2020-08-02 23:39:05+00:00,1,,2020-08-03 02:17:40,2020
215,True,active,True,False,0,2,,282,True,11,282,0,2020-08-03 00:38:13+00:00,2,,2020-08-03 02:17:40,2020
216,True,active,True,False,0,1,,318,True,18,318,0,2020-08-03 01:04:43+00:00,0,,2020-08-03 02:17:40,2020
217,True,active,True,False,0,10,,319,True,15,319,0,2020-08-02 22:28:49+00:00,0,,2020-08-03 02:17:40,2020
218,True,active,True,False,0,2,,327,True,13,327,0,2020-08-03 01:58:35+00:00,0,,2020-08-03 02:17:40,2020
219,True,active,True,False,0,15,,328,True,0,328,0,2020-08-03 00:14:11+00:00,0,,2020-08-03 02:17:40,2020
220,True,active,True,False,0,14,,329,True,1,329,0,2020-08-03 00:22:13+00:00,0,,2020-08-03 02:17:40,2020
221,True,active,True,False,0,3,,330,True,12,330,0,2020-08-02 22:22:38+00:00,0,,2020-08-03 02:17:40,2020
222,True,active,True,False,0,6,,331,True,7,331,0,2020-08-03 01:59:02+00:00,2,,2020-08-03 02:17:40,2020
223,True,active,True,False,0,11,,332,True,4,332,0,2020-08-03 02:07:44+00:00,0,,2020-08-03 02:17:40,2020
224,True,active,True,False,0,25,,333,True,0,333,0,2020-08-02 18:27:41+00:00,0,,2020-08-03 02:17:40,2020
225,True,active,True,False,0,19,,334,True,0,334,0,2020-08-03 00:00:17+00:00,0,,2020-08-03 02:17:40,2020
226,True,active,True,False,0,11,,335,True,7,335,0,2020-08-03 01:37:41+00:00,1,,2020-08-03 02:17:40,2020
227,True,active,True,False,0,15,,336,True,0,336,0,2020-08-02 20:21:15+00:00,0,,2020-08-03 02:17:40,2020
228,True,active,True,False,0,15,,337,True,0,337,0,2020-08-03 00:43:29+00:00,0,,2020-08-03 02:17:40,2020
229,True,active,True,False,0,2,,338,True,12,338,0,2020-08-03 01:56:01+00:00,1,,2020-08-03 02:17:40,2020
230,True,active,True,False,0,11,,339,True,4,339,0,2020-08-03 02:12:17+00:00,0,,2020-08-03 02:17:40,2020
231,True,active,True,False,0,16,,340,True,3,340,0,2020-08-02 23:14:48+00:00,0,,2020-08-03 02:17:40,2020
232,True,active,True,True,0,1,,341,True,14,341,0,2020-08-02 17:04:01+00:00,0,,2020-08-03 02:17:40,2020
233,True,active,True,False,0,10,,342,True,0,342,0,2020-08-03 02:10:18+00:00,5,,2020-08-03 02:17:40,2020
234,True,active,True,False,0,6,,343,True,8,343,0,2020-08-03 00:05:56+00:00,1,,2020-08-03 02:17:40,2020
235,True,active,True,False,0,0,,344,True,19,344,0,2020-08-02 23:52:17+00:00,0,,2020-08-03 02:17:40,2020
236,True,active,True,False,0,5,,345,True,14,345,0,2020-08-03 01:39:02+00:00,0,,2020-08-03 02:17:40,2020
237,True,active,True,False,0,4,,346,True,11,346,0,2020-08-02 21:22:24+00:00,0,,2020-08-03 02:17:40,2020
238,True,active,True,False,0,1,,347,True,14,347,0,2020-08-02 19:17:13+00:00,0,,2020-08-03 02:17:40,2020
239,True,active,True,False,0,10,,348,True,4,348,0,2020-08-02 20:56:06+00:00,1,,2020-08-03 02:17:40,2020
240,True,active,True,True,0,12,,349,True,5,349,0,2020-08-03 00:46:55+00:00,0,,2020-08-03 02:17:40,2020
241,True,active,True,False,0,3,,350,True,14,350,0,2020-08-02 17:26:41+00:00,0,,2020-08-03 02:17:40,2020
242,True,active,True,False,0,7,,351,True,6,351,0,2020-08-03 00:44:10+00:00,2,,2020-08-03 02:17:40,2020
243,True,active,True,False,0,8,,352,True,7,352,0,2020-08-03 01:48:23+00:00,0,,2020-08-03 02:17:40,2020
244,True,active,True,True,0,8,,353,True,6,353,0,2020-08-02 20:01:42+00:00,1,,2020-08-03 02:17:40,2020
245,True,active,True,False,0,4,,354,True,11,354,0,2020-08-02 23:49:33+00:00,0,,2020-08-03 02:17:40,2020
246,True,active,True,False,0,7,,355,True,10,355,0,2020-08-02 21:15:30+00:00,0,,2020-08-03 02:17:40,2020
247,True,active,True,False,0,6,,356,True,17,356,0,2020-08-03 02:17:10+00:00,0,,2020-08-03 02:17:40,2020
248,True,active,True,False,0,11,,357,True,3,357,0,2020-08-02 22:29:18+00:00,1,,2020-08-03 02:17:40,2020
249,True,active,True,False,0,8,,358,True,11,358,0,2020-08-03 01:59:33+00:00,0,,2020-08-03 02:17:40,2020
250,True,active,True,False,0,14,,359,True,1,359,0,2020-08-03 02:13:32+00:00,0,,2020-08-03 02:17:40,2020
251,True,active,True,False,0,0,,360,True,15,360,0,2020-08-03 00:02:25+00:00,0,,2020-08-03 02:17:40,2020
252,True,active,True,False,0,5,,361,True,14,361,0,2020-08-03 01:56:11+00:00,0,,2020-08-03 02:17:40,2020
253,True,active,True,False,0,11,,362,True,8,362,0,2020-08-03 01:49:53+00:00,0,,2020-08-03 02:17:40,2020
254,True,active,True,False,0,3,,363,True,16,363,0,2020-08-03 02:14:36+00:00,0,,2020-08-03 02:17:40,2020
