,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
99,9,0,6,0,True,False,110,True,active,2020-07-30 23:13:31+00:00,0,110,True,,,2020-07-30 23:33:20,2020
100,0,0,15,0,True,False,111,True,active,2020-07-30 23:25:47+00:00,0,111,True,,,2020-07-30 23:33:20,2020
101,3,0,12,0,True,False,112,True,active,2020-07-30 22:29:05+00:00,0,112,True,,,2020-07-30 23:33:20,2020
102,14,0,1,0,True,False,113,True,active,2020-07-30 23:32:00+00:00,0,113,True,,,2020-07-30 23:33:20,2020
103,3,0,12,0,True,False,114,True,active,2020-07-30 22:42:21+00:00,0,114,True,,,2020-07-30 23:33:20,2020
104,6,0,12,0,True,False,115,True,active,2020-07-30 23:21:28+00:00,1,115,True,,,2020-07-30 23:33:20,2020
105,14,0,9,0,True,False,116,True,active,2020-07-30 23:30:10+00:00,0,116,True,,,2020-07-30 23:33:20,2020
106,10,0,9,0,True,False,117,True,active,2020-07-30 23:28:35+00:00,0,117,True,,,2020-07-30 23:33:20,2020
107,5,0,13,0,True,False,118,True,active,2020-07-30 23:29:53+00:00,1,118,True,,,2020-07-30 23:33:20,2020
108,6,0,9,0,True,False,119,True,active,2020-07-30 23:22:59+00:00,0,119,True,,,2020-07-30 23:33:20,2020
109,7,0,7,0,True,False,120,True,active,2020-07-30 23:27:45+00:00,1,120,True,,,2020-07-30 23:33:20,2020
110,6,0,11,0,True,False,121,True,active,2020-07-30 23:23:56+00:00,0,121,True,,,2020-07-30 23:33:20,2020
111,6,0,9,0,True,False,122,True,active,2020-07-30 23:00:36+00:00,0,122,True,,,2020-07-30 23:33:20,2020
112,4,0,10,0,True,False,124,True,active,2020-07-30 18:16:23+00:00,1,124,True,,,2020-07-30 23:33:20,2020
113,6,0,9,0,True,False,125,True,active,2020-07-30 23:25:59+00:00,0,125,True,,,2020-07-30 23:33:20,2020
114,2,0,13,0,True,False,126,True,active,2020-07-30 22:16:23+00:00,0,126,True,,,2020-07-30 23:33:20,2020
115,14,0,4,0,True,False,128,True,active,2020-07-30 22:29:28+00:00,1,128,True,,,2020-07-30 23:33:20,2020
116,12,0,7,0,True,False,129,True,active,2020-07-30 23:18:39+00:00,0,129,True,,,2020-07-30 23:33:20,2020
117,11,0,4,0,True,False,130,True,active,2020-07-30 23:13:58+00:00,0,130,True,,,2020-07-30 23:33:20,2020
118,11,0,5,0,True,False,131,True,active,2020-07-30 23:24:50+00:00,2,131,True,,,2020-07-30 23:33:20,2020
119,13,0,9,0,True,False,133,True,active,2020-07-30 23:29:42+00:00,1,133,True,,,2020-07-30 23:33:20,2020
120,5,0,12,0,True,False,135,True,active,2020-07-30 21:17:18+00:00,0,135,True,,,2020-07-30 23:33:20,2020
