,is_installed,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,is_returning,station_status,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
140,True,161,161,0,True,True,active,0,10,0,2020-08-05 22:46:10+00:00,13,True,,,2020-08-05 22:50:50,2020
141,True,162,162,0,False,True,active,0,7,0,2020-08-05 22:31:41+00:00,8,True,,,2020-08-05 22:50:50,2020
142,True,163,163,0,True,True,active,0,16,0,2020-08-05 22:23:05+00:00,3,True,,,2020-08-05 22:50:50,2020
143,True,167,167,1,False,True,active,0,9,0,2020-08-05 22:36:13+00:00,5,True,,,2020-08-05 22:50:50,2020
144,True,169,169,1,False,True,active,0,9,0,2020-08-05 22:21:03+00:00,9,True,,,2020-08-05 22:50:50,2020
145,True,170,170,0,True,True,active,0,14,0,2020-08-05 18:31:26+00:00,0,True,,,2020-08-05 22:50:50,2020
146,True,171,171,0,True,True,active,0,15,0,2020-08-05 22:21:58+00:00,8,True,,,2020-08-05 22:50:50,2020
147,True,173,173,0,True,True,active,0,9,0,2020-08-05 22:34:03+00:00,5,True,,,2020-08-05 22:50:50,2020
148,True,174,174,2,False,True,active,0,9,0,2020-08-05 22:50:04+00:00,4,True,,,2020-08-05 22:50:50,2020
149,True,175,175,0,True,True,active,0,16,0,2020-08-05 22:34:26+00:00,1,True,,,2020-08-05 22:50:50,2020
150,True,176,176,0,False,True,active,0,10,0,2020-08-05 22:41:19+00:00,5,True,,,2020-08-05 22:50:50,2020
151,True,177,177,0,False,True,active,0,18,0,2020-08-05 22:28:21+00:00,1,True,,,2020-08-05 22:50:50,2020
152,True,178,178,0,False,True,active,0,10,0,2020-08-05 22:41:42+00:00,9,True,,,2020-08-05 22:50:50,2020
153,True,179,179,0,False,True,active,0,20,0,2020-08-05 22:50:35+00:00,5,True,,,2020-08-05 22:50:50,2020
154,True,180,180,0,False,True,active,0,6,0,2020-08-05 22:19:10+00:00,13,True,,,2020-08-05 22:50:50,2020
155,True,181,181,0,False,True,active,0,3,0,2020-08-05 21:27:55+00:00,16,True,,,2020-08-05 22:50:50,2020
156,True,182,182,0,True,True,active,0,14,0,2020-08-05 22:28:10+00:00,5,True,,,2020-08-05 22:50:50,2020
157,True,183,183,0,False,True,active,0,12,0,2020-08-05 22:35:25+00:00,7,True,,,2020-08-05 22:50:50,2020
158,True,184,184,0,False,True,active,0,16,0,2020-08-05 21:57:21+00:00,3,True,,,2020-08-05 22:50:50,2020
159,True,185,185,0,False,True,active,0,13,0,2020-08-05 22:16:01+00:00,2,True,,,2020-08-05 22:50:50,2020
160,True,186,186,0,True,True,active,0,12,0,2020-08-05 22:49:42+00:00,3,True,,,2020-08-05 22:50:50,2020
161,True,187,187,0,False,True,active,0,2,0,2020-08-05 22:48:17+00:00,13,True,,,2020-08-05 22:50:50,2020
162,True,188,188,0,False,True,active,0,7,0,2020-08-05 21:20:05+00:00,8,True,,,2020-08-05 22:50:50,2020
163,True,189,189,1,True,True,active,0,19,0,2020-08-05 22:46:43+00:00,3,True,,,2020-08-05 22:50:50,2020
164,True,190,190,1,True,True,active,0,34,0,2020-08-05 22:47:45+00:00,2,True,,,2020-08-05 22:50:50,2020
165,True,191,191,0,False,True,active,0,14,0,2020-08-05 21:48:36+00:00,1,True,,,2020-08-05 22:50:50,2020
166,True,192,192,0,False,True,active,0,18,0,2020-08-05 22:43:53+00:00,1,True,,,2020-08-05 22:50:50,2020
167,True,193,193,1,True,True,active,0,13,0,2020-08-05 22:45:32+00:00,1,True,,,2020-08-05 22:50:50,2020
168,True,194,194,0,False,True,active,0,15,0,2020-08-05 22:28:14+00:00,4,True,,,2020-08-05 22:50:50,2020
169,True,195,195,1,False,True,active,0,22,0,2020-08-05 22:22:21+00:00,0,True,,,2020-08-05 22:50:50,2020
170,True,196,196,0,True,True,active,0,10,0,2020-08-05 21:50:46+00:00,0,True,,,2020-08-05 22:50:50,2020
171,True,197,197,0,False,True,active,0,14,0,2020-08-05 22:22:09+00:00,1,True,,,2020-08-05 22:50:50,2020
172,True,199,199,0,False,True,active,0,10,0,2020-08-05 22:16:32+00:00,5,True,,,2020-08-05 22:50:50,2020
173,True,200,200,2,False,True,active,0,1,0,2020-08-05 22:47:16+00:00,16,True,,,2020-08-05 22:50:50,2020
174,True,201,201,0,False,True,active,0,10,0,2020-08-05 16:42:59+00:00,5,True,,,2020-08-05 22:50:50,2020
175,True,202,202,0,False,True,active,0,7,0,2020-08-05 21:55:58+00:00,8,True,,,2020-08-05 22:50:50,2020
176,True,203,203,0,False,True,active,0,9,0,2020-08-05 21:30:50+00:00,6,True,,,2020-08-05 22:50:50,2020
177,True,204,204,1,False,True,active,0,7,0,2020-08-05 19:56:54+00:00,7,True,,,2020-08-05 22:50:50,2020
178,True,205,205,0,False,True,active,0,8,0,2020-08-05 22:49:33+00:00,7,True,,,2020-08-05 22:50:50,2020
179,True,206,206,0,False,True,active,0,19,0,2020-08-05 22:14:07+00:00,4,True,,,2020-08-05 22:50:50,2020
180,True,208,208,0,True,True,active,0,5,0,2020-08-05 22:03:00+00:00,10,True,,,2020-08-05 22:50:50,2020
181,True,209,209,0,False,True,active,0,10,0,2020-08-05 21:16:59+00:00,5,True,,,2020-08-05 22:50:50,2020
182,True,210,210,0,False,True,active,0,14,0,2020-08-05 20:38:58+00:00,1,True,,,2020-08-05 22:50:50,2020
183,True,211,211,0,False,True,active,0,5,0,2020-08-05 21:22:38+00:00,14,True,,,2020-08-05 22:50:50,2020
184,True,212,212,0,False,True,active,0,12,0,2020-08-05 22:41:23+00:00,21,True,,,2020-08-05 22:50:50,2020
185,True,213,213,0,True,True,active,0,10,0,2020-08-05 22:40:43+00:00,6,True,,,2020-08-05 22:50:50,2020
186,True,214,214,0,False,True,active,0,1,0,2020-08-05 22:48:18+00:00,14,True,,,2020-08-05 22:50:50,2020
187,True,215,215,0,False,True,active,0,10,0,2020-08-05 22:44:31+00:00,5,True,,,2020-08-05 22:50:50,2020
188,True,216,216,0,False,True,active,0,6,0,2020-08-05 20:56:20+00:00,13,True,,,2020-08-05 22:50:50,2020
189,True,217,217,0,False,True,active,0,0,0,2020-08-05 22:33:48+00:00,19,True,,,2020-08-05 22:50:50,2020
190,True,218,218,2,False,True,active,0,5,0,2020-08-05 22:48:26+00:00,8,True,,,2020-08-05 22:50:50,2020
191,True,219,219,0,False,True,active,0,4,0,2020-08-05 22:09:06+00:00,11,True,,,2020-08-05 22:50:50,2020
192,True,221,221,2,False,True,active,0,6,0,2020-08-05 22:39:43+00:00,11,True,,,2020-08-05 22:50:50,2020
193,True,222,222,0,True,True,active,0,9,0,2020-08-05 22:49:22+00:00,5,True,,,2020-08-05 22:50:50,2020
194,True,224,224,1,False,True,active,0,14,0,2020-08-05 22:26:20+00:00,2,True,,,2020-08-05 22:50:50,2020
195,True,225,225,0,False,True,active,0,13,0,2020-08-05 22:45:32+00:00,6,True,,,2020-08-05 22:50:50,2020
196,True,226,226,0,False,True,active,0,5,0,2020-08-05 22:47:43+00:00,10,True,,,2020-08-05 22:50:50,2020
197,True,227,227,0,False,True,active,0,7,0,2020-08-05 22:50:29+00:00,12,True,,,2020-08-05 22:50:50,2020
198,True,228,228,1,False,True,active,0,5,0,2020-08-05 21:37:11+00:00,13,True,,,2020-08-05 22:50:50,2020
