,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
248,True,True,0,True,11,2020-08-07 23:53:20+00:00,active,0,357,0,False,4,357,,,2020-08-08 00:25:35,2020
249,True,True,0,True,18,2020-08-07 23:24:54+00:00,active,0,358,0,False,1,358,,,2020-08-08 00:25:35,2020
250,True,True,0,True,2,2020-08-08 00:13:41+00:00,active,0,359,0,False,13,359,,,2020-08-08 00:25:35,2020
251,True,True,0,True,5,2020-08-08 00:18:16+00:00,active,0,360,0,False,10,360,,,2020-08-08 00:25:35,2020
252,True,True,0,True,15,2020-08-08 00:23:46+00:00,active,0,361,0,False,4,361,,,2020-08-08 00:25:35,2020
253,True,True,0,True,4,2020-08-08 00:11:07+00:00,active,0,362,0,False,15,362,,,2020-08-08 00:25:35,2020
254,True,True,0,True,9,2020-08-08 00:23:56+00:00,active,0,363,1,False,9,363,,,2020-08-08 00:25:35,2020
255,True,True,0,True,5,2020-08-08 00:19:15+00:00,active,0,364,1,False,13,364,,,2020-08-08 00:25:35,2020
256,True,True,0,True,2,2020-08-07 23:57:59+00:00,active,0,365,0,False,17,365,,,2020-08-08 00:25:35,2020
257,True,True,0,True,5,2020-08-08 00:17:40+00:00,active,0,366,1,False,9,366,,,2020-08-08 00:25:35,2020
258,True,True,0,True,17,2020-08-08 00:22:14+00:00,active,0,367,0,False,2,367,,,2020-08-08 00:25:35,2020
259,True,True,0,True,7,2020-08-08 00:18:37+00:00,active,0,368,1,False,7,368,,,2020-08-08 00:25:35,2020
260,True,True,0,True,10,2020-08-07 23:55:15+00:00,active,0,369,1,False,4,369,,,2020-08-08 00:25:35,2020
261,True,True,0,True,17,2020-08-07 23:57:01+00:00,active,0,370,0,False,2,370,,,2020-08-08 00:25:35,2020
262,True,True,0,True,11,2020-08-07 23:08:09+00:00,active,0,371,0,False,8,371,,,2020-08-08 00:25:35,2020
263,True,True,0,True,16,2020-08-08 00:18:25+00:00,active,0,372,0,False,3,372,,,2020-08-08 00:25:35,2020
264,True,True,0,True,8,2020-08-07 20:11:03+00:00,active,0,373,0,False,7,373,,,2020-08-08 00:25:35,2020
265,True,True,0,True,5,2020-08-08 00:12:47+00:00,active,0,374,0,False,14,374,,,2020-08-08 00:25:35,2020
