,station_id,last_reported,num_docks_disabled,station_status,num_bikes_disabled,is_installed,num_ebikes_available,is_renting,is_returning,num_docks_available,legacy_id,eightd_has_available_keys,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
152,178,2020-08-06 13:55:41+00:00,0,active,0,True,0,True,True,16,178,False,3,,,2020-08-06 14:12:40,2020
153,179,2020-08-06 14:02:00+00:00,0,active,0,True,0,True,True,19,179,False,6,,,2020-08-06 14:12:40,2020
154,180,2020-08-06 14:03:56+00:00,0,active,0,True,0,True,True,5,180,False,14,,,2020-08-06 14:12:40,2020
155,181,2020-08-06 12:51:11+00:00,0,active,0,True,0,True,True,5,181,False,14,,,2020-08-06 14:12:40,2020
156,182,2020-08-06 14:12:07+00:00,0,active,0,True,0,True,True,9,182,True,10,,,2020-08-06 14:12:40,2020
157,183,2020-08-06 14:08:34+00:00,0,active,0,True,0,True,True,10,183,False,9,,,2020-08-06 14:12:40,2020
158,184,2020-08-06 13:55:09+00:00,0,active,1,True,0,True,True,5,184,False,13,,,2020-08-06 14:12:40,2020
159,185,2020-08-06 14:12:01+00:00,0,active,0,True,0,True,True,9,185,False,6,,,2020-08-06 14:12:40,2020
160,186,2020-08-06 12:53:52+00:00,0,active,0,True,0,True,True,15,186,True,0,,,2020-08-06 14:12:40,2020
161,187,2020-08-06 14:02:40+00:00,0,active,0,True,0,True,True,5,187,False,10,,,2020-08-06 14:12:40,2020
162,188,2020-08-06 13:29:07+00:00,0,active,0,True,0,True,True,2,188,False,13,,,2020-08-06 14:12:40,2020
163,189,2020-08-06 14:12:21+00:00,0,active,0,True,0,True,True,13,189,True,10,,,2020-08-06 14:12:40,2020
164,190,2020-08-06 14:03:33+00:00,0,active,1,True,0,True,True,27,190,True,9,,,2020-08-06 14:12:40,2020
165,191,2020-08-06 12:55:07+00:00,0,active,0,True,0,True,True,15,191,False,0,,,2020-08-06 14:12:40,2020
166,192,2020-08-06 13:53:39+00:00,0,active,0,True,0,True,True,2,192,False,17,,,2020-08-06 14:12:40,2020
167,193,2020-08-06 13:09:39+00:00,0,active,1,True,0,True,True,12,193,True,2,,,2020-08-06 14:12:40,2020
168,194,2020-08-06 13:00:04+00:00,0,active,0,True,0,True,True,13,194,False,6,,,2020-08-06 14:12:40,2020
169,195,2020-08-06 13:25:06+00:00,0,active,1,True,0,True,True,17,195,False,5,,,2020-08-06 14:12:40,2020
170,196,2020-08-06 13:47:12+00:00,0,active,0,True,0,True,True,7,196,True,3,,,2020-08-06 14:12:40,2020
171,197,2020-08-06 08:53:33+00:00,0,active,0,True,0,True,True,13,197,False,2,,,2020-08-06 14:12:40,2020
172,199,2020-08-06 09:57:11+00:00,0,active,0,True,0,True,True,12,199,False,3,,,2020-08-06 14:12:40,2020
173,200,2020-08-06 13:32:48+00:00,0,active,1,True,0,True,True,5,200,False,13,,,2020-08-06 14:12:40,2020
174,201,2020-08-06 12:11:07+00:00,0,active,0,True,0,True,True,11,201,False,4,,,2020-08-06 14:12:40,2020
175,202,2020-08-06 12:31:13+00:00,0,active,0,True,0,True,True,8,202,False,7,,,2020-08-06 14:12:40,2020
176,203,2020-08-06 08:26:46+00:00,0,active,0,True,0,True,True,10,203,False,5,,,2020-08-06 14:12:40,2020
177,204,2020-08-06 13:53:09+00:00,0,active,1,True,0,True,True,7,204,False,7,,,2020-08-06 14:12:40,2020
178,205,2020-08-06 08:56:51+00:00,0,active,0,True,0,True,True,7,205,False,8,,,2020-08-06 14:12:40,2020
179,206,2020-08-06 13:56:58+00:00,0,active,0,True,0,True,True,12,206,True,11,,,2020-08-06 14:12:40,2020
180,208,2020-08-06 14:01:32+00:00,0,active,0,True,0,True,True,6,208,True,9,,,2020-08-06 14:12:40,2020
181,209,2020-08-06 13:37:31+00:00,0,active,0,True,0,True,True,8,209,False,7,,,2020-08-06 14:12:40,2020
182,210,2020-08-06 12:16:05+00:00,0,active,0,True,0,True,True,14,210,False,1,,,2020-08-06 14:12:40,2020
183,211,2020-08-06 13:04:51+00:00,0,active,0,True,0,True,True,8,211,False,11,,,2020-08-06 14:12:40,2020
184,212,2020-08-06 13:36:21+00:00,0,active,0,True,0,True,True,13,212,False,20,,,2020-08-06 14:12:40,2020
185,213,2020-08-06 13:22:53+00:00,0,active,0,True,0,True,True,10,213,True,6,,,2020-08-06 14:12:40,2020
186,214,2020-08-06 13:32:27+00:00,0,active,0,True,0,True,True,2,214,False,13,,,2020-08-06 14:12:40,2020
187,215,2020-08-06 13:07:48+00:00,0,active,0,True,0,True,True,6,215,False,9,,,2020-08-06 14:12:40,2020
188,216,2020-08-06 08:37:47+00:00,0,active,0,True,0,True,True,2,216,False,17,,,2020-08-06 14:12:40,2020
189,217,2020-08-06 13:07:38+00:00,0,active,0,True,0,True,True,2,217,False,17,,,2020-08-06 14:12:40,2020
190,218,2020-08-06 13:37:51+00:00,0,active,1,True,0,True,True,13,218,False,1,,,2020-08-06 14:12:40,2020
191,219,2020-08-06 08:13:18+00:00,0,active,0,True,0,True,True,2,219,False,13,,,2020-08-06 14:12:40,2020
192,221,2020-08-06 14:10:15+00:00,0,active,2,True,0,True,True,11,221,False,6,,,2020-08-06 14:12:40,2020
193,222,2020-08-06 13:40:20+00:00,0,active,0,True,0,True,True,10,222,True,4,,,2020-08-06 14:12:40,2020
194,224,2020-08-06 13:30:07+00:00,0,active,1,True,0,True,True,7,224,False,9,,,2020-08-06 14:12:40,2020
195,225,2020-08-06 14:09:27+00:00,0,active,0,True,0,True,True,18,225,False,1,,,2020-08-06 14:12:40,2020
196,226,2020-08-06 14:02:21+00:00,0,active,0,True,0,True,True,9,226,False,6,,,2020-08-06 14:12:40,2020
197,227,2020-08-06 13:55:18+00:00,0,active,1,True,0,True,True,11,227,False,7,,,2020-08-06 14:12:40,2020
198,228,2020-08-06 13:34:06+00:00,0,active,0,True,0,True,True,19,228,False,0,,,2020-08-06 14:12:40,2020
199,232,2020-08-06 12:04:12+00:00,0,active,0,True,0,True,True,10,232,False,1,,,2020-08-06 14:12:40,2020
200,233,2020-08-06 14:08:00+00:00,0,active,0,True,0,True,True,4,233,False,11,,,2020-08-06 14:12:40,2020
201,234,2020-08-06 13:30:45+00:00,0,active,0,True,0,True,True,7,234,False,8,,,2020-08-06 14:12:40,2020
202,235,2020-08-06 13:23:01+00:00,0,active,1,True,0,True,True,12,235,False,2,,,2020-08-06 14:12:40,2020
