,num_bikes_available,eightd_has_available_keys,is_installed,is_returning,station_id,legacy_id,num_bikes_disabled,station_status,last_reported,is_renting,num_docks_available,num_docks_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
127,19,False,True,True,142,142,0,active,2020-08-19 01:41:17+00:00,True,4,0,0,2020-08-19 01:52:50,2020
128,5,False,True,True,143,143,2,active,2020-08-19 01:43:10+00:00,True,16,0,0,2020-08-19 01:52:50,2020
129,19,False,True,True,144,144,0,active,2020-08-19 00:08:04+00:00,True,0,0,0,2020-08-19 01:52:50,2020
130,14,False,True,True,145,145,0,active,2020-08-19 00:56:26+00:00,True,5,0,0,2020-08-19 01:52:50,2020
131,18,False,True,True,146,146,1,active,2020-08-19 01:47:14+00:00,True,0,0,0,2020-08-19 01:52:50,2020
132,13,True,True,True,149,149,1,active,2020-08-19 00:47:00+00:00,True,4,0,0,2020-08-19 01:52:50,2020
133,13,False,True,True,150,150,1,active,2020-08-19 01:43:43+00:00,True,5,0,0,2020-08-19 01:52:50,2020
134,17,False,True,True,151,151,0,active,2020-08-19 00:58:09+00:00,True,2,0,0,2020-08-19 01:52:50,2020
135,13,True,True,True,152,152,0,active,2020-08-19 01:40:35+00:00,True,2,0,0,2020-08-19 01:52:50,2020
136,5,False,True,True,156,156,1,active,2020-08-19 01:27:15+00:00,True,9,0,0,2020-08-19 01:52:50,2020
137,0,False,True,True,157,157,3,active,2020-08-19 01:21:30+00:00,True,12,0,0,2020-08-19 01:52:50,2020
138,3,False,True,True,159,159,0,active,2020-08-19 01:41:21+00:00,True,12,0,0,2020-08-19 01:52:50,2020
139,4,True,True,True,160,160,0,active,2020-08-19 01:11:04+00:00,True,10,0,0,2020-08-19 01:52:50,2020
140,22,True,True,True,161,161,1,active,2020-08-19 01:28:37+00:00,True,0,0,0,2020-08-19 01:52:50,2020
141,7,False,True,True,162,162,0,active,2020-08-19 00:12:49+00:00,True,8,0,0,2020-08-19 01:52:50,2020
142,2,True,True,True,163,163,0,active,2020-08-19 01:42:42+00:00,True,17,0,0,2020-08-19 01:52:50,2020
143,7,False,True,True,167,167,0,active,2020-08-19 01:41:25+00:00,True,8,0,0,2020-08-19 01:52:50,2020
144,7,False,True,True,169,169,0,active,2020-08-19 00:33:05+00:00,True,12,0,0,2020-08-19 01:52:50,2020
145,0,True,True,True,170,170,0,active,2020-08-18 22:24:55+00:00,True,14,0,0,2020-08-19 01:52:50,2020
146,3,True,True,True,171,171,0,active,2020-08-19 00:23:19+00:00,True,20,0,0,2020-08-19 01:52:50,2020
147,11,True,True,True,173,173,0,active,2020-08-19 01:31:28+00:00,True,3,0,0,2020-08-19 01:52:50,2020
148,3,False,True,True,174,174,0,active,2020-08-19 01:44:06+00:00,True,12,0,0,2020-08-19 01:52:50,2020
149,5,True,True,True,175,175,1,active,2020-08-19 01:32:16+00:00,True,11,0,0,2020-08-19 01:52:50,2020
150,11,False,True,True,176,176,0,active,2020-08-19 00:52:10+00:00,True,4,0,0,2020-08-19 01:52:50,2020
151,15,False,True,True,177,177,0,active,2020-08-19 01:52:17+00:00,True,4,0,0,2020-08-19 01:52:50,2020
152,9,False,True,True,178,178,0,active,2020-08-19 01:37:52+00:00,True,10,0,0,2020-08-19 01:52:50,2020
153,16,False,True,True,179,179,0,active,2020-08-19 01:36:42+00:00,True,9,0,0,2020-08-19 01:52:50,2020
154,10,False,True,True,180,180,0,active,2020-08-19 01:11:59+00:00,True,9,0,0,2020-08-19 01:52:50,2020
155,10,False,True,True,181,181,0,active,2020-08-18 23:58:26+00:00,True,9,0,0,2020-08-19 01:52:50,2020
156,3,True,True,True,182,182,0,active,2020-08-19 01:07:44+00:00,True,16,0,0,2020-08-19 01:52:50,2020
157,8,False,True,True,183,183,0,active,2020-08-19 00:06:14+00:00,True,11,0,0,2020-08-19 01:52:50,2020
158,7,False,True,True,184,184,0,active,2020-08-19 01:07:44+00:00,True,12,0,0,2020-08-19 01:52:50,2020
159,3,False,True,True,185,185,1,active,2020-08-19 01:29:16+00:00,True,11,0,0,2020-08-19 01:52:50,2020
160,1,True,True,True,186,186,0,active,2020-08-19 00:39:06+00:00,True,14,0,0,2020-08-19 01:52:50,2020
161,10,False,True,True,187,187,0,active,2020-08-19 00:43:12+00:00,True,5,0,0,2020-08-19 01:52:50,2020
162,13,False,True,True,188,188,0,active,2020-08-19 00:29:38+00:00,True,2,0,0,2020-08-19 01:52:50,2020
163,12,True,True,True,189,189,0,active,2020-08-19 01:03:25+00:00,True,11,0,0,2020-08-19 01:52:50,2020
164,20,True,True,True,190,190,2,active,2020-08-19 01:44:49+00:00,True,15,0,0,2020-08-19 01:52:50,2020
165,3,False,True,True,191,191,0,active,2020-08-18 23:41:27+00:00,True,12,0,0,2020-08-19 01:52:50,2020
