,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
137,1,True,True,14,157,0,True,active,0,2020-07-31 08:21:13+00:00,0,157,False,,,2020-07-31 09:25:10,2020
138,1,True,True,5,159,0,True,active,9,2020-07-31 08:11:41+00:00,0,159,False,,,2020-07-31 09:25:10,2020
139,0,True,True,7,160,0,True,active,7,2020-07-31 08:52:35+00:00,0,160,True,,,2020-07-31 09:25:10,2020
140,0,True,True,5,161,0,True,active,18,2020-07-31 08:56:13+00:00,0,161,True,,,2020-07-31 09:25:10,2020
141,0,True,True,11,162,0,True,active,4,2020-07-31 08:42:00+00:00,0,162,False,,,2020-07-31 09:25:10,2020
142,1,True,True,12,163,0,True,active,6,2020-07-31 07:44:07+00:00,0,163,True,,,2020-07-31 09:25:10,2020
143,1,True,True,0,167,0,True,active,14,2020-07-31 08:47:41+00:00,0,167,False,,,2020-07-31 09:25:10,2020
144,0,True,True,10,169,0,True,active,9,2020-07-31 08:42:50+00:00,0,169,False,,,2020-07-31 09:25:10,2020
145,0,True,True,13,170,0,True,active,1,2020-07-31 08:17:07+00:00,0,170,True,,,2020-07-31 09:25:10,2020
146,0,True,True,17,171,0,True,active,6,2020-07-31 08:16:19+00:00,0,171,True,,,2020-07-31 09:25:10,2020
147,3,True,True,5,173,0,True,active,6,2020-07-31 08:56:22+00:00,0,173,True,,,2020-07-31 09:25:10,2020
148,0,True,True,2,174,0,True,active,13,2020-07-31 08:02:23+00:00,0,174,False,,,2020-07-31 09:25:10,2020
149,0,True,True,8,175,0,True,active,9,2020-07-31 05:03:20+00:00,0,175,True,,,2020-07-31 09:25:10,2020
150,0,True,True,2,176,0,True,active,13,2020-07-31 04:20:08+00:00,0,176,False,,,2020-07-31 09:25:10,2020
151,0,True,True,15,177,0,True,active,4,2020-07-31 08:57:12+00:00,0,177,False,,,2020-07-31 09:25:10,2020
152,0,True,True,5,178,0,True,active,14,2020-07-31 08:50:59+00:00,0,178,False,,,2020-07-31 09:25:10,2020
153,0,True,True,7,179,0,True,active,18,2020-07-31 08:57:20+00:00,0,179,False,,,2020-07-31 09:25:10,2020
154,0,True,True,10,180,0,True,active,9,2020-07-31 08:57:52+00:00,0,180,False,,,2020-07-31 09:25:10,2020
155,1,True,True,16,181,0,True,active,2,2020-07-31 08:46:14+00:00,0,181,False,,,2020-07-31 09:25:10,2020
156,1,True,True,9,182,0,True,active,9,2020-07-31 08:52:01+00:00,0,182,True,,,2020-07-31 09:25:10,2020
157,0,True,True,16,183,0,True,active,3,2020-07-31 09:09:22+00:00,0,183,False,,,2020-07-31 09:25:10,2020
158,0,True,True,8,184,0,True,active,11,2020-07-31 08:36:03+00:00,0,184,False,,,2020-07-31 09:25:10,2020
159,0,True,True,10,185,0,True,active,5,2020-07-31 08:57:40+00:00,0,185,False,,,2020-07-31 09:25:10,2020
160,0,True,True,1,186,0,True,active,14,2020-07-31 08:56:02+00:00,0,186,True,,,2020-07-31 09:25:10,2020
161,0,True,True,2,187,0,True,active,13,2020-07-31 08:26:02+00:00,0,187,False,,,2020-07-31 09:25:10,2020
162,0,True,True,2,188,0,True,active,13,2020-07-31 07:44:30+00:00,0,188,False,,,2020-07-31 09:25:10,2020
163,0,True,True,22,189,0,True,active,1,2020-07-31 08:26:16+00:00,0,189,True,,,2020-07-31 09:25:10,2020
164,3,True,True,5,190,0,True,active,29,2020-07-31 08:57:18+00:00,0,190,True,,,2020-07-31 09:25:10,2020
165,0,True,True,12,191,0,True,active,3,2020-07-31 08:21:42+00:00,0,191,False,,,2020-07-31 09:25:10,2020
166,1,True,True,18,192,0,True,active,0,2020-07-31 08:42:15+00:00,0,192,False,,,2020-07-31 09:25:10,2020
167,0,True,True,5,193,0,True,active,10,2020-07-31 08:22:02+00:00,0,193,True,,,2020-07-31 09:25:10,2020
168,0,True,True,4,194,0,True,active,15,2020-07-31 08:31:22+00:00,0,194,False,,,2020-07-31 09:25:10,2020
169,0,True,True,4,195,0,True,active,19,2020-07-31 05:58:12+00:00,0,195,False,,,2020-07-31 09:25:10,2020
170,1,True,True,9,196,0,True,active,0,2020-07-31 08:57:53+00:00,0,196,True,,,2020-07-31 09:25:10,2020
171,0,True,True,13,197,0,True,active,2,2020-07-31 08:35:57+00:00,0,197,False,,,2020-07-31 09:25:10,2020
172,0,True,True,7,199,0,True,active,8,2020-07-31 08:36:09+00:00,0,199,False,,,2020-07-31 09:25:10,2020
173,0,True,True,10,200,0,True,active,9,2020-07-31 08:20:58+00:00,0,200,False,,,2020-07-31 09:25:10,2020
174,0,True,True,15,201,0,True,active,0,2020-07-31 08:12:47+00:00,0,201,False,,,2020-07-31 09:25:10,2020
175,0,True,True,13,202,0,True,active,2,2020-07-31 08:12:10+00:00,0,202,False,,,2020-07-31 09:25:10,2020
176,0,True,True,8,203,0,True,active,7,2020-07-31 08:01:42+00:00,0,203,False,,,2020-07-31 09:25:10,2020
177,0,True,True,14,204,0,True,active,1,2020-07-31 08:27:51+00:00,0,204,False,,,2020-07-31 09:25:10,2020
178,0,True,True,7,205,0,True,active,8,2020-07-31 08:31:57+00:00,0,205,False,,,2020-07-31 09:25:10,2020
179,0,True,True,20,206,0,True,active,3,2020-07-31 08:56:33+00:00,0,206,False,,,2020-07-31 09:25:10,2020
180,0,True,True,3,208,0,True,active,12,2020-07-31 04:01:54+00:00,0,208,True,,,2020-07-31 09:25:10,2020
181,1,True,True,2,209,0,True,active,12,2020-07-31 08:20:52+00:00,0,209,False,,,2020-07-31 09:25:10,2020
182,0,True,True,12,210,0,True,active,3,2020-07-31 08:52:43+00:00,0,210,False,,,2020-07-31 09:25:10,2020
183,1,True,True,1,211,0,True,active,17,2020-07-31 08:06:57+00:00,0,211,False,,,2020-07-31 09:25:10,2020
184,0,True,True,19,212,0,True,active,14,2020-07-31 08:17:48+00:00,0,212,False,,,2020-07-31 09:25:10,2020
185,0,True,True,13,213,0,True,active,3,2020-07-31 04:40:28+00:00,0,213,True,,,2020-07-31 09:25:10,2020
186,0,True,True,9,214,0,True,active,6,2020-07-31 08:56:47+00:00,0,214,False,,,2020-07-31 09:25:10,2020
187,0,True,True,1,215,0,True,active,14,2020-07-31 08:57:51+00:00,0,215,False,,,2020-07-31 09:25:10,2020
188,0,True,True,3,216,0,True,active,16,2020-07-31 08:26:03+00:00,0,216,False,,,2020-07-31 09:25:10,2020
189,0,True,True,16,217,0,True,active,3,2020-07-31 08:28:50+00:00,0,217,False,,,2020-07-31 09:25:10,2020
190,0,True,True,10,218,0,True,active,5,2020-07-31 08:51:23+00:00,0,218,False,,,2020-07-31 09:25:10,2020
191,1,True,True,6,219,0,True,active,8,2020-07-31 08:46:14+00:00,0,219,False,,,2020-07-31 09:25:10,2020
192,0,True,True,6,221,0,True,active,13,2020-07-31 08:56:14+00:00,0,221,False,,,2020-07-31 09:25:10,2020
193,0,True,True,12,222,0,True,active,2,2020-07-31 09:16:17+00:00,0,222,True,,,2020-07-31 09:25:10,2020
194,0,True,True,3,224,0,True,active,14,2020-07-31 09:17:08+00:00,0,224,False,,,2020-07-31 09:25:10,2020
195,0,True,True,1,225,0,True,active,18,2020-07-31 08:21:42+00:00,0,225,False,,,2020-07-31 09:25:10,2020
196,0,True,True,2,226,0,True,active,13,2020-07-31 08:26:16+00:00,0,226,False,,,2020-07-31 09:25:10,2020
197,1,True,True,11,227,0,True,active,7,2020-07-31 08:15:29+00:00,0,227,False,,,2020-07-31 09:25:10,2020
198,0,True,True,17,228,0,True,active,2,2020-07-31 08:21:43+00:00,0,228,False,,,2020-07-31 09:25:10,2020
199,0,True,True,7,232,0,True,active,4,2020-07-31 08:16:55+00:00,0,232,False,,,2020-07-31 09:25:10,2020
200,1,True,True,13,233,0,True,active,1,2020-07-31 08:27:33+00:00,0,233,False,,,2020-07-31 09:25:10,2020
201,0,True,True,5,234,0,True,active,10,2020-07-31 06:16:23+00:00,0,234,False,,,2020-07-31 09:25:10,2020
202,0,True,True,5,235,0,True,active,10,2020-07-31 09:23:29+00:00,0,235,False,,,2020-07-31 09:25:10,2020
203,0,True,True,6,236,0,True,active,9,2020-07-31 08:56:52+00:00,0,236,False,,,2020-07-31 09:25:10,2020
204,1,True,True,8,239,0,True,active,6,2020-07-31 08:27:45+00:00,0,239,False,,,2020-07-31 09:25:10,2020
205,0,True,True,2,255,0,True,active,13,2020-07-31 08:32:06+00:00,0,255,False,,,2020-07-31 09:25:10,2020
206,0,True,True,4,258,0,True,active,11,2020-07-31 08:37:34+00:00,0,258,False,,,2020-07-31 09:25:10,2020
