,is_returning,num_docks_available,is_renting,station_id,num_bikes_available,num_docks_disabled,eightd_has_available_keys,legacy_id,is_installed,station_status,num_bikes_disabled,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
171,True,7,True,197,8,0,False,197,True,active,0,0,2020-08-18 18:41:50+00:00,,,2020-08-18 21:06:55,2020
172,True,7,True,199,8,0,False,199,True,active,0,0,2020-08-18 20:44:02+00:00,,,2020-08-18 21:06:55,2020
173,True,5,True,200,14,0,False,200,True,active,0,0,2020-08-18 20:49:42+00:00,,,2020-08-18 21:06:55,2020
174,True,10,True,201,5,0,False,201,True,active,0,0,2020-08-18 21:06:14+00:00,,,2020-08-18 21:06:55,2020
175,True,11,True,202,3,0,False,202,True,active,1,0,2020-08-18 19:28:12+00:00,,,2020-08-18 21:06:55,2020
176,True,7,True,203,8,0,False,203,True,active,0,0,2020-08-18 08:39:35+00:00,,,2020-08-18 21:06:55,2020
177,True,12,True,204,3,0,False,204,True,active,0,0,2020-08-18 19:08:19+00:00,,,2020-08-18 21:06:55,2020
178,True,13,True,205,2,0,False,205,True,active,0,0,2020-08-18 20:21:05+00:00,,,2020-08-18 21:06:55,2020
179,True,11,True,206,11,0,True,206,True,active,1,0,2020-08-18 20:59:12+00:00,,,2020-08-18 21:06:55,2020
180,True,7,True,208,8,0,True,208,True,active,0,0,2020-08-18 20:53:41+00:00,,,2020-08-18 21:06:55,2020
181,True,1,True,209,13,0,False,209,True,active,1,0,2020-08-18 16:12:40+00:00,,,2020-08-18 21:06:55,2020
182,True,11,True,210,3,0,False,210,True,active,1,0,2020-08-18 18:50:30+00:00,,,2020-08-18 21:06:55,2020
183,True,18,True,211,1,0,False,211,True,active,0,0,2020-08-18 18:26:35+00:00,,,2020-08-18 21:06:55,2020
184,True,32,True,212,1,0,False,212,True,active,0,0,2020-08-18 20:34:29+00:00,,,2020-08-18 21:06:55,2020
185,True,14,True,213,2,0,True,213,True,active,0,0,2020-08-18 19:30:12+00:00,,,2020-08-18 21:06:55,2020
186,True,6,True,214,9,0,False,214,True,active,0,0,2020-08-18 21:01:03+00:00,,,2020-08-18 21:06:55,2020
187,True,4,True,215,9,0,False,215,True,active,2,0,2020-08-18 19:28:23+00:00,,,2020-08-18 21:06:55,2020
188,True,1,True,216,18,0,False,216,True,active,0,0,2020-08-18 21:06:25+00:00,,,2020-08-18 21:06:55,2020
189,True,10,True,217,8,0,False,217,True,active,1,0,2020-08-18 21:05:47+00:00,,,2020-08-18 21:06:55,2020
190,True,11,True,218,2,0,False,218,True,active,2,0,2020-08-18 21:06:01+00:00,,,2020-08-18 21:06:55,2020
191,True,11,True,219,4,0,False,219,True,active,0,0,2020-08-18 19:07:11+00:00,,,2020-08-18 21:06:55,2020
192,True,17,True,221,1,0,False,221,True,active,1,0,2020-08-18 21:02:18+00:00,,,2020-08-18 21:06:55,2020
193,True,12,True,222,2,0,True,222,True,active,0,0,2020-08-18 20:57:33+00:00,,,2020-08-18 21:06:55,2020
194,True,4,True,224,12,0,False,224,True,active,1,0,2020-08-18 20:42:25+00:00,,,2020-08-18 21:06:55,2020
195,True,11,True,225,6,0,False,225,True,active,2,0,2020-08-18 20:51:28+00:00,,,2020-08-18 21:06:55,2020
196,True,14,True,226,0,0,False,226,True,active,1,0,2020-08-18 20:55:31+00:00,,,2020-08-18 21:06:55,2020
197,True,16,True,227,1,0,False,227,True,active,2,0,2020-08-18 20:57:11+00:00,,,2020-08-18 21:06:55,2020
198,True,17,True,228,2,0,False,228,True,active,0,0,2020-08-18 20:54:29+00:00,,,2020-08-18 21:06:55,2020
199,True,10,True,232,1,0,False,232,True,active,0,0,2020-08-18 19:33:43+00:00,,,2020-08-18 21:06:55,2020
200,True,11,True,233,3,0,False,233,True,active,1,0,2020-08-18 20:58:27+00:00,,,2020-08-18 21:06:55,2020
201,True,13,True,234,2,0,False,234,True,active,0,0,2020-08-18 19:59:12+00:00,,,2020-08-18 21:06:55,2020
202,True,6,True,235,9,0,False,235,True,active,0,0,2020-08-18 20:18:49+00:00,,,2020-08-18 21:06:55,2020
203,True,7,True,236,8,0,False,236,True,active,0,0,2020-08-18 21:02:51+00:00,,,2020-08-18 21:06:55,2020
204,True,3,True,239,12,0,False,239,True,active,0,0,2020-08-18 19:34:28+00:00,,,2020-08-18 21:06:55,2020
205,True,8,True,255,7,0,False,255,True,active,0,0,2020-08-18 19:37:34+00:00,,,2020-08-18 21:06:55,2020
206,True,7,True,258,8,0,False,258,True,active,0,0,2020-08-18 11:20:18+00:00,,,2020-08-18 21:06:55,2020
207,True,5,True,259,10,0,False,259,True,active,0,0,2020-08-18 17:28:18+00:00,,,2020-08-18 21:06:55,2020
