,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,11,0,True,True,0,3,2020-08-05 15:41:53+00:00,3,4,0,True,active,,,2020-08-05 16:22:10,2020
1,True,7,0,True,True,0,4,2020-08-05 16:22:00+00:00,4,12,0,False,active,,,2020-08-05 16:22:10,2020
2,True,6,0,True,True,0,5,2020-08-05 16:18:03+00:00,5,9,0,False,active,,,2020-08-05 16:22:10,2020
3,True,14,0,True,True,0,6,2020-08-05 16:21:00+00:00,6,1,0,False,active,,,2020-08-05 16:22:10,2020
4,True,12,0,True,True,0,7,2020-08-05 15:37:44+00:00,7,3,0,False,active,,,2020-08-05 16:22:10,2020
5,True,1,0,True,True,0,8,2020-08-05 16:11:09+00:00,8,18,0,False,active,,,2020-08-05 16:22:10,2020
6,True,1,0,True,True,0,9,2020-08-05 16:09:00+00:00,9,14,0,False,active,,,2020-08-05 16:22:10,2020
7,True,4,0,True,True,0,10,2020-08-05 16:16:50+00:00,10,7,0,False,active,,,2020-08-05 16:22:10,2020
8,True,4,0,True,True,0,11,2020-08-05 16:20:11+00:00,11,11,0,False,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 79, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 51, 'dock_blocked_count': 0}",2020-08-05 16:22:10,2020
9,True,10,0,True,True,0,12,2020-08-05 16:06:12+00:00,12,8,0,True,active,,,2020-08-05 16:22:10,2020
10,True,17,0,True,True,0,13,2020-08-05 16:17:03+00:00,13,2,0,False,active,,,2020-08-05 16:22:10,2020
11,True,17,1,True,True,0,14,2020-08-05 16:09:34+00:00,14,7,0,False,active,,,2020-08-05 16:22:10,2020
