,num_bikes_available,is_renting,eightd_has_available_keys,num_docks_available,station_status,legacy_id,is_returning,num_ebikes_available,is_installed,last_reported,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
124,3,True,False,16,active,139,True,0,True,2020-07-29 14:55:01+00:00,0,139,0,,,2020-07-29 15:31:15,2020
125,6,True,False,11,active,140,True,0,True,2020-07-29 15:21:06+00:00,0,140,0,,,2020-07-29 15:31:15,2020
126,0,True,False,15,active,141,True,0,True,2020-07-29 15:25:05+00:00,0,141,0,,,2020-07-29 15:31:15,2020
127,19,True,False,4,active,142,True,0,True,2020-07-29 15:18:49+00:00,0,142,0,,,2020-07-29 15:31:15,2020
128,5,True,False,17,active,143,True,0,True,2020-07-29 15:28:52+00:00,1,143,0,,,2020-07-29 15:31:15,2020
129,12,True,False,7,active,144,True,0,True,2020-07-29 14:45:52+00:00,0,144,0,,,2020-07-29 15:31:15,2020
130,12,True,False,7,active,145,True,0,True,2020-07-29 14:11:06+00:00,0,145,0,,,2020-07-29 15:31:15,2020
131,10,True,False,6,active,146,True,0,True,2020-07-29 15:26:55+00:00,3,146,0,,,2020-07-29 15:31:15,2020
132,10,True,True,7,active,149,True,0,True,2020-07-29 14:33:52+00:00,1,149,0,,,2020-07-29 15:31:15,2020
133,12,True,False,7,active,150,True,0,True,2020-07-29 13:47:12+00:00,0,150,0,,,2020-07-29 15:31:15,2020
134,8,True,False,10,active,151,True,0,True,2020-07-29 14:55:21+00:00,1,151,0,,,2020-07-29 15:31:15,2020
135,9,True,True,6,active,152,True,0,True,2020-07-29 14:11:48+00:00,0,152,0,,,2020-07-29 15:31:15,2020
136,4,True,False,11,active,156,True,0,True,2020-07-29 14:16:26+00:00,0,156,0,,,2020-07-29 15:31:15,2020
137,7,True,False,7,active,157,True,0,True,2020-07-29 15:28:11+00:00,1,157,0,,,2020-07-29 15:31:15,2020
138,4,True,False,9,active,159,True,0,True,2020-07-29 15:23:29+00:00,2,159,0,,,2020-07-29 15:31:15,2020
139,10,True,True,3,active,160,True,0,True,2020-07-29 12:58:53+00:00,1,160,0,,,2020-07-29 15:31:15,2020
140,19,True,True,4,active,161,True,0,True,2020-07-29 15:21:54+00:00,0,161,0,,,2020-07-29 15:31:15,2020
141,4,True,False,11,active,162,True,0,True,2020-07-29 14:53:50+00:00,0,162,0,,,2020-07-29 15:31:15,2020
142,5,True,True,14,active,163,True,0,True,2020-07-29 15:30:53+00:00,0,163,0,,,2020-07-29 15:31:15,2020
143,10,True,False,3,active,167,True,0,True,2020-07-29 13:46:56+00:00,2,167,0,,,2020-07-29 15:31:15,2020
144,8,True,False,11,active,169,True,0,True,2020-07-29 13:37:44+00:00,0,169,0,,,2020-07-29 15:31:15,2020
145,2,True,True,12,active,170,True,0,True,2020-07-29 14:33:46+00:00,0,170,0,,,2020-07-29 15:31:15,2020
146,6,True,True,16,active,171,True,0,True,2020-07-29 14:03:30+00:00,1,171,0,,,2020-07-29 15:31:15,2020
147,8,True,True,6,active,173,True,0,True,2020-07-29 08:49:27+00:00,0,173,0,,,2020-07-29 15:31:15,2020
148,8,True,False,7,active,174,True,0,True,2020-07-29 14:30:43+00:00,0,174,0,,,2020-07-29 15:31:15,2020
149,0,True,True,17,active,175,True,0,True,2020-07-29 15:08:26+00:00,0,175,0,,,2020-07-29 15:31:15,2020
150,9,True,False,6,active,176,True,0,True,2020-07-29 15:21:40+00:00,0,176,0,,,2020-07-29 15:31:15,2020
151,10,True,False,9,active,177,True,0,True,2020-07-29 15:20:38+00:00,0,177,0,,,2020-07-29 15:31:15,2020
152,10,True,False,7,active,178,True,0,True,2020-07-29 15:14:25+00:00,2,178,0,,,2020-07-29 15:31:15,2020
153,9,True,False,16,active,179,True,0,True,2020-07-29 15:14:54+00:00,0,179,0,,,2020-07-29 15:31:15,2020
154,8,True,False,11,active,180,True,0,True,2020-07-29 12:41:41+00:00,0,180,0,,,2020-07-29 15:31:15,2020
155,7,True,False,12,active,181,True,0,True,2020-07-29 13:18:45+00:00,0,181,0,,,2020-07-29 15:31:15,2020
156,6,True,True,13,active,182,True,0,True,2020-07-29 15:26:38+00:00,0,182,0,,,2020-07-29 15:31:15,2020
157,8,True,False,11,active,183,True,0,True,2020-07-29 15:03:02+00:00,0,183,0,,,2020-07-29 15:31:15,2020
158,10,True,False,8,active,184,True,0,True,2020-07-29 15:27:28+00:00,1,184,0,,,2020-07-29 15:31:15,2020
159,6,True,False,9,active,185,True,0,True,2020-07-29 15:27:56+00:00,0,185,0,,,2020-07-29 15:31:15,2020
160,9,True,True,6,active,186,True,0,True,2020-07-29 15:26:41+00:00,0,186,0,,,2020-07-29 15:31:15,2020
161,9,True,False,6,active,187,True,0,True,2020-07-29 15:08:20+00:00,0,187,0,,,2020-07-29 15:31:15,2020
162,10,True,False,5,active,188,True,0,True,2020-07-29 15:29:37+00:00,0,188,0,,,2020-07-29 15:31:15,2020
163,13,True,True,10,active,189,True,0,True,2020-07-29 15:10:22+00:00,0,189,0,,,2020-07-29 15:31:15,2020
164,21,True,True,15,active,190,True,0,True,2020-07-29 15:28:44+00:00,1,190,0,,,2020-07-29 15:31:15,2020
165,2,True,False,13,active,191,True,0,True,2020-07-29 14:06:36+00:00,0,191,0,,,2020-07-29 15:31:15,2020
166,15,True,False,4,active,192,True,0,True,2020-07-29 14:50:36+00:00,0,192,0,,,2020-07-29 15:31:15,2020
167,13,True,True,2,active,193,True,0,True,2020-07-29 15:07:16+00:00,0,193,0,,,2020-07-29 15:31:15,2020
168,11,True,False,8,active,194,True,0,True,2020-07-29 14:45:37+00:00,0,194,0,,,2020-07-29 15:31:15,2020
169,12,True,False,10,active,195,True,0,True,2020-07-29 15:29:28+00:00,1,195,0,,,2020-07-29 15:31:15,2020
170,0,True,True,10,active,196,True,0,True,2020-07-29 14:01:29+00:00,0,196,0,,,2020-07-29 15:31:15,2020
171,0,True,False,14,active,197,True,0,True,2020-07-29 10:28:39+00:00,1,197,0,,,2020-07-29 15:31:15,2020
172,6,True,False,9,active,199,True,0,True,2020-07-29 15:18:50+00:00,0,199,0,,,2020-07-29 15:31:15,2020
173,14,True,False,5,active,200,True,0,True,2020-07-29 13:51:18+00:00,0,200,0,,,2020-07-29 15:31:15,2020
174,0,True,False,15,active,201,True,0,True,2020-07-29 12:09:09+00:00,0,201,0,,,2020-07-29 15:31:15,2020
175,5,True,False,10,active,202,True,0,True,2020-07-29 15:09:51+00:00,0,202,0,,,2020-07-29 15:31:15,2020
176,3,True,False,12,active,203,True,0,True,2020-07-29 09:00:50+00:00,0,203,0,,,2020-07-29 15:31:15,2020
177,2,True,False,13,active,204,True,0,True,2020-07-29 08:20:40+00:00,0,204,0,,,2020-07-29 15:31:15,2020
178,4,True,False,10,active,205,True,0,True,2020-07-29 08:20:53+00:00,1,205,0,,,2020-07-29 15:31:15,2020
179,9,True,False,14,active,206,True,0,True,2020-07-29 14:41:15+00:00,0,206,0,,,2020-07-29 15:31:15,2020
180,11,True,True,3,active,208,True,0,True,2020-07-29 15:30:37+00:00,1,208,0,,,2020-07-29 15:31:15,2020
181,14,True,False,0,active,209,True,0,True,2020-07-29 00:27:30+00:00,1,209,0,,,2020-07-29 15:31:15,2020
182,1,True,False,14,active,210,True,0,True,2020-07-29 08:45:35+00:00,0,210,0,,,2020-07-29 15:31:15,2020
183,14,True,False,4,active,211,True,0,True,2020-07-29 14:38:40+00:00,1,211,0,,,2020-07-29 15:31:15,2020
184,10,True,False,23,active,212,True,0,True,2020-07-29 14:39:52+00:00,0,212,0,,,2020-07-29 15:31:15,2020
185,8,True,True,8,active,213,True,0,True,2020-07-29 08:54:39+00:00,0,213,0,,,2020-07-29 15:31:15,2020
186,12,True,False,3,active,214,True,0,True,2020-07-29 13:36:52+00:00,0,214,0,,,2020-07-29 15:31:15,2020
187,11,True,False,4,active,215,True,0,True,2020-07-29 15:14:28+00:00,0,215,0,,,2020-07-29 15:31:15,2020
188,15,True,False,3,active,216,True,0,True,2020-07-29 08:24:18+00:00,1,216,0,,,2020-07-29 15:31:15,2020
189,6,True,False,13,active,217,True,0,True,2020-07-29 13:20:57+00:00,0,217,0,,,2020-07-29 15:31:15,2020
190,4,True,False,11,active,218,True,0,True,2020-07-29 15:12:41+00:00,0,218,0,,,2020-07-29 15:31:15,2020
191,9,True,False,6,active,219,True,0,True,2020-07-29 08:39:06+00:00,0,219,0,,,2020-07-29 15:31:15,2020
192,3,True,False,16,active,221,True,0,True,2020-07-29 15:20:15+00:00,0,221,0,,,2020-07-29 15:31:15,2020
193,2,True,True,12,active,222,True,0,True,2020-07-29 14:05:22+00:00,0,222,0,,,2020-07-29 15:31:15,2020
194,8,True,False,9,active,224,True,0,True,2020-07-29 14:38:24+00:00,0,224,0,,,2020-07-29 15:31:15,2020
195,9,True,False,9,active,225,True,0,True,2020-07-29 15:09:33+00:00,1,225,0,,,2020-07-29 15:31:15,2020
196,6,True,False,9,active,226,True,0,True,2020-07-29 15:25:07+00:00,0,226,0,,,2020-07-29 15:31:15,2020
197,8,True,False,10,active,227,True,0,True,2020-07-29 15:29:18+00:00,1,227,0,,,2020-07-29 15:31:15,2020
198,8,True,False,11,active,228,True,0,True,2020-07-29 15:13:20+00:00,0,228,0,,,2020-07-29 15:31:15,2020
199,4,True,False,7,active,232,True,0,True,2020-07-29 13:41:31+00:00,0,232,0,,,2020-07-29 15:31:15,2020
200,7,True,False,8,active,233,True,0,True,2020-07-29 15:18:56+00:00,0,233,0,,,2020-07-29 15:31:15,2020
201,3,True,False,12,active,234,True,0,True,2020-07-29 13:59:14+00:00,0,234,0,,,2020-07-29 15:31:15,2020
202,12,True,False,3,active,235,True,0,True,2020-07-29 15:08:00+00:00,0,235,0,,,2020-07-29 15:31:15,2020
203,10,True,False,5,active,236,True,0,True,2020-07-29 13:37:25+00:00,0,236,0,,,2020-07-29 15:31:15,2020
204,6,True,False,9,active,239,True,0,True,2020-07-29 15:29:38+00:00,0,239,0,,,2020-07-29 15:31:15,2020
205,11,True,False,4,active,255,True,0,True,2020-07-29 14:28:38+00:00,0,255,0,,,2020-07-29 15:31:15,2020
206,8,True,False,7,active,258,True,0,True,2020-07-29 12:20:53+00:00,0,258,0,,,2020-07-29 15:31:15,2020
207,0,True,False,15,active,259,True,0,True,2020-07-29 10:42:10+00:00,0,259,0,,,2020-07-29 15:31:15,2020
208,14,True,False,1,active,260,True,0,True,2020-07-29 14:33:24+00:00,0,260,0,,,2020-07-29 15:31:15,2020
209,2,True,False,12,active,271,True,0,True,2020-07-29 14:32:24+00:00,1,271,0,,,2020-07-29 15:31:15,2020
210,12,True,False,7,active,272,True,0,True,2020-07-29 13:43:50+00:00,0,272,0,,,2020-07-29 15:31:15,2020
211,28,True,False,11,active,273,True,0,True,2020-07-29 13:02:05+00:00,1,273,0,,,2020-07-29 15:31:15,2020
212,8,True,False,11,active,279,True,0,True,2020-07-29 14:46:09+00:00,0,279,0,,,2020-07-29 15:31:15,2020
213,7,True,False,12,active,280,True,0,True,2020-07-29 14:52:20+00:00,0,280,0,,,2020-07-29 15:31:15,2020
214,8,True,False,6,active,282,True,0,True,2020-07-29 15:08:49+00:00,1,282,0,,,2020-07-29 15:31:15,2020
215,5,True,False,18,active,296,True,0,True,2020-07-29 13:17:20+00:00,0,296,0,,,2020-07-29 15:31:15,2020
