,num_docks_available,is_installed,num_bikes_disabled,num_bikes_available,num_ebikes_available,station_status,legacy_id,is_returning,eightd_has_available_keys,is_renting,last_reported,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
61,7,True,0,16,0,active,70,True,False,True,2020-08-15 19:55:52+00:00,70,0,,,2020-08-15 19:57:15,2020
62,17,True,0,6,0,active,71,True,False,True,2020-08-15 19:56:30+00:00,71,0,,,2020-08-15 19:57:15,2020
63,22,True,0,1,0,active,72,True,False,True,2020-08-15 19:09:37+00:00,72,0,,,2020-08-15 19:57:15,2020
64,1,True,1,13,0,active,73,True,False,True,2020-08-15 19:54:06+00:00,73,0,,,2020-08-15 19:57:15,2020
65,3,True,1,15,0,active,74,True,True,True,2020-08-15 19:54:44+00:00,74,0,,,2020-08-15 19:57:15,2020
66,8,True,1,6,0,active,75,True,False,True,2020-08-15 19:56:02+00:00,75,0,,,2020-08-15 19:57:15,2020
67,1,True,1,15,0,active,76,True,False,True,2020-08-15 19:54:34+00:00,76,0,,,2020-08-15 19:57:15,2020
68,10,True,1,4,0,active,77,True,False,True,2020-08-15 19:53:49+00:00,77,0,,,2020-08-15 19:57:15,2020
69,6,True,0,13,0,active,78,True,False,True,2020-08-15 19:39:29+00:00,78,0,,,2020-08-15 19:57:15,2020
70,16,True,0,3,0,active,79,True,False,True,2020-08-15 19:48:18+00:00,79,0,,,2020-08-15 19:57:15,2020
71,19,True,1,15,0,active,80,True,False,True,2020-08-15 19:56:59+00:00,80,0,,,2020-08-15 19:57:15,2020
72,9,True,1,9,0,active,81,True,False,True,2020-08-15 19:52:54+00:00,81,0,,,2020-08-15 19:57:15,2020
73,13,True,0,2,0,active,82,True,False,True,2020-08-15 19:55:13+00:00,82,0,,,2020-08-15 19:57:15,2020
