,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
185,True,2020-08-11 08:56:43+00:00,0,0,8,active,True,True,0,213,True,213,8,2020-08-11 10:02:20,2020
186,True,2020-08-11 08:27:27+00:00,0,0,5,active,True,True,0,214,False,214,10,2020-08-11 10:02:20,2020
187,True,2020-08-11 08:53:10+00:00,0,0,7,active,True,True,0,215,False,215,8,2020-08-11 10:02:20,2020
188,True,2020-08-11 08:53:00+00:00,0,1,16,active,True,True,0,216,False,216,2,2020-08-11 10:02:20,2020
189,True,2020-08-11 08:27:43+00:00,0,0,17,active,True,True,0,217,False,217,2,2020-08-11 10:02:20,2020
190,True,2020-08-11 08:28:06+00:00,0,0,0,active,True,True,0,218,False,218,15,2020-08-11 10:02:20,2020
191,True,2020-08-11 08:51:53+00:00,0,0,6,active,True,True,0,219,False,219,9,2020-08-11 10:02:20,2020
192,True,2020-08-11 09:56:30+00:00,0,0,13,active,True,True,0,221,False,221,6,2020-08-11 10:02:20,2020
193,True,2020-08-11 09:47:45+00:00,0,0,5,active,True,True,0,222,True,222,9,2020-08-11 10:02:20,2020
194,True,2020-08-11 08:32:37+00:00,0,0,10,active,True,True,0,224,False,224,7,2020-08-11 10:02:20,2020
195,True,2020-08-11 08:33:11+00:00,0,0,15,active,True,True,0,225,False,225,4,2020-08-11 10:02:20,2020
196,True,2020-08-11 04:04:53+00:00,0,0,2,active,True,True,0,226,False,226,13,2020-08-11 10:02:20,2020
197,True,2020-08-11 08:32:13+00:00,0,0,8,active,True,True,0,227,False,227,11,2020-08-11 10:02:20,2020
198,True,2020-08-11 08:33:14+00:00,0,0,11,active,True,True,0,228,False,228,8,2020-08-11 10:02:20,2020
199,True,2020-08-11 01:22:39+00:00,0,0,8,active,True,True,0,232,False,232,3,2020-08-11 10:02:20,2020
200,True,2020-08-11 09:08:45+00:00,0,3,3,active,True,True,0,233,False,233,9,2020-08-11 10:02:20,2020
201,True,2020-08-11 08:36:25+00:00,0,0,2,active,True,True,0,234,False,234,13,2020-08-11 10:02:20,2020
202,True,2020-08-11 08:57:15+00:00,0,0,5,active,True,True,0,235,False,235,10,2020-08-11 10:02:20,2020
203,True,2020-08-11 08:36:34+00:00,0,0,11,active,True,True,0,236,False,236,4,2020-08-11 10:02:20,2020
204,True,2020-08-11 09:41:08+00:00,0,0,10,active,True,True,0,239,False,239,5,2020-08-11 10:02:20,2020
205,True,2020-08-11 08:41:24+00:00,0,0,11,active,True,True,0,255,False,255,4,2020-08-11 10:02:20,2020
206,True,2020-08-11 08:41:51+00:00,0,1,9,active,True,True,0,258,False,258,5,2020-08-11 10:02:20,2020
207,True,2020-08-11 08:42:57+00:00,0,0,15,active,True,True,0,259,False,259,0,2020-08-11 10:02:20,2020
208,True,2020-08-11 08:41:32+00:00,0,0,12,active,True,True,0,260,False,260,3,2020-08-11 10:02:20,2020
209,True,2020-08-11 09:07:43+00:00,0,0,8,active,True,True,0,271,False,271,7,2020-08-11 10:02:20,2020
210,True,2020-08-11 08:56:25+00:00,0,1,6,active,True,True,0,272,False,272,12,2020-08-11 10:02:20,2020
211,True,2020-08-11 08:57:43+00:00,0,0,20,active,True,True,0,273,False,273,20,2020-08-11 10:02:20,2020
212,True,2020-08-11 04:48:30+00:00,0,0,15,active,True,True,0,279,False,279,4,2020-08-11 10:02:20,2020
213,True,2020-08-11 00:34:06+00:00,0,0,9,active,True,True,0,280,False,280,10,2020-08-11 10:02:20,2020
214,True,2020-08-11 09:50:27+00:00,0,2,12,active,True,True,0,282,False,282,1,2020-08-11 10:02:20,2020
215,True,2020-08-11 03:59:36+00:00,0,1,12,active,True,True,0,296,False,296,10,2020-08-11 10:02:20,2020
216,True,2020-08-11 08:46:43+00:00,0,0,7,active,True,True,0,318,False,318,12,2020-08-11 10:02:20,2020
217,True,2020-08-11 08:56:33+00:00,0,0,4,active,True,True,0,319,False,319,21,2020-08-11 10:02:20,2020
218,True,2020-08-11 08:47:51+00:00,0,0,15,active,True,True,0,327,False,327,0,2020-08-11 10:02:20,2020
219,True,2020-08-11 08:36:21+00:00,0,0,1,active,True,True,0,328,False,328,14,2020-08-11 10:02:20,2020
220,True,2020-08-11 08:58:06+00:00,0,0,5,active,True,True,0,329,False,329,10,2020-08-11 10:02:20,2020
221,True,2020-08-11 08:56:31+00:00,0,0,9,active,True,True,0,330,False,330,6,2020-08-11 10:02:20,2020
222,True,2020-08-11 09:56:53+00:00,0,0,4,active,True,True,0,331,False,331,11,2020-08-11 10:02:20,2020
223,True,2020-08-11 09:40:19+00:00,0,1,12,active,True,True,0,332,False,332,2,2020-08-11 10:02:20,2020
224,True,2020-08-11 08:43:37+00:00,0,0,21,active,True,True,0,333,False,333,4,2020-08-11 10:02:20,2020
225,True,2020-08-11 08:51:47+00:00,0,0,18,active,True,True,0,334,False,334,1,2020-08-11 10:02:20,2020
226,True,2020-08-11 08:41:24+00:00,0,0,18,active,True,True,0,335,False,335,1,2020-08-11 10:02:20,2020
227,True,2020-08-11 08:52:49+00:00,0,2,13,active,True,True,0,336,False,336,0,2020-08-11 10:02:20,2020
228,True,2020-08-11 08:53:06+00:00,0,0,14,active,True,True,0,337,False,337,1,2020-08-11 10:02:20,2020
