,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
108,True,0,active,False,13,119,2020-08-18 22:48:42+00:00,119,1,True,True,0,1,2020-08-18 22:49:10,2020
109,True,0,active,False,1,120,2020-08-18 22:46:59+00:00,120,14,True,True,0,0,2020-08-18 22:49:10,2020
110,True,0,active,False,14,121,2020-08-18 22:48:24+00:00,121,2,True,True,0,1,2020-08-18 22:49:10,2020
111,True,0,active,False,6,122,2020-08-18 22:48:12+00:00,122,9,True,True,0,0,2020-08-18 22:49:10,2020
112,True,0,active,False,14,124,2020-08-18 21:10:49+00:00,124,1,True,True,0,0,2020-08-18 22:49:10,2020
113,True,0,active,False,7,125,2020-08-18 22:20:25+00:00,125,6,True,True,1,1,2020-08-18 22:49:10,2020
114,True,0,active,False,3,126,2020-08-18 22:22:46+00:00,126,11,True,True,0,1,2020-08-18 22:49:10,2020
115,True,0,active,False,0,128,2020-08-18 22:48:31+00:00,128,19,True,True,0,0,2020-08-18 22:49:10,2020
116,True,0,active,False,4,129,2020-08-18 22:42:10+00:00,129,15,True,True,0,0,2020-08-18 22:49:10,2020
117,True,0,active,False,3,130,2020-08-18 22:33:30+00:00,130,12,True,True,0,0,2020-08-18 22:49:10,2020
118,True,0,active,False,10,131,2020-08-18 22:29:40+00:00,131,8,True,True,0,0,2020-08-18 22:49:10,2020
119,True,0,active,False,5,133,2020-08-18 22:25:31+00:00,133,16,True,True,0,2,2020-08-18 22:49:10,2020
120,True,0,active,False,16,135,2020-08-18 21:39:58+00:00,135,1,True,True,0,0,2020-08-18 22:49:10,2020
121,True,0,active,False,17,136,2020-08-18 22:01:10+00:00,136,1,True,True,0,1,2020-08-18 22:49:10,2020
122,True,0,active,False,4,137,2020-08-18 22:44:25+00:00,137,11,True,True,0,0,2020-08-18 22:49:10,2020
123,True,0,active,False,7,138,2020-08-18 22:27:59+00:00,138,7,True,True,0,1,2020-08-18 22:49:10,2020
124,True,0,active,False,18,139,2020-08-18 22:48:17+00:00,139,1,True,True,0,0,2020-08-18 22:49:10,2020
125,True,0,active,False,2,140,2020-08-18 22:49:02+00:00,140,15,True,True,0,0,2020-08-18 22:49:10,2020
