,station_id,num_bikes_available,is_renting,station_status,num_bikes_disabled,num_ebikes_available,num_docks_available,is_installed,is_returning,legacy_id,num_docks_disabled,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
114,126,8,True,active,0,0,7,True,True,126,0,2020-08-12 23:19:18+00:00,False,2020-08-12 23:50:55,2020
115,128,5,True,active,0,0,14,True,True,128,0,2020-08-12 23:25:17+00:00,False,2020-08-12 23:50:55,2020
116,129,13,True,active,0,0,6,True,True,129,0,2020-08-12 22:37:48+00:00,False,2020-08-12 23:50:55,2020
117,130,12,True,active,0,0,3,True,True,130,0,2020-08-12 23:31:39+00:00,False,2020-08-12 23:50:55,2020
118,131,9,True,active,0,0,9,True,True,131,0,2020-08-12 23:46:00+00:00,False,2020-08-12 23:50:55,2020
119,133,13,True,active,1,0,9,True,True,133,0,2020-08-12 22:51:13+00:00,False,2020-08-12 23:50:55,2020
120,135,2,True,active,0,0,15,True,True,135,0,2020-08-12 22:05:32+00:00,False,2020-08-12 23:50:55,2020
121,136,4,True,active,1,0,14,True,True,136,0,2020-08-12 22:08:54+00:00,False,2020-08-12 23:50:55,2020
122,137,8,True,active,0,0,7,True,True,137,0,2020-08-12 23:47:47+00:00,False,2020-08-12 23:50:55,2020
123,138,8,True,active,1,0,6,True,True,138,0,2020-08-12 22:44:36+00:00,False,2020-08-12 23:50:55,2020
124,139,17,True,active,0,0,2,True,True,139,0,2020-08-12 23:44:32+00:00,False,2020-08-12 23:50:55,2020
125,140,12,True,active,0,0,5,True,True,140,0,2020-08-12 23:31:49+00:00,False,2020-08-12 23:50:55,2020
126,141,6,True,active,0,0,9,True,True,141,0,2020-08-12 23:41:26+00:00,False,2020-08-12 23:50:55,2020
127,142,13,True,active,1,0,9,True,True,142,0,2020-08-12 23:05:16+00:00,False,2020-08-12 23:50:55,2020
128,143,15,True,active,2,0,6,True,True,143,0,2020-08-12 23:19:58+00:00,False,2020-08-12 23:50:55,2020
129,144,13,True,active,1,0,5,True,True,144,0,2020-08-12 23:37:09+00:00,False,2020-08-12 23:50:55,2020
130,145,18,True,active,0,0,1,True,True,145,0,2020-08-12 23:45:06+00:00,False,2020-08-12 23:50:55,2020
131,146,8,True,active,0,0,11,True,True,146,0,2020-08-12 23:49:55+00:00,False,2020-08-12 23:50:55,2020
132,149,3,True,active,0,0,15,True,True,149,0,2020-08-12 23:43:03+00:00,True,2020-08-12 23:50:55,2020
133,150,16,True,active,0,0,3,True,True,150,0,2020-08-12 23:19:21+00:00,False,2020-08-12 23:50:55,2020
134,151,9,True,active,1,0,9,True,True,151,0,2020-08-12 23:20:45+00:00,False,2020-08-12 23:50:55,2020
135,152,2,True,active,0,0,13,True,True,152,0,2020-08-12 23:50:38+00:00,True,2020-08-12 23:50:55,2020
136,156,4,True,active,0,0,11,True,True,156,0,2020-08-12 22:59:57+00:00,False,2020-08-12 23:50:55,2020
137,157,3,True,active,2,0,10,True,True,157,0,2020-08-12 23:49:28+00:00,False,2020-08-12 23:50:55,2020
138,159,7,True,active,0,0,8,True,True,159,0,2020-08-12 23:28:49+00:00,False,2020-08-12 23:50:55,2020
139,160,0,True,active,0,0,14,True,True,160,0,2020-08-12 23:31:11+00:00,True,2020-08-12 23:50:55,2020
140,161,12,True,active,2,0,9,True,True,161,0,2020-08-12 23:46:29+00:00,True,2020-08-12 23:50:55,2020
141,162,4,True,active,0,0,11,True,True,162,0,2020-08-12 21:49:04+00:00,False,2020-08-12 23:50:55,2020
142,163,9,True,active,0,0,10,True,True,163,0,2020-08-12 23:48:40+00:00,True,2020-08-12 23:50:55,2020
143,167,3,True,active,0,0,12,True,True,167,0,2020-08-12 23:22:37+00:00,False,2020-08-12 23:50:55,2020
144,169,3,True,active,0,0,16,True,True,169,0,2020-08-12 23:05:10+00:00,False,2020-08-12 23:50:55,2020
145,170,4,True,active,1,0,9,True,True,170,0,2020-08-12 23:30:14+00:00,True,2020-08-12 23:50:55,2020
146,171,9,True,active,0,0,14,True,True,171,0,2020-08-12 22:45:08+00:00,True,2020-08-12 23:50:55,2020
147,173,9,True,active,0,0,5,True,True,173,0,2020-08-12 22:29:02+00:00,True,2020-08-12 23:50:55,2020
148,174,1,True,active,1,0,13,True,True,174,0,2020-08-12 23:39:18+00:00,False,2020-08-12 23:50:55,2020
149,175,0,True,active,1,0,16,True,True,175,0,2020-08-12 23:01:00+00:00,True,2020-08-12 23:50:55,2020
150,176,12,True,active,0,0,3,True,True,176,0,2020-08-12 23:37:12+00:00,False,2020-08-12 23:50:55,2020
151,177,9,True,active,1,0,9,True,True,177,0,2020-08-12 23:15:43+00:00,False,2020-08-12 23:50:55,2020
152,178,1,True,active,0,0,18,True,True,178,0,2020-08-12 23:48:36+00:00,False,2020-08-12 23:50:55,2020
153,179,13,True,active,0,0,12,True,True,179,0,2020-08-12 23:40:49+00:00,False,2020-08-12 23:50:55,2020
154,180,7,True,active,2,0,10,True,True,180,0,2020-08-12 23:39:23+00:00,False,2020-08-12 23:50:55,2020
155,181,10,True,active,0,0,9,True,True,181,0,2020-08-12 23:02:31+00:00,False,2020-08-12 23:50:55,2020
156,182,1,True,active,0,0,18,True,True,182,0,2020-08-12 23:42:13+00:00,True,2020-08-12 23:50:55,2020
157,183,0,True,active,1,0,18,True,True,183,0,2020-08-12 23:34:21+00:00,False,2020-08-12 23:50:55,2020
158,184,8,True,active,0,0,11,True,True,184,0,2020-08-12 23:40:49+00:00,False,2020-08-12 23:50:55,2020
159,185,3,True,active,0,0,12,True,True,185,0,2020-08-12 23:18:52+00:00,False,2020-08-12 23:50:55,2020
160,186,7,True,active,0,0,8,True,True,186,0,2020-08-12 23:41:29+00:00,True,2020-08-12 23:50:55,2020
161,187,7,True,active,0,0,8,True,True,187,0,2020-08-12 23:25:25+00:00,False,2020-08-12 23:50:55,2020
162,188,13,True,active,1,0,1,True,True,188,0,2020-08-12 23:48:59+00:00,False,2020-08-12 23:50:55,2020
163,189,14,True,active,0,0,9,True,True,189,0,2020-08-12 23:48:46+00:00,True,2020-08-12 23:50:55,2020
164,190,10,True,active,2,0,25,True,True,190,0,2020-08-12 23:46:31+00:00,True,2020-08-12 23:50:55,2020
165,191,5,True,active,0,0,10,True,True,191,0,2020-08-12 23:35:49+00:00,False,2020-08-12 23:50:55,2020
166,192,5,True,active,0,0,14,True,True,192,0,2020-08-12 23:31:12+00:00,False,2020-08-12 23:50:55,2020
167,193,5,True,active,2,0,8,True,True,193,0,2020-08-12 23:49:49+00:00,False,2020-08-12 23:50:55,2020
168,194,1,True,active,0,0,18,True,True,194,0,2020-08-12 23:35:25+00:00,False,2020-08-12 23:50:55,2020
169,195,10,True,active,0,0,13,True,True,195,0,2020-08-12 23:41:41+00:00,False,2020-08-12 23:50:55,2020
170,196,2,True,active,0,0,8,True,True,196,0,2020-08-12 21:06:46+00:00,True,2020-08-12 23:50:55,2020
171,197,6,True,active,0,0,9,True,True,197,0,2020-08-12 22:24:17+00:00,False,2020-08-12 23:50:55,2020
172,199,5,True,active,0,0,10,True,True,199,0,2020-08-12 22:23:22+00:00,False,2020-08-12 23:50:55,2020
