,num_ebikes_available,is_returning,station_id,station_status,legacy_id,num_bikes_available,is_installed,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
161,0,True,187,active,187,11,True,True,2020-08-18 17:37:44+00:00,False,0,4,0,,,2020-08-18 19:04:20,2020
162,0,True,188,active,188,9,True,True,2020-08-18 18:50:24+00:00,False,0,6,0,,,2020-08-18 19:04:20,2020
163,0,True,189,active,189,19,True,True,2020-08-18 18:56:57+00:00,True,0,3,1,,,2020-08-18 19:04:20,2020
164,0,True,190,active,190,15,True,True,2020-08-18 18:59:19+00:00,False,0,20,2,,,2020-08-18 19:04:20,2020
165,0,True,191,active,191,2,True,True,2020-08-18 13:28:06+00:00,False,0,13,0,,,2020-08-18 19:04:20,2020
166,0,True,192,active,192,11,True,True,2020-08-18 18:20:37+00:00,False,0,8,0,,,2020-08-18 19:04:20,2020
167,0,True,193,active,193,5,True,True,2020-08-18 19:02:29+00:00,True,0,10,0,,,2020-08-18 19:04:20,2020
168,0,True,194,active,194,1,True,True,2020-08-18 18:08:26+00:00,False,0,15,3,,,2020-08-18 19:04:20,2020
169,0,True,195,active,195,3,True,True,2020-08-18 18:59:52+00:00,False,0,19,1,,,2020-08-18 19:04:20,2020
170,0,True,196,active,196,1,True,True,2020-08-18 17:21:47+00:00,False,0,9,0,,,2020-08-18 19:04:20,2020
171,0,True,197,active,197,8,True,True,2020-08-18 18:41:50+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
172,0,True,199,active,199,7,True,True,2020-08-18 15:32:08+00:00,False,0,8,0,,,2020-08-18 19:04:20,2020
173,0,True,200,active,200,16,True,True,2020-08-18 18:44:33+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
174,0,True,201,active,201,5,True,True,2020-08-18 17:55:13+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
175,0,True,202,active,202,5,True,True,2020-08-18 18:37:18+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
176,0,True,203,active,203,8,True,True,2020-08-18 08:39:35+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
177,0,True,204,active,204,4,True,True,2020-08-18 18:38:43+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
178,0,True,205,active,205,5,True,True,2020-08-18 18:37:12+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
