,is_renting,eightd_has_available_keys,num_bikes_disabled,station_id,last_reported,num_bikes_available,num_docks_disabled,num_docks_available,num_ebikes_available,is_returning,station_status,legacy_id,is_installed,timestamp_of_data_read_request,year_station_last_reported
51,True,True,0,59,2020-08-11 00:02:13+00:00,1,0,18,0,True,active,59,True,2020-08-11 01:11:25,2020
52,True,False,0,60,2020-08-11 01:07:15+00:00,9,0,10,0,True,active,60,True,2020-08-11 01:11:25,2020
53,True,False,2,61,2020-08-11 01:09:43+00:00,2,0,15,0,True,active,61,True,2020-08-11 01:11:25,2020
54,True,False,2,63,2020-08-10 22:55:41+00:00,4,0,9,0,True,active,63,True,2020-08-11 01:11:25,2020
55,True,False,0,64,2020-08-11 00:11:36+00:00,7,0,12,0,True,active,64,True,2020-08-11 01:11:25,2020
56,True,False,0,65,2020-08-10 23:13:48+00:00,4,0,19,0,True,active,65,True,2020-08-11 01:11:25,2020
57,True,False,0,66,2020-08-11 00:47:28+00:00,14,0,1,0,True,active,66,True,2020-08-11 01:11:25,2020
58,True,True,1,67,2020-08-11 00:48:54+00:00,6,0,20,0,True,active,67,True,2020-08-11 01:11:25,2020
59,True,True,1,68,2020-08-11 00:49:58+00:00,9,0,9,0,True,active,68,True,2020-08-11 01:11:25,2020
60,True,True,1,69,2020-08-11 00:28:42+00:00,5,0,13,0,True,active,69,True,2020-08-11 01:11:25,2020
61,True,False,0,70,2020-08-11 01:00:24+00:00,21,0,2,0,True,active,70,True,2020-08-11 01:11:25,2020
62,True,False,0,71,2020-08-10 23:38:22+00:00,23,0,0,0,True,active,71,True,2020-08-11 01:11:25,2020
63,True,False,0,72,2020-08-11 00:52:03+00:00,0,0,23,0,True,active,72,True,2020-08-11 01:11:25,2020
64,True,False,0,73,2020-08-11 01:08:15+00:00,1,0,14,0,True,active,73,True,2020-08-11 01:11:25,2020
65,True,True,1,74,2020-08-11 00:39:57+00:00,6,0,12,0,True,active,74,True,2020-08-11 01:11:25,2020
66,True,False,0,75,2020-08-11 01:01:15+00:00,3,0,12,0,True,active,75,True,2020-08-11 01:11:25,2020
67,True,False,0,76,2020-08-11 01:01:27+00:00,5,0,12,0,True,active,76,True,2020-08-11 01:11:25,2020
68,True,False,1,77,2020-08-11 00:54:57+00:00,6,0,8,0,True,active,77,True,2020-08-11 01:11:25,2020
69,True,False,0,78,2020-08-11 01:02:35+00:00,3,0,16,0,True,active,78,True,2020-08-11 01:11:25,2020
70,True,False,3,79,2020-08-11 01:00:05+00:00,15,0,1,0,True,active,79,True,2020-08-11 01:11:25,2020
71,True,False,0,80,2020-08-11 00:50:45+00:00,11,0,24,0,True,active,80,True,2020-08-11 01:11:25,2020
72,True,False,0,81,2020-08-11 00:53:11+00:00,10,0,9,0,True,active,81,True,2020-08-11 01:11:25,2020
73,True,False,0,82,2020-08-11 01:05:23+00:00,1,0,14,0,True,active,82,True,2020-08-11 01:11:25,2020
74,True,False,1,84,2020-08-11 00:38:51+00:00,4,0,10,0,True,active,84,True,2020-08-11 01:11:25,2020
75,True,False,0,85,2020-08-11 00:49:00+00:00,0,0,19,0,True,active,85,True,2020-08-11 01:11:25,2020
76,True,False,0,86,2020-08-11 01:00:04+00:00,8,0,11,0,True,active,86,True,2020-08-11 01:11:25,2020
77,True,False,0,87,2020-08-11 01:08:44+00:00,9,0,6,0,True,active,87,True,2020-08-11 01:11:25,2020
78,True,False,0,89,2020-08-11 00:45:08+00:00,8,0,11,0,True,active,89,True,2020-08-11 01:11:25,2020
79,True,False,1,90,2020-08-11 00:31:56+00:00,17,0,1,0,True,active,90,True,2020-08-11 01:11:25,2020
80,True,False,1,91,2020-08-11 00:36:25+00:00,3,0,15,0,True,active,91,True,2020-08-11 01:11:25,2020
81,True,False,0,92,2020-08-11 00:43:16+00:00,9,0,10,0,True,active,92,True,2020-08-11 01:11:25,2020
82,True,False,1,93,2020-08-11 00:53:05+00:00,11,0,3,0,True,active,93,True,2020-08-11 01:11:25,2020
83,True,False,0,94,2020-08-10 23:17:34+00:00,0,0,11,0,True,active,94,True,2020-08-11 01:11:25,2020
84,True,False,2,95,2020-08-11 00:59:56+00:00,5,0,8,0,True,active,95,True,2020-08-11 01:11:25,2020
85,True,False,0,96,2020-08-11 00:23:02+00:00,19,0,0,0,True,active,96,True,2020-08-11 01:11:25,2020
86,True,False,0,97,2020-08-11 01:11:05+00:00,16,0,3,0,True,active,97,True,2020-08-11 01:11:25,2020
87,True,False,0,98,2020-08-11 00:30:32+00:00,14,0,9,0,True,active,98,True,2020-08-11 01:11:25,2020
88,True,False,0,99,2020-08-11 00:13:08+00:00,7,0,8,0,True,active,99,True,2020-08-11 01:11:25,2020
89,True,True,1,100,2020-08-11 01:03:54+00:00,17,0,7,0,True,active,100,True,2020-08-11 01:11:25,2020
90,True,False,1,101,2020-08-11 00:41:43+00:00,14,0,0,0,True,active,101,True,2020-08-11 01:11:25,2020
91,True,False,0,102,2020-08-11 00:30:14+00:00,2,0,13,0,True,active,102,True,2020-08-11 01:11:25,2020
92,True,False,0,103,2020-08-11 00:54:39+00:00,10,0,5,0,True,active,103,True,2020-08-11 01:11:25,2020
93,True,False,0,104,2020-08-11 00:21:01+00:00,7,0,12,0,True,active,104,True,2020-08-11 01:11:25,2020
