,station_id,is_installed,num_docks_available,is_renting,is_returning,last_reported,num_bikes_available,num_docks_disabled,legacy_id,num_bikes_disabled,eightd_has_available_keys,station_status,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
137,157,True,8,True,True,2020-08-19 00:45:58+00:00,5,0,157,2,False,active,0,2020-08-19 01:01:45,2020
138,159,True,12,True,True,2020-08-19 00:56:45+00:00,3,0,159,0,False,active,0,2020-08-19 01:01:45,2020
139,160,True,12,True,True,2020-08-19 00:58:36+00:00,2,0,160,0,True,active,0,2020-08-19 01:01:45,2020
140,161,True,5,True,True,2020-08-19 00:55:32+00:00,17,0,161,1,True,active,0,2020-08-19 01:01:45,2020
141,162,True,8,True,True,2020-08-19 00:12:49+00:00,7,0,162,0,False,active,0,2020-08-19 01:01:45,2020
142,163,True,17,True,True,2020-08-19 00:24:06+00:00,2,0,163,0,True,active,0,2020-08-19 01:01:45,2020
143,167,True,10,True,True,2020-08-19 00:03:18+00:00,5,0,167,0,False,active,0,2020-08-19 01:01:45,2020
144,169,True,12,True,True,2020-08-19 00:33:05+00:00,7,0,169,0,False,active,0,2020-08-19 01:01:45,2020
145,170,True,14,True,True,2020-08-18 22:24:55+00:00,0,0,170,0,True,active,0,2020-08-19 01:01:45,2020
146,171,True,20,True,True,2020-08-19 00:23:19+00:00,3,0,171,0,True,active,0,2020-08-19 01:01:45,2020
147,173,True,5,True,True,2020-08-19 00:39:23+00:00,9,0,173,0,True,active,0,2020-08-19 01:01:45,2020
148,174,True,11,True,True,2020-08-19 00:57:45+00:00,4,0,174,0,False,active,0,2020-08-19 01:01:45,2020
149,175,True,10,True,True,2020-08-19 00:41:13+00:00,6,0,175,1,True,active,0,2020-08-19 01:01:45,2020
150,176,True,4,True,True,2020-08-19 00:52:10+00:00,11,0,176,0,False,active,0,2020-08-19 01:01:45,2020
151,177,True,3,True,True,2020-08-19 00:39:34+00:00,16,0,177,0,False,active,0,2020-08-19 01:01:45,2020
152,178,True,10,True,True,2020-08-19 00:58:55+00:00,9,0,178,0,False,active,0,2020-08-19 01:01:45,2020
153,179,True,6,True,True,2020-08-19 00:54:24+00:00,19,0,179,0,False,active,0,2020-08-19 01:01:45,2020
154,180,True,10,True,True,2020-08-19 00:49:16+00:00,9,0,180,0,False,active,0,2020-08-19 01:01:45,2020
155,181,True,9,True,True,2020-08-18 23:58:26+00:00,10,0,181,0,False,active,0,2020-08-19 01:01:45,2020
156,182,True,15,True,True,2020-08-18 23:55:10+00:00,4,0,182,0,True,active,0,2020-08-19 01:01:45,2020
157,183,True,11,True,True,2020-08-19 00:06:14+00:00,8,0,183,0,False,active,0,2020-08-19 01:01:45,2020
158,184,True,11,True,True,2020-08-19 00:19:31+00:00,8,0,184,0,False,active,0,2020-08-19 01:01:45,2020
159,185,True,10,True,True,2020-08-19 00:42:11+00:00,4,0,185,1,False,active,0,2020-08-19 01:01:45,2020
160,186,True,14,True,True,2020-08-19 00:39:06+00:00,1,0,186,0,True,active,0,2020-08-19 01:01:45,2020
161,187,True,5,True,True,2020-08-19 00:43:12+00:00,10,0,187,0,False,active,0,2020-08-19 01:01:45,2020
162,188,True,2,True,True,2020-08-19 00:29:38+00:00,13,0,188,0,False,active,0,2020-08-19 01:01:45,2020
163,189,True,10,True,True,2020-08-19 00:51:46+00:00,13,0,189,0,True,active,0,2020-08-19 01:01:45,2020
164,190,True,13,True,True,2020-08-19 00:53:57+00:00,22,0,190,2,True,active,0,2020-08-19 01:01:45,2020
165,191,True,12,True,True,2020-08-18 23:41:27+00:00,3,0,191,0,False,active,0,2020-08-19 01:01:45,2020
166,192,True,19,True,True,2020-08-18 23:56:26+00:00,0,0,192,0,False,active,0,2020-08-19 01:01:45,2020
167,193,True,14,True,True,2020-08-18 23:44:24+00:00,1,0,193,0,True,active,0,2020-08-19 01:01:45,2020
168,194,True,15,True,True,2020-08-19 00:17:32+00:00,1,0,194,3,False,active,0,2020-08-19 01:01:45,2020
169,195,True,12,True,True,2020-08-19 00:56:22+00:00,10,0,195,1,False,active,0,2020-08-19 01:01:45,2020
170,196,True,10,True,True,2020-08-18 21:20:25+00:00,0,0,196,0,False,active,0,2020-08-19 01:01:45,2020
171,197,True,6,True,True,2020-08-19 00:16:49+00:00,8,0,197,1,False,active,0,2020-08-19 01:01:45,2020
172,199,True,5,True,True,2020-08-18 23:59:53+00:00,10,0,199,0,False,active,0,2020-08-19 01:01:45,2020
173,200,True,2,True,True,2020-08-19 00:07:45+00:00,17,0,200,0,False,active,0,2020-08-19 01:01:45,2020
174,201,True,13,True,True,2020-08-19 00:54:48+00:00,2,0,201,0,False,active,0,2020-08-19 01:01:45,2020
175,202,True,13,True,True,2020-08-18 23:32:32+00:00,2,0,202,0,False,active,0,2020-08-19 01:01:45,2020
176,203,True,8,True,True,2020-08-18 22:44:51+00:00,6,0,203,1,False,active,0,2020-08-19 01:01:45,2020
177,204,True,14,True,True,2020-08-19 00:14:31+00:00,1,0,204,0,False,active,0,2020-08-19 01:01:45,2020
178,205,True,11,True,True,2020-08-18 23:29:38+00:00,4,0,205,0,False,active,0,2020-08-19 01:01:45,2020
179,206,True,17,True,True,2020-08-19 00:25:10+00:00,5,0,206,1,True,active,0,2020-08-19 01:01:45,2020
180,208,True,4,True,True,2020-08-19 00:58:13+00:00,11,0,208,0,True,active,0,2020-08-19 01:01:45,2020
181,209,True,2,True,True,2020-08-19 00:47:19+00:00,12,0,209,1,False,active,0,2020-08-19 01:01:45,2020
182,210,True,9,True,True,2020-08-19 00:52:30+00:00,5,0,210,1,False,active,0,2020-08-19 01:01:45,2020
183,211,True,14,True,True,2020-08-18 23:21:42+00:00,5,0,211,0,False,active,0,2020-08-19 01:01:45,2020
184,212,True,28,True,True,2020-08-19 00:42:03+00:00,5,0,212,0,False,active,0,2020-08-19 01:01:45,2020
185,213,True,16,True,True,2020-08-18 21:21:10+00:00,0,0,213,0,True,active,0,2020-08-19 01:01:45,2020
186,214,True,7,True,True,2020-08-19 00:46:32+00:00,8,0,214,0,False,active,0,2020-08-19 01:01:45,2020
187,215,True,1,True,True,2020-08-18 23:53:04+00:00,12,0,215,2,False,active,0,2020-08-19 01:01:45,2020
188,216,True,0,True,True,2020-08-18 23:12:50+00:00,19,0,216,0,False,active,0,2020-08-19 01:01:45,2020
189,217,True,11,True,True,2020-08-19 00:31:37+00:00,7,0,217,1,False,active,0,2020-08-19 01:01:45,2020
190,218,True,4,True,True,2020-08-19 00:38:52+00:00,8,0,218,3,False,active,0,2020-08-19 01:01:45,2020
191,219,True,13,True,True,2020-08-18 21:48:43+00:00,2,0,219,0,False,active,0,2020-08-19 01:01:45,2020
192,221,True,6,True,True,2020-08-19 00:53:43+00:00,12,0,221,1,False,active,0,2020-08-19 01:01:45,2020
193,222,True,11,True,True,2020-08-19 00:32:27+00:00,3,0,222,0,True,active,0,2020-08-19 01:01:45,2020
194,224,True,4,True,True,2020-08-18 23:06:42+00:00,12,0,224,1,False,active,0,2020-08-19 01:01:45,2020
195,225,True,11,True,True,2020-08-19 00:33:56+00:00,7,0,225,1,False,active,0,2020-08-19 01:01:45,2020
196,226,True,11,True,True,2020-08-19 01:01:38+00:00,2,0,226,2,False,active,0,2020-08-19 01:01:45,2020
197,227,True,12,True,True,2020-08-19 00:43:52+00:00,7,0,227,0,False,active,0,2020-08-19 01:01:45,2020
198,228,True,16,True,True,2020-08-19 00:26:03+00:00,3,0,228,0,False,active,0,2020-08-19 01:01:45,2020
