,station_status,legacy_id,num_ebikes_available,is_renting,num_bikes_disabled,station_id,num_bikes_available,num_docks_available,is_returning,is_installed,eightd_has_available_keys,num_docks_disabled,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
85,active,96,0,True,0,96,14,5,True,True,False,0,2020-07-31 02:33:50+00:00,,,2020-07-31 07:53:25,2020
86,active,97,0,True,0,97,8,11,True,True,False,0,2020-07-31 05:09:50+00:00,,,2020-07-31 07:53:25,2020
87,active,98,0,True,0,98,6,16,True,True,False,0,2020-07-31 05:00:31+00:00,,,2020-07-31 07:53:25,2020
88,active,99,0,True,1,99,13,1,True,True,False,0,2020-07-31 06:51:42+00:00,,,2020-07-31 07:53:25,2020
89,active,100,0,True,3,100,12,10,True,True,True,0,2020-07-31 04:21:57+00:00,,,2020-07-31 07:53:25,2020
90,active,101,0,True,0,101,2,13,True,True,False,0,2020-07-31 02:58:00+00:00,,,2020-07-31 07:53:25,2020
91,active,102,0,True,0,102,5,10,True,True,False,0,2020-07-31 07:48:06+00:00,,,2020-07-31 07:53:25,2020
92,active,103,0,True,1,103,6,8,True,True,False,0,2020-07-31 04:47:32+00:00,,,2020-07-31 07:53:25,2020
93,active,104,0,True,0,104,18,1,True,True,False,0,2020-07-31 04:04:14+00:00,,,2020-07-31 07:53:25,2020
94,active,105,0,True,0,105,8,11,True,True,False,0,2020-07-31 05:35:38+00:00,,,2020-07-31 07:53:25,2020
95,active,106,0,True,0,106,7,8,True,True,False,0,2020-07-31 00:59:08+00:00,,,2020-07-31 07:53:25,2020
96,active,107,0,True,0,107,1,18,True,True,False,0,2020-07-31 07:24:17+00:00,,,2020-07-31 07:53:25,2020
97,active,108,0,True,0,108,11,6,True,True,False,0,2020-07-31 04:40:47+00:00,,,2020-07-31 07:53:25,2020
98,active,109,0,True,2,109,25,8,True,True,False,0,2020-07-31 00:13:00+00:00,,,2020-07-31 07:53:25,2020
99,active,110,0,True,1,110,8,6,True,True,False,0,2020-07-31 02:59:57+00:00,,,2020-07-31 07:53:25,2020
100,active,111,0,True,0,111,1,14,True,True,False,0,2020-07-30 23:44:11+00:00,,,2020-07-31 07:53:25,2020
101,active,112,0,True,0,112,5,10,True,True,False,0,2020-07-31 02:28:21+00:00,,,2020-07-31 07:53:25,2020
102,active,113,0,True,0,113,15,0,True,True,False,0,2020-07-31 06:49:24+00:00,,,2020-07-31 07:53:25,2020
103,active,114,0,True,0,114,6,9,True,True,False,0,2020-07-31 04:15:25+00:00,,,2020-07-31 07:53:25,2020
104,active,115,0,True,1,115,4,14,True,True,False,0,2020-07-31 04:15:06+00:00,,,2020-07-31 07:53:25,2020
105,active,116,0,True,0,116,21,2,True,True,False,0,2020-07-31 04:04:42+00:00,,,2020-07-31 07:53:25,2020
106,active,117,0,True,1,117,15,3,True,True,False,0,2020-07-31 04:29:23+00:00,,,2020-07-31 07:53:25,2020
107,active,118,0,True,1,118,7,11,True,True,False,0,2020-07-31 06:29:48+00:00,,,2020-07-31 07:53:25,2020
108,active,119,0,True,0,119,8,7,True,True,False,0,2020-07-31 05:53:15+00:00,,,2020-07-31 07:53:25,2020
109,active,120,0,True,1,120,2,12,True,True,False,0,2020-07-31 04:40:56+00:00,,,2020-07-31 07:53:25,2020
110,active,121,0,True,1,121,10,6,True,True,False,0,2020-07-31 07:35:36+00:00,,,2020-07-31 07:53:25,2020
111,active,122,0,True,1,122,9,5,True,True,False,0,2020-07-31 03:14:07+00:00,,,2020-07-31 07:53:25,2020
112,active,124,0,True,0,124,5,10,True,True,False,0,2020-07-31 04:40:05+00:00,,,2020-07-31 07:53:25,2020
113,active,125,0,True,0,125,5,10,True,True,False,0,2020-07-31 02:36:29+00:00,,,2020-07-31 07:53:25,2020
114,active,126,0,True,1,126,7,7,True,True,False,0,2020-07-31 05:36:48+00:00,,,2020-07-31 07:53:25,2020
115,active,128,0,True,0,128,16,3,True,True,False,0,2020-07-31 07:51:46+00:00,,,2020-07-31 07:53:25,2020
