,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp,year
104,115,17,0,0,2,0,True,True,True,2020-03-11 02:34:34+00:00,2020
105,116,22,0,1,0,0,True,True,True,2020-03-11 01:37:59+00:00,2020
106,117,10,0,1,8,0,True,True,True,2020-03-11 02:19:50+00:00,2020
107,118,12,0,1,6,0,True,True,True,2020-03-11 02:20:11+00:00,2020
108,119,15,0,0,0,0,True,True,True,2020-03-10 21:58:35+00:00,2020
109,120,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
110,121,15,0,2,0,0,True,True,True,2020-03-11 02:45:08+00:00,2020
111,122,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
112,124,15,0,0,0,0,True,True,True,2020-03-11 02:42:11+00:00,2020
113,125,8,0,0,7,0,True,True,True,2020-03-11 01:15:35+00:00,2020
114,126,1,0,0,14,0,True,True,True,2020-03-10 22:31:48+00:00,2020
115,128,0,0,0,19,0,False,False,False,2019-11-07 14:52:43+00:00,2019
116,129,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
117,130,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
118,131,16,0,2,0,0,True,True,True,2020-03-11 00:35:34+00:00,2020
119,133,23,0,0,0,0,True,True,True,2020-03-11 02:21:02+00:00,2020
120,134,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
121,135,0,0,0,17,0,True,True,True,2020-03-10 20:57:23+00:00,2020
122,136,6,0,0,13,0,True,True,True,2020-03-10 23:28:34+00:00,2020
123,137,10,0,0,5,0,True,True,True,2020-03-11 00:45:36+00:00,2020
124,138,15,0,0,0,0,True,True,True,2020-03-10 21:11:26+00:00,2020
125,139,17,0,0,2,0,True,True,True,2020-03-11 02:24:10+00:00,2020
