,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,eightd_has_available_keys,station_id,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
253,True,active,2020-08-13 11:53:33+00:00,362,0,0,True,0,4,15,False,362,True,,,2020-08-13 13:27:55,2020
254,True,active,2020-08-13 13:24:35+00:00,363,0,1,True,0,3,15,False,363,True,,,2020-08-13 13:27:55,2020
255,True,active,2020-08-13 13:09:29+00:00,364,0,0,True,0,14,5,False,364,True,,,2020-08-13 13:27:55,2020
256,True,active,2020-08-13 13:24:38+00:00,365,0,0,True,0,0,19,False,365,True,,,2020-08-13 13:27:55,2020
257,True,active,2020-08-13 12:57:26+00:00,366,0,0,True,0,13,2,False,366,True,,,2020-08-13 13:27:55,2020
258,True,active,2020-08-13 03:25:53+00:00,367,0,0,True,0,6,13,False,367,True,,,2020-08-13 13:27:55,2020
259,True,active,2020-08-13 12:27:45+00:00,368,0,1,True,0,3,11,False,368,True,,,2020-08-13 13:27:55,2020
260,True,active,2020-08-13 13:20:42+00:00,369,0,0,True,0,10,5,False,369,True,,,2020-08-13 13:27:55,2020
261,True,active,2020-08-13 13:24:53+00:00,370,0,0,True,0,1,18,False,370,True,,,2020-08-13 13:27:55,2020
262,True,active,2020-08-13 12:58:26+00:00,371,0,0,True,0,11,8,False,371,True,,,2020-08-13 13:27:55,2020
263,True,active,2020-08-13 13:03:03+00:00,372,0,0,True,0,14,5,False,372,True,,,2020-08-13 13:27:55,2020
264,True,active,2020-08-13 03:24:37+00:00,373,0,0,True,0,8,7,False,373,True,,,2020-08-13 13:27:55,2020
265,True,active,2020-08-13 12:11:57+00:00,374,0,1,True,0,13,5,False,374,True,,,2020-08-13 13:27:55,2020
266,True,active,2020-08-13 13:25:43+00:00,376,0,1,True,0,7,7,False,376,True,,,2020-08-13 13:27:55,2020
267,True,active,2020-08-13 13:27:16+00:00,377,0,0,True,0,10,9,False,377,True,,,2020-08-13 13:27:55,2020
268,True,active,2020-08-13 13:25:24+00:00,378,0,0,True,0,11,8,False,378,True,,,2020-08-13 13:27:55,2020
269,True,active,2020-08-13 12:54:19+00:00,379,0,0,True,0,8,7,False,379,True,,,2020-08-13 13:27:55,2020
270,True,active,2020-08-13 13:12:59+00:00,380,0,0,True,0,7,11,False,380,True,,,2020-08-13 13:27:55,2020
271,True,active,2020-08-13 13:15:50+00:00,381,0,1,True,0,6,12,False,381,True,,,2020-08-13 13:27:55,2020
272,True,active,2020-08-13 13:06:37+00:00,384,0,0,True,0,10,9,True,384,True,,,2020-08-13 13:27:55,2020
273,True,active,2020-08-13 12:37:59+00:00,385,0,0,True,1,0,14,False,385,True,,,2020-08-13 13:27:55,2020
274,True,active,2020-08-13 13:22:34+00:00,386,0,0,True,0,12,7,False,386,True,,,2020-08-13 13:27:55,2020
275,True,active,2020-08-13 13:09:44+00:00,387,0,1,True,0,1,13,False,387,True,,,2020-08-13 13:27:55,2020
276,True,active,2020-08-13 03:25:23+00:00,388,0,0,True,0,7,4,False,388,True,,,2020-08-13 13:27:55,2020
277,True,active,2020-08-13 03:25:04+00:00,389,0,0,True,0,1,13,False,389,True,,,2020-08-13 13:27:55,2020
278,True,active,2020-08-13 13:27:27+00:00,390,0,1,True,0,7,7,False,390,True,,,2020-08-13 13:27:55,2020
279,True,active,2020-08-13 11:55:44+00:00,391,0,0,True,0,2,13,False,391,True,,,2020-08-13 13:27:55,2020
280,True,active,2020-08-13 03:24:38+00:00,392,0,0,True,0,9,6,False,392,True,,,2020-08-13 13:27:55,2020
281,True,active,2020-08-13 10:33:53+00:00,393,0,1,True,0,9,5,False,393,True,,,2020-08-13 13:27:55,2020
282,True,active,2020-08-13 07:51:20+00:00,394,0,0,True,0,13,1,False,394,True,,,2020-08-13 13:27:55,2020
283,True,active,2020-08-13 10:40:17+00:00,395,0,0,True,0,3,12,False,395,True,,,2020-08-13 13:27:55,2020
284,True,active,2020-08-13 03:24:47+00:00,396,0,0,True,0,2,13,False,396,True,,,2020-08-13 13:27:55,2020
285,True,active,2020-08-13 10:29:09+00:00,397,0,0,True,0,8,7,False,397,True,,,2020-08-13 13:27:55,2020
286,True,active,2020-08-13 13:20:06+00:00,398,0,0,True,0,8,11,False,398,True,,,2020-08-13 13:27:55,2020
287,True,active,2020-08-13 12:41:51+00:00,399,0,0,True,0,11,4,False,399,True,,,2020-08-13 13:27:55,2020
288,True,active,2020-08-13 13:25:32+00:00,400,0,0,True,0,19,8,False,400,True,,,2020-08-13 13:27:55,2020
289,True,active,2020-08-13 13:08:42+00:00,401,0,0,True,0,13,2,False,401,True,,,2020-08-13 13:27:55,2020
290,True,active,2020-08-13 12:56:05+00:00,402,0,0,True,0,10,5,False,402,True,,,2020-08-13 13:27:55,2020
291,True,active,2020-08-13 13:23:17+00:00,403,0,1,True,0,11,3,False,403,True,,,2020-08-13 13:27:55,2020
292,True,active,2020-08-13 13:10:44+00:00,404,0,0,True,0,12,4,False,404,True,,,2020-08-13 13:27:55,2020
293,True,active,2020-08-13 12:59:48+00:00,405,0,0,True,0,9,10,False,405,True,,,2020-08-13 13:27:55,2020
