,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
96,True,16,0,2,1,2020-08-19 00:22:19+00:00,107,0,True,active,True,107,False,2020-08-19 00:41:25,2020
97,True,10,0,0,7,2020-08-18 23:33:25+00:00,108,0,True,active,True,108,False,2020-08-19 00:41:25,2020
98,True,31,0,2,2,2020-08-18 22:32:39+00:00,109,0,True,active,True,109,False,2020-08-19 00:41:25,2020
99,True,14,0,0,1,2020-08-19 00:24:08+00:00,110,0,True,active,True,110,False,2020-08-19 00:41:25,2020
100,True,13,0,0,2,2020-08-18 22:49:12+00:00,111,0,True,active,True,111,False,2020-08-19 00:41:25,2020
101,True,8,0,0,7,2020-08-19 00:39:38+00:00,112,0,True,active,True,112,False,2020-08-19 00:41:25,2020
102,True,10,0,1,4,2020-08-19 00:15:59+00:00,113,0,True,active,True,113,False,2020-08-19 00:41:25,2020
103,True,11,0,0,4,2020-08-19 00:38:35+00:00,114,0,True,active,True,114,False,2020-08-19 00:41:25,2020
104,True,3,0,0,16,2020-08-19 00:30:43+00:00,115,0,True,active,True,115,False,2020-08-19 00:41:25,2020
105,True,18,0,0,5,2020-08-19 00:35:08+00:00,116,0,True,active,True,116,False,2020-08-19 00:41:25,2020
106,True,14,0,1,4,2020-08-18 23:39:21+00:00,117,0,True,active,True,117,False,2020-08-19 00:41:25,2020
107,True,6,0,1,12,2020-08-19 00:39:40+00:00,118,0,True,active,True,118,False,2020-08-19 00:41:25,2020
108,True,9,0,1,5,2020-08-19 00:12:49+00:00,119,0,True,active,True,119,False,2020-08-19 00:41:25,2020
109,True,1,0,0,14,2020-08-19 00:40:42+00:00,120,0,True,active,True,120,False,2020-08-19 00:41:25,2020
110,True,13,0,2,2,2020-08-18 23:44:58+00:00,121,0,True,active,True,121,False,2020-08-19 00:41:25,2020
111,True,12,0,0,3,2020-08-19 00:33:38+00:00,122,0,True,active,True,122,False,2020-08-19 00:41:25,2020
112,True,14,0,0,1,2020-08-18 21:10:49+00:00,124,0,True,active,True,124,False,2020-08-19 00:41:25,2020
113,True,6,1,1,7,2020-08-19 00:21:25+00:00,125,0,True,active,True,125,False,2020-08-19 00:41:25,2020
114,True,2,0,1,12,2020-08-19 00:26:53+00:00,126,0,True,active,True,126,False,2020-08-19 00:41:25,2020
115,True,0,0,0,19,2020-08-18 22:48:31+00:00,128,0,True,active,True,128,False,2020-08-19 00:41:25,2020
116,True,5,0,0,14,2020-08-19 00:38:42+00:00,129,0,True,active,True,129,False,2020-08-19 00:41:25,2020
117,True,0,0,0,15,2020-08-18 23:40:12+00:00,130,0,True,active,True,130,False,2020-08-19 00:41:25,2020
118,True,6,0,0,12,2020-08-19 00:40:39+00:00,131,0,True,active,True,131,False,2020-08-19 00:41:25,2020
119,True,2,0,2,19,2020-08-18 23:32:09+00:00,133,0,True,active,True,133,False,2020-08-19 00:41:25,2020
120,True,14,0,0,3,2020-08-19 00:10:38+00:00,135,0,True,active,True,135,False,2020-08-19 00:41:25,2020
121,True,18,0,1,0,2020-08-18 23:02:05+00:00,136,0,True,active,True,136,False,2020-08-19 00:41:25,2020
122,True,2,0,0,13,2020-08-19 00:37:04+00:00,137,0,True,active,True,137,False,2020-08-19 00:41:25,2020
123,True,4,0,1,10,2020-08-19 00:09:47+00:00,138,0,True,active,True,138,False,2020-08-19 00:41:25,2020
124,True,9,0,0,10,2020-08-19 00:37:25+00:00,139,0,True,active,True,139,False,2020-08-19 00:41:25,2020
125,True,6,0,0,11,2020-08-19 00:31:34+00:00,140,0,True,active,True,140,False,2020-08-19 00:41:25,2020
126,True,10,0,0,5,2020-08-18 23:55:33+00:00,141,0,True,active,True,141,False,2020-08-19 00:41:25,2020
127,True,5,0,0,18,2020-08-19 00:28:15+00:00,142,0,True,active,True,142,False,2020-08-19 00:41:25,2020
128,True,14,0,2,7,2020-08-19 00:36:43+00:00,143,0,True,active,True,143,False,2020-08-19 00:41:25,2020
