,station_status,num_bikes_available,station_id,num_docks_available,is_installed,is_returning,legacy_id,is_renting,last_reported,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
204,active,11,239,3,True,True,239,True,2020-08-19 00:29:13+00:00,False,0,0,1,2020-08-19 00:31:05,2020
205,active,6,255,8,True,True,255,True,2020-08-18 22:20:19+00:00,False,0,0,1,2020-08-19 00:31:05,2020
206,active,8,258,7,True,True,258,True,2020-08-19 00:03:23+00:00,False,0,0,0,2020-08-19 00:31:05,2020
207,active,10,259,5,True,True,259,True,2020-08-18 17:28:18+00:00,False,0,0,0,2020-08-19 00:31:05,2020
208,active,5,260,10,True,True,260,True,2020-08-18 21:49:05+00:00,False,0,0,0,2020-08-19 00:31:05,2020
209,active,12,271,3,True,True,271,True,2020-08-18 23:11:53+00:00,False,0,0,0,2020-08-19 00:31:05,2020
210,active,12,272,7,True,True,272,True,2020-08-18 21:45:45+00:00,False,0,0,0,2020-08-19 00:31:05,2020
211,active,28,273,12,True,True,273,True,2020-08-19 00:16:57+00:00,False,0,0,0,2020-08-19 00:31:05,2020
212,active,17,279,2,True,True,279,True,2020-08-19 00:27:19+00:00,False,0,0,0,2020-08-19 00:31:05,2020
213,active,14,280,5,True,True,280,True,2020-08-18 22:54:33+00:00,False,0,0,0,2020-08-19 00:31:05,2020
214,active,12,282,3,True,True,282,True,2020-08-19 00:26:06+00:00,False,0,0,0,2020-08-19 00:31:05,2020
215,active,19,296,3,True,True,296,True,2020-08-19 00:19:26+00:00,False,0,0,1,2020-08-19 00:31:05,2020
216,active,0,318,19,True,True,318,True,2020-08-19 00:15:08+00:00,False,0,0,0,2020-08-19 00:31:05,2020
217,active,8,319,17,True,True,319,True,2020-08-19 00:11:27+00:00,False,0,0,0,2020-08-19 00:31:05,2020
218,active,1,327,14,True,True,327,True,2020-08-18 23:52:25+00:00,False,0,0,0,2020-08-19 00:31:05,2020
219,active,7,328,8,True,True,328,True,2020-08-19 00:30:28+00:00,False,0,0,0,2020-08-19 00:31:05,2020
220,active,11,329,3,True,True,329,True,2020-08-19 00:19:49+00:00,False,0,0,1,2020-08-19 00:31:05,2020
221,active,1,330,14,True,True,330,True,2020-08-18 23:25:25+00:00,False,0,0,0,2020-08-19 00:31:05,2020
222,active,2,331,13,True,True,331,True,2020-08-19 00:28:33+00:00,False,0,0,0,2020-08-19 00:31:05,2020
223,active,8,332,6,True,True,332,True,2020-08-19 00:29:00+00:00,False,0,0,1,2020-08-19 00:31:05,2020
224,active,23,333,2,True,True,333,True,2020-08-19 00:24:40+00:00,False,0,0,0,2020-08-19 00:31:05,2020
225,active,17,334,2,True,True,334,True,2020-08-19 00:22:58+00:00,False,0,0,0,2020-08-19 00:31:05,2020
226,active,0,335,19,True,True,335,True,2020-08-19 00:18:09+00:00,False,0,0,0,2020-08-19 00:31:05,2020
227,active,3,336,12,True,True,336,True,2020-08-18 21:08:08+00:00,False,0,0,0,2020-08-19 00:31:05,2020
228,active,13,337,2,True,True,337,True,2020-08-18 21:44:03+00:00,False,0,0,0,2020-08-19 00:31:05,2020
