,valet,is_installed,num_bikes_disabled,num_docks_available,is_renting,eightd_active_station_services,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
222,,True,2,13,True,,0,0,331,True,2020-08-01 22:45:38+00:00,active,331,0,False,2020-08-01 23:12:35,2020
223,,True,0,8,True,,0,7,332,True,2020-08-01 23:11:03+00:00,active,332,0,False,2020-08-01 23:12:35,2020
224,,True,0,0,True,,0,25,333,True,2020-08-01 21:38:07+00:00,active,333,0,False,2020-08-01 23:12:35,2020
225,,True,0,9,True,,0,10,334,True,2020-08-01 23:06:36+00:00,active,334,0,False,2020-08-01 23:12:35,2020
226,,True,0,15,True,,0,4,335,True,2020-08-01 23:09:28+00:00,active,335,0,False,2020-08-01 23:12:35,2020
227,,True,0,9,True,,0,6,336,True,2020-08-01 23:12:08+00:00,active,336,0,False,2020-08-01 23:12:35,2020
228,,True,1,3,True,,0,11,337,True,2020-08-01 22:38:36+00:00,active,337,0,False,2020-08-01 23:12:35,2020
229,,True,1,13,True,,0,1,338,True,2020-08-01 23:02:40+00:00,active,338,0,False,2020-08-01 23:12:35,2020
230,,True,1,4,True,,0,10,339,True,2020-08-01 21:00:15+00:00,active,339,0,False,2020-08-01 23:12:35,2020
231,,True,0,4,True,,0,15,340,True,2020-08-01 08:48:34+00:00,active,340,0,False,2020-08-01 23:12:35,2020
232,,True,0,12,True,,0,3,341,True,2020-08-01 18:24:19+00:00,active,341,0,True,2020-08-01 23:12:35,2020
233,,True,1,13,True,,0,1,342,True,2020-08-01 23:07:42+00:00,active,342,0,False,2020-08-01 23:12:35,2020
234,,True,1,9,True,,0,5,343,True,2020-08-01 14:41:49+00:00,active,343,0,False,2020-08-01 23:12:35,2020
235,,True,0,15,True,,0,4,344,True,2020-08-01 23:09:23+00:00,active,344,0,False,2020-08-01 23:12:35,2020
236,,True,0,13,True,,0,6,345,True,2020-08-01 22:40:08+00:00,active,345,0,False,2020-08-01 23:12:35,2020
237,,True,0,10,True,,0,5,346,True,2020-08-01 23:12:30+00:00,active,346,0,False,2020-08-01 23:12:35,2020
238,,True,0,13,True,,0,2,347,True,2020-08-01 15:10:14+00:00,active,347,0,False,2020-08-01 23:12:35,2020
239,,True,1,5,True,,0,9,348,True,2020-08-01 22:44:44+00:00,active,348,0,False,2020-08-01 23:12:35,2020
240,,True,0,6,True,,0,11,349,True,2020-08-01 20:24:15+00:00,active,349,0,True,2020-08-01 23:12:35,2020
241,,True,0,14,True,,0,3,350,True,2020-08-01 22:33:43+00:00,active,350,0,False,2020-08-01 23:12:35,2020
242,,True,2,11,True,,0,2,351,True,2020-08-01 22:49:52+00:00,active,351,0,False,2020-08-01 23:12:35,2020
243,,True,0,15,True,,0,0,352,True,2020-08-01 22:19:22+00:00,active,352,0,False,2020-08-01 23:12:35,2020
244,,True,0,6,True,,0,9,353,True,2020-08-01 18:12:11+00:00,active,353,0,True,2020-08-01 23:12:35,2020
245,,True,0,7,True,,0,8,354,True,2020-08-01 23:12:16+00:00,active,354,0,False,2020-08-01 23:12:35,2020
246,,True,0,13,True,,0,4,355,True,2020-08-01 23:09:56+00:00,active,355,0,False,2020-08-01 23:12:35,2020
247,,True,1,9,True,,0,13,356,True,2020-08-01 22:50:42+00:00,active,356,0,False,2020-08-01 23:12:35,2020
