,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
84,2,2020-08-01 04:40:38+00:00,True,95,1,active,0,0,95,True,True,False,12,,,2020-08-01 05:09:55,2020
85,5,2020-08-01 04:39:08+00:00,True,96,0,active,0,0,96,True,True,False,14,,,2020-08-01 05:09:55,2020
86,3,2020-08-01 04:38:09+00:00,True,97,1,active,0,0,97,True,True,False,15,,,2020-08-01 05:09:55,2020
87,9,2020-08-01 04:52:38+00:00,True,98,1,active,0,0,98,True,True,False,12,,,2020-08-01 05:09:55,2020
88,7,2020-08-01 04:11:25+00:00,True,99,1,active,0,0,99,True,True,False,7,,,2020-08-01 05:09:55,2020
89,4,2020-08-01 04:52:42+00:00,True,100,3,active,0,0,100,True,True,True,18,,,2020-08-01 05:09:55,2020
90,6,2020-08-01 02:44:49+00:00,True,101,0,active,0,0,101,True,True,False,9,,,2020-08-01 05:09:55,2020
91,9,2020-08-01 04:26:06+00:00,True,102,0,active,0,0,102,True,True,False,6,,,2020-08-01 05:09:55,2020
92,5,2020-08-01 05:03:51+00:00,True,103,1,active,0,0,103,True,True,False,9,,,2020-08-01 05:09:55,2020
93,18,2020-08-01 04:06:44+00:00,True,104,0,active,0,0,104,True,True,False,1,,,2020-08-01 05:09:55,2020
94,18,2020-08-01 05:07:41+00:00,True,105,0,active,0,0,105,True,True,False,1,,,2020-08-01 05:09:55,2020
95,5,2020-08-01 00:37:19+00:00,True,106,1,active,0,0,106,True,True,False,9,,,2020-08-01 05:09:55,2020
96,0,2020-08-01 04:26:03+00:00,True,107,0,active,0,0,107,True,True,False,19,,,2020-08-01 05:09:55,2020
97,15,2020-08-01 04:51:27+00:00,True,108,0,active,0,0,108,True,True,False,2,,,2020-08-01 05:09:55,2020
98,26,2020-08-01 03:06:08+00:00,True,109,2,active,0,0,109,True,True,False,7,,,2020-08-01 05:09:55,2020
99,8,2020-08-01 04:11:41+00:00,True,110,1,active,0,0,110,True,True,False,6,,,2020-08-01 05:09:55,2020
100,0,2020-08-01 04:30:07+00:00,True,111,0,active,0,0,111,True,True,False,15,,,2020-08-01 05:09:55,2020
101,4,2020-08-01 05:02:46+00:00,True,112,0,active,0,0,112,True,True,False,11,,,2020-08-01 05:09:55,2020
102,14,2020-08-01 05:00:58+00:00,True,113,1,active,0,0,113,True,True,False,0,,,2020-08-01 05:09:55,2020
103,0,2020-08-01 02:18:23+00:00,True,114,0,active,0,0,114,True,True,False,15,,,2020-08-01 05:09:55,2020
104,12,2020-08-01 04:22:00+00:00,True,115,1,active,0,0,115,True,True,False,6,,,2020-08-01 05:09:55,2020
105,18,2020-08-01 04:46:28+00:00,True,116,0,active,0,0,116,True,True,False,5,,,2020-08-01 05:09:55,2020
106,5,2020-08-01 03:25:45+00:00,True,117,1,active,0,0,117,True,True,False,13,,,2020-08-01 05:09:55,2020
107,16,2020-08-01 03:09:32+00:00,True,118,1,active,0,0,118,True,True,False,2,,,2020-08-01 05:09:55,2020
108,13,2020-08-01 05:08:31+00:00,True,119,1,active,0,0,119,True,True,False,1,,,2020-08-01 05:09:55,2020
109,10,2020-08-01 03:20:59+00:00,True,120,2,active,0,0,120,True,True,False,3,,,2020-08-01 05:09:55,2020
110,11,2020-08-01 05:01:26+00:00,True,121,0,active,0,0,121,True,True,False,6,,,2020-08-01 05:09:55,2020
111,14,2020-08-01 01:54:32+00:00,True,122,0,active,0,0,122,True,True,False,1,,,2020-08-01 05:09:55,2020
112,5,2020-08-01 01:51:02+00:00,True,124,0,active,0,0,124,True,True,False,10,,,2020-08-01 05:09:55,2020
113,7,2020-08-01 03:24:11+00:00,True,125,0,active,0,0,125,True,True,False,8,,,2020-08-01 05:09:55,2020
114,10,2020-08-01 05:09:18+00:00,True,126,0,active,0,0,126,True,True,False,5,,,2020-08-01 05:09:55,2020
115,19,2020-08-01 04:57:27+00:00,True,128,0,active,0,0,128,True,True,False,0,,,2020-08-01 05:09:55,2020
116,11,2020-08-01 03:35:40+00:00,True,129,0,active,0,0,129,True,True,False,8,,,2020-08-01 05:09:55,2020
117,13,2020-08-01 01:36:43+00:00,True,130,0,active,0,0,130,True,True,False,2,,,2020-08-01 05:09:55,2020
118,9,2020-08-01 05:03:47+00:00,True,131,4,active,0,0,131,True,True,False,5,,,2020-08-01 05:09:55,2020
119,14,2020-08-01 04:07:48+00:00,True,133,1,active,0,0,133,True,True,False,8,,,2020-08-01 05:09:55,2020
120,3,2020-07-31 23:18:05+00:00,True,135,0,active,0,0,135,True,True,False,14,,,2020-08-01 05:09:55,2020
121,16,2020-08-01 03:59:27+00:00,True,136,0,active,0,0,136,True,True,False,3,,,2020-08-01 05:09:55,2020
122,3,2020-08-01 02:32:22+00:00,True,137,0,active,0,0,137,True,True,False,12,,,2020-08-01 05:09:55,2020
123,10,2020-08-01 03:43:22+00:00,True,138,0,active,0,0,138,True,True,False,5,,,2020-08-01 05:09:55,2020
124,18,2020-08-01 04:54:15+00:00,True,139,0,active,0,0,139,True,True,False,1,,,2020-08-01 05:09:55,2020
125,4,2020-08-01 04:33:52+00:00,True,140,2,active,0,0,140,True,True,False,11,,,2020-08-01 05:09:55,2020
126,1,2020-08-01 03:59:43+00:00,True,141,0,active,0,0,141,True,True,False,14,,,2020-08-01 05:09:55,2020
127,16,2020-08-01 02:16:40+00:00,True,142,0,active,0,0,142,True,True,False,7,,,2020-08-01 05:09:55,2020
128,13,2020-08-01 04:23:25+00:00,True,143,1,active,0,0,143,True,True,False,9,,,2020-08-01 05:09:55,2020
129,1,2020-08-01 01:01:13+00:00,True,144,0,active,0,0,144,True,True,False,18,,,2020-08-01 05:09:55,2020
130,15,2020-08-01 04:31:58+00:00,True,145,0,active,0,0,145,True,True,False,4,,,2020-08-01 05:09:55,2020
131,18,2020-08-01 03:28:28+00:00,True,146,1,active,0,0,146,True,True,False,0,,,2020-08-01 05:09:55,2020
132,5,2020-08-01 04:49:51+00:00,True,149,0,active,0,0,149,True,True,True,13,,,2020-08-01 05:09:55,2020
133,14,2020-08-01 03:28:03+00:00,True,150,1,active,0,0,150,True,True,False,4,,,2020-08-01 05:09:55,2020
134,3,2020-08-01 05:06:25+00:00,True,151,3,active,0,0,151,True,True,False,13,,,2020-08-01 05:09:55,2020
135,10,2020-08-01 03:31:54+00:00,True,152,0,active,0,0,152,True,True,True,5,,,2020-08-01 05:09:55,2020
136,2,2020-08-01 04:07:22+00:00,True,156,0,active,0,0,156,True,True,False,13,,,2020-08-01 05:09:55,2020
137,2,2020-08-01 04:58:00+00:00,True,157,1,active,0,0,157,True,True,False,12,,,2020-08-01 05:09:55,2020
138,6,2020-08-01 02:03:02+00:00,True,159,1,active,0,0,159,True,True,False,8,,,2020-08-01 05:09:55,2020
