,legacy_id,num_bikes_available,num_bikes_disabled,is_returning,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_id,station_status,num_ebikes_available,last_reported,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
164,190,7,1,True,0,True,True,True,190,active,0,2020-08-20 21:49:22+00:00,29,,,2020-08-20 21:51:25,2020
165,191,2,0,True,0,True,True,False,191,active,0,2020-08-20 21:25:06+00:00,13,,,2020-08-20 21:51:25,2020
166,192,11,0,True,0,True,True,False,192,active,0,2020-08-20 21:50:17+00:00,8,,,2020-08-20 21:51:25,2020
167,193,1,0,True,0,True,True,True,193,active,0,2020-08-20 21:47:00+00:00,14,,,2020-08-20 21:51:25,2020
168,194,2,0,True,0,True,True,False,194,active,0,2020-08-20 20:58:03+00:00,17,,,2020-08-20 21:51:25,2020
169,195,1,0,True,0,True,True,False,195,active,0,2020-08-20 21:44:52+00:00,22,,,2020-08-20 21:51:25,2020
170,196,2,0,True,0,True,True,False,196,active,0,2020-08-20 21:12:36+00:00,8,,,2020-08-20 21:51:25,2020
171,197,7,1,True,0,True,True,False,197,active,0,2020-08-20 20:10:46+00:00,7,,,2020-08-20 21:51:25,2020
172,199,8,0,True,0,True,True,False,199,active,0,2020-08-20 14:19:54+00:00,7,,,2020-08-20 21:51:25,2020
173,200,18,0,True,0,True,True,False,200,active,0,2020-08-20 21:46:26+00:00,1,,,2020-08-20 21:51:25,2020
174,201,4,0,True,0,True,True,False,201,active,0,2020-08-20 12:47:08+00:00,11,,,2020-08-20 21:51:25,2020
175,202,4,0,True,0,True,True,False,202,active,0,2020-08-20 21:21:01+00:00,11,,,2020-08-20 21:51:25,2020
176,203,6,0,True,0,True,True,False,203,active,0,2020-08-20 16:40:31+00:00,9,,,2020-08-20 21:51:25,2020
177,204,3,0,True,0,True,True,False,204,active,0,2020-08-20 20:01:48+00:00,12,,,2020-08-20 21:51:25,2020
178,205,1,0,True,0,True,True,False,205,active,0,2020-08-20 21:23:01+00:00,14,,,2020-08-20 21:51:25,2020
179,206,0,0,True,0,True,True,True,206,active,0,2020-08-20 21:44:28+00:00,23,,,2020-08-20 21:51:25,2020
180,208,10,1,True,0,True,True,True,208,active,0,2020-08-20 21:37:02+00:00,4,,,2020-08-20 21:51:25,2020
181,209,11,1,True,0,True,True,False,209,active,0,2020-08-20 21:02:05+00:00,3,,,2020-08-20 21:51:25,2020
182,210,0,1,True,0,True,True,False,210,active,0,2020-08-20 18:49:02+00:00,14,,,2020-08-20 21:51:25,2020
183,211,8,0,True,0,True,True,False,211,active,0,2020-08-20 21:04:16+00:00,11,,,2020-08-20 21:51:25,2020
184,212,7,0,True,0,True,True,False,212,active,0,2020-08-20 21:39:23+00:00,26,,,2020-08-20 21:51:25,2020
185,213,2,0,True,0,True,True,True,213,active,0,2020-08-20 20:44:31+00:00,14,,,2020-08-20 21:51:25,2020
186,214,6,0,True,0,True,True,False,214,active,0,2020-08-20 20:40:49+00:00,9,,,2020-08-20 21:51:25,2020
187,215,7,4,True,0,True,True,False,215,active,0,2020-08-20 20:28:11+00:00,4,,,2020-08-20 21:51:25,2020
188,216,11,0,True,0,True,True,False,216,active,0,2020-08-20 21:35:16+00:00,8,,,2020-08-20 21:51:25,2020
189,217,4,0,True,0,True,True,False,217,active,0,2020-08-20 20:20:23+00:00,15,,,2020-08-20 21:51:25,2020
190,218,14,0,True,0,True,True,False,218,active,0,2020-08-20 21:44:57+00:00,1,,,2020-08-20 21:51:25,2020
191,219,5,0,True,0,True,True,False,219,active,0,2020-08-20 21:16:00+00:00,10,,,2020-08-20 21:51:25,2020
192,221,10,2,True,0,True,True,False,221,active,0,2020-08-20 21:47:43+00:00,7,,,2020-08-20 21:51:25,2020
193,222,3,0,True,0,True,True,True,222,active,0,2020-08-20 21:25:11+00:00,11,,,2020-08-20 21:51:25,2020
194,224,13,2,True,0,True,True,False,224,active,0,2020-08-20 20:53:04+00:00,2,,,2020-08-20 21:51:25,2020
195,225,0,2,True,0,True,True,False,225,active,0,2020-08-20 21:50:19+00:00,17,,,2020-08-20 21:51:25,2020
196,226,2,0,True,0,True,True,False,226,active,0,2020-08-20 21:43:53+00:00,13,,,2020-08-20 21:51:25,2020
197,227,9,0,True,0,True,True,False,227,active,0,2020-08-20 21:44:48+00:00,10,,,2020-08-20 21:51:25,2020
198,228,8,0,True,0,True,True,False,228,active,0,2020-08-20 20:36:05+00:00,11,,,2020-08-20 21:51:25,2020
199,232,1,0,True,0,True,True,False,232,active,0,2020-08-20 20:38:13+00:00,10,,,2020-08-20 21:51:25,2020
200,233,11,0,True,0,True,True,False,233,active,0,2020-08-20 21:51:00+00:00,4,,,2020-08-20 21:51:25,2020
201,234,7,0,True,0,True,True,False,234,active,0,2020-08-20 21:22:06+00:00,8,,,2020-08-20 21:51:25,2020
202,235,7,0,True,0,True,True,False,235,active,0,2020-08-20 21:42:43+00:00,8,,,2020-08-20 21:51:25,2020
203,236,9,0,True,0,True,True,False,236,active,0,2020-08-20 21:25:33+00:00,6,,,2020-08-20 21:51:25,2020
204,239,2,3,True,0,True,True,False,239,active,0,2020-08-20 21:48:18+00:00,10,,,2020-08-20 21:51:25,2020
205,255,6,0,True,0,True,True,False,255,active,0,2020-08-19 14:52:54+00:00,9,,,2020-08-20 21:51:25,2020
206,258,11,0,True,0,True,True,False,258,active,0,2020-08-20 17:37:25+00:00,4,,,2020-08-20 21:51:25,2020
207,259,9,0,True,0,True,True,False,259,active,0,2020-08-20 08:49:49+00:00,6,,,2020-08-20 21:51:25,2020
208,260,5,0,True,0,True,True,False,260,active,0,2020-08-20 21:42:06+00:00,10,,,2020-08-20 21:51:25,2020
209,271,9,0,True,0,True,True,False,271,active,0,2020-08-20 17:32:17+00:00,6,,,2020-08-20 21:51:25,2020
210,272,10,0,True,0,True,True,False,272,active,0,2020-08-20 20:51:04+00:00,9,,,2020-08-20 21:51:25,2020
211,273,31,0,True,0,True,True,False,273,active,0,2020-08-20 21:51:16+00:00,9,,,2020-08-20 21:51:25,2020
212,279,18,0,True,0,True,True,False,279,active,0,2020-08-20 21:28:09+00:00,1,,,2020-08-20 21:51:25,2020
213,280,13,0,True,0,True,True,False,280,active,0,2020-08-20 21:48:33+00:00,6,,,2020-08-20 21:51:25,2020
214,282,10,0,True,0,True,True,False,282,active,0,2020-08-20 21:50:59+00:00,5,,,2020-08-20 21:51:25,2020
215,296,8,1,True,0,True,True,False,296,active,0,2020-08-20 21:43:28+00:00,14,,,2020-08-20 21:51:25,2020
