,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_renting,last_reported,num_docks_available,eightd_has_available_keys,is_returning,legacy_id,station_id,is_installed,num_ebikes_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
128,7,0,0,True,2020-08-20 21:40:12+00:00,16,False,True,143,143,True,0,active,,,2020-08-20 21:41:15,2020
129,17,0,0,True,2020-08-20 21:35:30+00:00,2,False,True,144,144,True,0,active,,,2020-08-20 21:41:15,2020
130,14,0,0,True,2020-08-20 21:33:28+00:00,5,False,True,145,145,True,0,active,,,2020-08-20 21:41:15,2020
131,7,1,0,True,2020-08-20 21:41:05+00:00,11,False,True,146,146,True,0,active,,,2020-08-20 21:41:15,2020
132,7,2,0,True,2020-08-20 21:38:35+00:00,9,True,True,149,149,True,0,active,,,2020-08-20 21:41:15,2020
133,8,0,0,True,2020-08-20 21:08:10+00:00,11,False,True,150,150,True,0,active,,,2020-08-20 21:41:15,2020
134,0,0,0,True,2020-08-20 21:24:09+00:00,19,False,True,151,151,True,0,active,,,2020-08-20 21:41:15,2020
135,15,0,0,True,2020-08-20 21:27:46+00:00,0,True,True,152,152,True,0,active,,,2020-08-20 21:41:15,2020
136,8,1,0,True,2020-08-20 21:14:01+00:00,6,False,True,156,156,True,0,active,,,2020-08-20 21:41:15,2020
137,2,0,0,True,2020-08-20 21:34:10+00:00,13,False,True,157,157,True,0,active,,,2020-08-20 21:41:15,2020
138,1,0,0,True,2020-08-20 21:26:59+00:00,14,False,True,159,159,True,0,active,,,2020-08-20 21:41:15,2020
139,10,0,0,True,2020-08-20 21:35:51+00:00,4,True,True,160,160,True,0,active,,,2020-08-20 21:41:15,2020
140,9,0,0,True,2020-08-20 21:40:06+00:00,14,True,True,161,161,True,0,active,,,2020-08-20 21:41:15,2020
141,6,0,0,True,2020-08-20 19:32:17+00:00,9,False,True,162,162,True,0,active,,,2020-08-20 21:41:15,2020
142,14,0,0,True,2020-08-20 21:16:22+00:00,5,True,True,163,163,True,0,active,,,2020-08-20 21:41:15,2020
143,7,0,0,True,2020-08-20 21:37:28+00:00,8,False,True,167,167,True,0,active,,,2020-08-20 21:41:15,2020
144,5,0,0,True,2020-08-20 21:28:26+00:00,14,False,True,169,169,True,0,active,,,2020-08-20 21:41:15,2020
145,8,0,0,True,2020-08-20 18:42:46+00:00,6,True,True,170,170,True,0,active,,,2020-08-20 21:41:15,2020
146,10,0,0,True,2020-08-20 20:46:23+00:00,13,True,True,171,171,True,0,active,,,2020-08-20 21:41:15,2020
147,6,0,0,True,2020-08-20 18:33:25+00:00,8,True,True,173,173,True,0,active,,,2020-08-20 21:41:15,2020
148,5,0,0,True,2020-08-20 21:15:46+00:00,10,False,True,174,174,True,0,active,,,2020-08-20 21:41:15,2020
149,5,2,0,True,2020-08-20 21:39:51+00:00,10,True,True,175,175,True,0,active,,,2020-08-20 21:41:15,2020
150,9,0,0,True,2020-08-20 21:07:51+00:00,6,False,True,176,176,True,0,active,,,2020-08-20 21:41:15,2020
151,12,1,0,True,2020-08-20 21:39:25+00:00,6,False,True,177,177,True,0,active,,,2020-08-20 21:41:15,2020
152,6,0,0,True,2020-08-20 21:40:47+00:00,13,False,True,178,178,True,0,active,,,2020-08-20 21:41:15,2020
153,7,1,0,True,2020-08-20 21:40:32+00:00,17,False,True,179,179,True,0,active,,,2020-08-20 21:41:15,2020
154,16,0,0,True,2020-08-20 21:09:02+00:00,3,False,True,180,180,True,0,active,,,2020-08-20 21:41:15,2020
155,4,0,0,True,2020-08-20 21:28:08+00:00,15,False,True,181,181,True,0,active,,,2020-08-20 21:41:15,2020
156,5,0,0,True,2020-08-20 21:24:54+00:00,14,True,True,182,182,True,0,active,,,2020-08-20 21:41:15,2020
157,7,0,0,True,2020-08-20 21:31:57+00:00,12,False,True,183,183,True,0,active,,,2020-08-20 21:41:15,2020
158,1,0,0,True,2020-08-20 21:36:51+00:00,18,False,True,184,184,True,0,active,,,2020-08-20 21:41:15,2020
159,1,1,0,True,2020-08-20 21:05:15+00:00,13,False,True,185,185,True,0,active,,,2020-08-20 21:41:15,2020
160,8,0,0,True,2020-08-20 21:40:02+00:00,7,True,True,186,186,True,0,active,,,2020-08-20 21:41:15,2020
161,0,0,0,True,2020-08-20 20:35:53+00:00,15,False,True,187,187,True,0,active,,,2020-08-20 21:41:15,2020
162,11,0,0,True,2020-08-20 21:24:38+00:00,4,False,True,188,188,True,0,active,,,2020-08-20 21:41:15,2020
163,4,0,0,True,2020-08-20 21:41:03+00:00,19,True,True,189,189,True,0,active,,,2020-08-20 21:41:15,2020
164,6,1,0,True,2020-08-20 21:37:07+00:00,30,True,True,190,190,True,0,active,,,2020-08-20 21:41:15,2020
165,2,0,0,True,2020-08-20 21:25:06+00:00,13,False,True,191,191,True,0,active,,,2020-08-20 21:41:15,2020
166,12,0,0,True,2020-08-20 20:47:32+00:00,7,False,True,192,192,True,0,active,,,2020-08-20 21:41:15,2020
167,0,0,0,True,2020-08-20 21:33:32+00:00,15,True,True,193,193,True,0,active,,,2020-08-20 21:41:15,2020
168,2,0,0,True,2020-08-20 20:58:03+00:00,17,False,True,194,194,True,0,active,,,2020-08-20 21:41:15,2020
169,1,0,0,True,2020-08-20 21:36:50+00:00,22,False,True,195,195,True,0,active,,,2020-08-20 21:41:15,2020
170,2,0,0,True,2020-08-20 21:12:36+00:00,8,False,True,196,196,True,0,active,,,2020-08-20 21:41:15,2020
171,7,1,0,True,2020-08-20 20:10:46+00:00,7,False,True,197,197,True,0,active,,,2020-08-20 21:41:15,2020
172,8,0,0,True,2020-08-20 14:19:54+00:00,7,False,True,199,199,True,0,active,,,2020-08-20 21:41:15,2020
173,15,0,0,True,2020-08-20 21:24:46+00:00,4,False,True,200,200,True,0,active,,,2020-08-20 21:41:15,2020
174,4,0,0,True,2020-08-20 12:47:08+00:00,11,False,True,201,201,True,0,active,,,2020-08-20 21:41:15,2020
175,4,0,0,True,2020-08-20 21:21:01+00:00,11,False,True,202,202,True,0,active,,,2020-08-20 21:41:15,2020
176,6,0,0,True,2020-08-20 16:40:31+00:00,9,False,True,203,203,True,0,active,,,2020-08-20 21:41:15,2020
177,3,0,0,True,2020-08-20 20:01:48+00:00,12,False,True,204,204,True,0,active,,,2020-08-20 21:41:15,2020
178,1,0,0,True,2020-08-20 21:23:01+00:00,14,False,True,205,205,True,0,active,,,2020-08-20 21:41:15,2020
179,0,0,0,True,2020-08-20 21:28:15+00:00,23,True,True,206,206,True,0,active,,,2020-08-20 21:41:15,2020
180,10,1,0,True,2020-08-20 21:37:02+00:00,4,True,True,208,208,True,0,active,,,2020-08-20 21:41:15,2020
181,11,1,0,True,2020-08-20 21:02:05+00:00,3,False,True,209,209,True,0,active,,,2020-08-20 21:41:15,2020
182,0,1,0,True,2020-08-20 18:49:02+00:00,14,False,True,210,210,True,0,active,,,2020-08-20 21:41:15,2020
183,8,0,0,True,2020-08-20 21:04:16+00:00,11,False,True,211,211,True,0,active,,,2020-08-20 21:41:15,2020
184,7,0,0,True,2020-08-20 21:39:23+00:00,26,False,True,212,212,True,0,active,,,2020-08-20 21:41:15,2020
185,2,0,0,True,2020-08-20 20:44:31+00:00,14,True,True,213,213,True,0,active,,,2020-08-20 21:41:15,2020
186,6,0,0,True,2020-08-20 20:40:49+00:00,9,False,True,214,214,True,0,active,,,2020-08-20 21:41:15,2020
187,7,4,0,True,2020-08-20 20:28:11+00:00,4,False,True,215,215,True,0,active,,,2020-08-20 21:41:15,2020
188,11,0,0,True,2020-08-20 21:35:16+00:00,8,False,True,216,216,True,0,active,,,2020-08-20 21:41:15,2020
189,4,0,0,True,2020-08-20 20:20:23+00:00,15,False,True,217,217,True,0,active,,,2020-08-20 21:41:15,2020
190,12,0,0,True,2020-08-20 21:39:59+00:00,3,False,True,218,218,True,0,active,,,2020-08-20 21:41:15,2020
191,5,0,0,True,2020-08-20 21:16:00+00:00,10,False,True,219,219,True,0,active,,,2020-08-20 21:41:15,2020
192,9,2,0,True,2020-08-20 21:35:22+00:00,8,False,True,221,221,True,0,active,,,2020-08-20 21:41:15,2020
193,3,0,0,True,2020-08-20 21:25:11+00:00,11,True,True,222,222,True,0,active,,,2020-08-20 21:41:15,2020
194,13,2,0,True,2020-08-20 20:53:04+00:00,2,False,True,224,224,True,0,active,,,2020-08-20 21:41:15,2020
195,4,2,0,True,2020-08-20 21:36:56+00:00,13,False,True,225,225,True,0,active,,,2020-08-20 21:41:15,2020
196,4,0,0,True,2020-08-20 21:40:55+00:00,11,False,True,226,226,True,0,active,,,2020-08-20 21:41:15,2020
197,10,0,0,True,2020-08-20 21:36:14+00:00,9,False,True,227,227,True,0,active,,,2020-08-20 21:41:15,2020
198,8,0,0,True,2020-08-20 20:36:05+00:00,11,False,True,228,228,True,0,active,,,2020-08-20 21:41:15,2020
199,1,0,0,True,2020-08-20 20:38:13+00:00,10,False,True,232,232,True,0,active,,,2020-08-20 21:41:15,2020
200,11,0,0,True,2020-08-20 21:25:45+00:00,4,False,True,233,233,True,0,active,,,2020-08-20 21:41:15,2020
201,7,0,0,True,2020-08-20 21:22:06+00:00,8,False,True,234,234,True,0,active,,,2020-08-20 21:41:15,2020
202,8,0,0,True,2020-08-20 21:16:45+00:00,7,False,True,235,235,True,0,active,,,2020-08-20 21:41:15,2020
203,9,0,0,True,2020-08-20 21:25:33+00:00,6,False,True,236,236,True,0,active,,,2020-08-20 21:41:15,2020
204,2,3,0,True,2020-08-20 21:35:22+00:00,10,False,True,239,239,True,0,active,,,2020-08-20 21:41:15,2020
205,6,0,0,True,2020-08-19 14:52:54+00:00,9,False,True,255,255,True,0,active,,,2020-08-20 21:41:15,2020
206,11,0,0,True,2020-08-20 17:37:25+00:00,4,False,True,258,258,True,0,active,,,2020-08-20 21:41:15,2020
207,9,0,0,True,2020-08-20 08:49:49+00:00,6,False,True,259,259,True,0,active,,,2020-08-20 21:41:15,2020
208,6,0,0,True,2020-08-20 21:24:13+00:00,9,False,True,260,260,True,0,active,,,2020-08-20 21:41:15,2020
209,9,0,0,True,2020-08-20 17:32:17+00:00,6,False,True,271,271,True,0,active,,,2020-08-20 21:41:15,2020
210,10,0,0,True,2020-08-20 20:51:04+00:00,9,False,True,272,272,True,0,active,,,2020-08-20 21:41:15,2020
211,30,0,0,True,2020-08-20 21:40:14+00:00,10,False,True,273,273,True,0,active,,,2020-08-20 21:41:15,2020
212,18,0,0,True,2020-08-20 21:28:09+00:00,1,False,True,279,279,True,0,active,,,2020-08-20 21:41:15,2020
213,14,0,0,True,2020-08-20 21:16:30+00:00,5,False,True,280,280,True,0,active,,,2020-08-20 21:41:15,2020
214,10,0,0,True,2020-08-20 21:32:00+00:00,5,False,True,282,282,True,0,active,,,2020-08-20 21:41:15,2020
215,7,1,0,True,2020-08-20 21:34:41+00:00,15,False,True,296,296,True,0,active,,,2020-08-20 21:41:15,2020
