,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
171,True,2020-08-05 00:04:23+00:00,active,True,197,0,14,False,197,True,0,1,0,2020-08-05 00:21:10,2020
172,True,2020-08-04 22:49:17+00:00,active,True,199,0,1,False,199,True,0,14,0,2020-08-05 00:21:10,2020
173,True,2020-08-05 00:14:30+00:00,active,True,200,1,1,False,200,True,0,17,0,2020-08-05 00:21:10,2020
174,True,2020-08-04 12:17:44+00:00,active,True,201,0,15,False,201,True,0,0,0,2020-08-05 00:21:10,2020
175,True,2020-08-04 18:10:32+00:00,active,True,202,1,14,False,202,True,0,0,0,2020-08-05 00:21:10,2020
176,True,2020-08-04 08:21:44+00:00,active,True,203,0,9,False,203,True,0,6,0,2020-08-05 00:21:10,2020
177,True,2020-08-04 22:48:50+00:00,active,True,204,1,12,False,204,True,0,2,0,2020-08-05 00:21:10,2020
178,True,2020-08-04 19:24:51+00:00,active,True,205,0,7,False,205,True,0,8,0,2020-08-05 00:21:10,2020
179,True,2020-08-05 00:20:48+00:00,active,True,206,0,14,False,206,True,0,9,0,2020-08-05 00:21:10,2020
180,True,2020-08-04 23:13:42+00:00,active,True,208,0,5,True,208,True,0,10,0,2020-08-05 00:21:10,2020
181,True,2020-08-04 23:49:19+00:00,active,True,209,0,7,False,209,True,0,8,0,2020-08-05 00:21:10,2020
182,True,2020-08-04 18:57:17+00:00,active,True,210,1,13,False,210,True,0,1,0,2020-08-05 00:21:10,2020
183,True,2020-08-04 22:50:48+00:00,active,True,211,0,2,False,211,True,0,17,0,2020-08-05 00:21:10,2020
184,True,2020-08-05 00:16:55+00:00,active,True,212,0,13,False,212,True,0,20,0,2020-08-05 00:21:10,2020
185,True,2020-08-05 00:10:02+00:00,active,True,213,0,11,True,213,True,0,5,0,2020-08-05 00:21:10,2020
186,True,2020-08-04 23:30:07+00:00,active,True,214,0,9,False,214,True,0,6,0,2020-08-05 00:21:10,2020
187,True,2020-08-04 19:07:32+00:00,active,True,215,0,0,False,215,True,0,15,0,2020-08-05 00:21:10,2020
188,True,2020-08-04 18:10:19+00:00,active,True,216,0,7,False,216,True,0,12,0,2020-08-05 00:21:10,2020
189,True,2020-08-05 00:16:43+00:00,active,True,217,1,1,False,217,True,0,17,0,2020-08-05 00:21:10,2020
190,True,2020-08-05 00:06:49+00:00,active,True,218,1,8,False,218,True,0,6,0,2020-08-05 00:21:10,2020
191,True,2020-08-05 00:12:56+00:00,active,True,219,0,5,False,219,True,0,10,0,2020-08-05 00:21:10,2020
192,True,2020-08-05 00:05:30+00:00,active,True,221,0,12,False,221,True,0,7,0,2020-08-05 00:21:10,2020
193,True,2020-08-04 23:12:55+00:00,active,True,222,0,5,True,222,True,0,9,0,2020-08-05 00:21:10,2020
194,True,2020-08-04 20:31:14+00:00,active,True,224,0,11,False,224,True,0,6,0,2020-08-05 00:21:10,2020
195,True,2020-08-05 00:14:43+00:00,active,True,225,0,16,False,225,True,0,3,0,2020-08-05 00:21:10,2020
196,True,2020-08-05 00:08:26+00:00,active,True,226,1,4,False,226,True,0,10,0,2020-08-05 00:21:10,2020
197,True,2020-08-05 00:20:29+00:00,active,True,227,0,13,False,227,True,0,6,0,2020-08-05 00:21:10,2020
198,True,2020-08-04 23:48:28+00:00,active,True,228,1,6,False,228,True,0,12,0,2020-08-05 00:21:10,2020
199,True,2020-08-04 18:35:54+00:00,active,True,232,0,9,False,232,True,0,2,0,2020-08-05 00:21:10,2020
200,True,2020-08-05 00:11:23+00:00,active,True,233,0,10,False,233,True,0,5,0,2020-08-05 00:21:10,2020
201,True,2020-08-04 23:50:55+00:00,active,True,234,0,11,False,234,True,0,4,0,2020-08-05 00:21:10,2020
202,True,2020-08-04 21:47:50+00:00,active,True,235,1,10,False,235,True,0,4,0,2020-08-05 00:21:10,2020
203,True,2020-08-05 00:14:33+00:00,active,True,236,0,5,False,236,True,0,10,0,2020-08-05 00:21:10,2020
204,True,2020-08-05 00:10:33+00:00,active,True,239,0,3,False,239,True,0,12,0,2020-08-05 00:21:10,2020
205,True,2020-08-04 22:15:33+00:00,active,True,255,0,3,False,255,True,0,12,0,2020-08-05 00:21:10,2020
206,True,2020-08-04 19:25:29+00:00,active,True,258,0,0,False,258,True,0,15,0,2020-08-05 00:21:10,2020
207,True,2020-08-04 09:01:37+00:00,active,True,259,0,15,False,259,True,0,0,0,2020-08-05 00:21:10,2020
208,True,2020-08-04 20:42:30+00:00,active,True,260,0,13,False,260,True,0,2,0,2020-08-05 00:21:10,2020
209,True,2020-08-04 20:37:38+00:00,active,True,271,0,9,False,271,True,0,6,0,2020-08-05 00:21:10,2020
210,True,2020-08-04 20:21:43+00:00,active,True,272,0,14,False,272,True,0,5,0,2020-08-05 00:21:10,2020
211,True,2020-08-04 23:58:28+00:00,active,True,273,1,15,False,273,True,0,24,0,2020-08-05 00:21:10,2020
212,True,2020-08-04 23:25:53+00:00,active,True,279,0,14,False,279,True,0,5,0,2020-08-05 00:21:10,2020
213,True,2020-08-04 22:44:06+00:00,active,True,280,0,9,False,280,True,0,10,0,2020-08-05 00:21:10,2020
214,True,2020-08-04 23:46:50+00:00,active,True,282,0,0,False,282,True,0,15,0,2020-08-05 00:21:10,2020
215,True,2020-08-05 00:07:23+00:00,active,True,296,1,16,False,296,True,0,6,0,2020-08-05 00:21:10,2020
216,True,2020-08-05 00:08:56+00:00,active,True,318,0,10,False,318,True,0,9,0,2020-08-05 00:21:10,2020
217,True,2020-08-05 00:07:53+00:00,active,True,319,0,11,False,319,True,0,14,0,2020-08-05 00:21:10,2020
218,True,2020-08-04 21:18:00+00:00,active,True,327,0,7,False,327,True,0,8,0,2020-08-05 00:21:10,2020
219,True,2020-08-04 23:29:33+00:00,active,True,328,0,3,False,328,True,0,12,0,2020-08-05 00:21:10,2020
220,True,2020-08-05 00:06:40+00:00,active,True,329,0,7,False,329,True,0,8,0,2020-08-05 00:21:10,2020
221,True,2020-08-04 23:52:11+00:00,active,True,330,0,13,False,330,True,0,2,0,2020-08-05 00:21:10,2020
222,True,2020-08-05 00:09:02+00:00,active,True,331,0,14,False,331,True,0,1,0,2020-08-05 00:21:10,2020
223,True,2020-08-04 23:59:13+00:00,active,True,332,0,13,False,332,True,0,2,0,2020-08-05 00:21:10,2020
224,True,2020-08-05 00:00:16+00:00,active,True,333,0,2,False,333,True,0,23,0,2020-08-05 00:21:10,2020
225,True,2020-08-04 23:33:23+00:00,active,True,334,0,8,False,334,True,0,11,0,2020-08-05 00:21:10,2020
226,True,2020-08-05 00:13:59+00:00,active,True,335,0,17,False,335,True,0,2,0,2020-08-05 00:21:10,2020
227,True,2020-08-04 23:47:53+00:00,active,True,336,0,3,False,336,True,0,12,0,2020-08-05 00:21:10,2020
228,True,2020-08-04 23:35:51+00:00,active,True,337,0,1,False,337,True,0,14,0,2020-08-05 00:21:10,2020
