,legacy_id,num_docks_available,is_installed,last_reported,station_id,num_bikes_disabled,num_docks_disabled,is_renting,is_returning,eightd_has_available_keys,num_bikes_available,station_status,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
52,60,12,True,2020-08-06 05:07:40+00:00,60,1,0,True,True,False,6,active,0,,,2020-08-06 05:31:55,2020
53,61,15,True,2020-08-06 04:32:35+00:00,61,0,0,True,True,False,4,active,0,,,2020-08-06 05:31:55,2020
54,63,11,True,2020-08-06 02:10:56+00:00,63,0,0,True,True,False,4,active,0,,,2020-08-06 05:31:55,2020
55,64,18,True,2020-08-06 02:29:18+00:00,64,0,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
56,65,17,True,2020-08-06 02:08:48+00:00,65,1,0,True,True,False,5,active,0,,,2020-08-06 05:31:55,2020
57,66,0,True,2020-08-06 02:05:39+00:00,66,0,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
58,67,27,True,2020-08-06 05:26:16+00:00,67,0,0,True,True,True,0,active,0,,,2020-08-06 05:31:55,2020
59,68,5,True,2020-08-06 04:40:48+00:00,68,1,0,True,True,True,13,active,0,,,2020-08-06 05:31:55,2020
60,69,11,True,2020-08-06 04:12:55+00:00,69,1,0,True,True,True,7,active,0,,,2020-08-06 05:31:55,2020
61,70,8,True,2020-08-06 04:06:44+00:00,70,0,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
62,71,1,True,2020-08-06 02:09:35+00:00,71,0,0,True,True,False,22,active,0,,,2020-08-06 05:31:55,2020
63,72,22,True,2020-08-06 04:50:49+00:00,72,0,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
64,73,13,True,2020-08-06 03:15:58+00:00,73,1,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
65,74,15,True,2020-08-06 05:22:57+00:00,74,0,0,True,True,True,4,active,0,,,2020-08-06 05:31:55,2020
66,75,8,True,2020-08-06 03:09:24+00:00,75,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
67,76,1,True,2020-08-06 03:37:48+00:00,76,0,0,True,True,False,16,active,0,,,2020-08-06 05:31:55,2020
68,77,3,True,2020-08-06 04:35:48+00:00,77,0,0,True,True,False,12,active,0,,,2020-08-06 05:31:55,2020
69,78,0,True,2020-08-06 03:59:51+00:00,78,1,0,True,True,False,18,active,0,,,2020-08-06 05:31:55,2020
70,79,10,True,2020-08-06 04:33:38+00:00,79,0,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
71,80,35,True,2020-08-06 03:29:44+00:00,80,0,0,True,True,False,0,active,0,,,2020-08-06 05:31:55,2020
72,81,7,True,2020-08-06 05:12:26+00:00,81,1,0,True,True,False,11,active,0,,,2020-08-06 05:31:55,2020
