,station_id,legacy_id,station_status,last_reported,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,is_renting,is_installed,timestamp_of_data_read_request,year_station_last_reported
120,135,135,active,2020-08-18 23:46:46+00:00,16,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
121,136,136,active,2020-08-18 23:02:05+00:00,18,True,1,0,0,False,0,True,True,2020-08-18 23:50:20,2020
122,137,137,active,2020-08-18 23:39:48+00:00,5,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
123,138,138,active,2020-08-18 23:05:24+00:00,6,True,1,8,0,False,0,True,True,2020-08-18 23:50:20,2020
124,139,139,active,2020-08-18 23:46:55+00:00,15,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
125,140,140,active,2020-08-18 23:42:50+00:00,6,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
126,141,141,active,2020-08-18 23:44:57+00:00,9,True,0,6,0,False,0,True,True,2020-08-18 23:50:20,2020
127,142,142,active,2020-08-18 23:49:20+00:00,7,True,0,16,0,False,0,True,True,2020-08-18 23:50:20,2020
128,143,143,active,2020-08-18 23:19:20+00:00,21,True,1,1,0,False,0,True,True,2020-08-18 23:50:20,2020
129,144,144,active,2020-08-18 23:45:27+00:00,4,True,0,15,0,False,0,True,True,2020-08-18 23:50:20,2020
130,145,145,active,2020-08-18 23:36:42+00:00,5,True,1,13,0,False,0,True,True,2020-08-18 23:50:20,2020
131,146,146,active,2020-08-18 23:46:51+00:00,5,True,2,12,0,False,0,True,True,2020-08-18 23:50:20,2020
132,149,149,active,2020-08-18 23:50:13+00:00,0,True,1,17,0,True,0,True,True,2020-08-18 23:50:20,2020
133,150,150,active,2020-08-18 23:42:48+00:00,7,True,1,11,0,False,0,True,True,2020-08-18 23:50:20,2020
134,151,151,active,2020-08-18 23:26:49+00:00,1,True,0,18,0,False,0,True,True,2020-08-18 23:50:20,2020
135,152,152,active,2020-08-18 23:49:41+00:00,2,True,0,13,0,True,0,True,True,2020-08-18 23:50:20,2020
136,156,156,active,2020-08-18 23:22:50+00:00,9,True,1,5,0,False,0,True,True,2020-08-18 23:50:20,2020
137,157,157,active,2020-08-18 23:49:34+00:00,2,True,2,11,0,False,0,True,True,2020-08-18 23:50:20,2020
138,159,159,active,2020-08-18 23:45:32+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
139,160,160,active,2020-08-18 23:42:01+00:00,14,True,0,0,0,True,0,True,True,2020-08-18 23:50:20,2020
140,161,161,active,2020-08-18 23:46:15+00:00,11,True,1,11,0,True,0,True,True,2020-08-18 23:50:20,2020
141,162,162,active,2020-08-18 22:47:09+00:00,8,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
142,163,163,active,2020-08-18 23:03:27+00:00,15,True,0,4,0,True,0,True,True,2020-08-18 23:50:20,2020
143,167,167,active,2020-08-18 23:47:34+00:00,11,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
144,169,169,active,2020-08-18 22:44:19+00:00,19,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
145,170,170,active,2020-08-18 22:24:55+00:00,14,True,0,0,0,True,0,True,True,2020-08-18 23:50:20,2020
146,171,171,active,2020-08-18 21:29:39+00:00,20,True,0,3,0,True,0,True,True,2020-08-18 23:50:20,2020
147,173,173,active,2020-08-18 23:36:47+00:00,7,True,0,7,0,True,0,True,True,2020-08-18 23:50:20,2020
148,174,174,active,2020-08-18 23:00:10+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
149,175,175,active,2020-08-18 23:48:11+00:00,10,True,1,6,0,True,0,True,True,2020-08-18 23:50:20,2020
150,176,176,active,2020-08-18 23:46:19+00:00,0,True,0,15,0,False,0,True,True,2020-08-18 23:50:20,2020
151,177,177,active,2020-08-18 23:48:05+00:00,5,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
152,178,178,active,2020-08-18 23:45:55+00:00,8,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
153,179,179,active,2020-08-18 23:45:54+00:00,9,True,0,16,0,False,0,True,True,2020-08-18 23:50:20,2020
154,180,180,active,2020-08-18 23:42:35+00:00,10,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
155,181,181,active,2020-08-18 23:11:03+00:00,11,True,0,8,0,False,0,True,True,2020-08-18 23:50:20,2020
156,182,182,active,2020-08-18 23:48:10+00:00,16,True,0,3,0,True,0,True,True,2020-08-18 23:50:20,2020
