,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
175,True,True,True,False,202,0,0,2020-08-11 08:11:59+00:00,active,11,0,4,202,,,2020-08-11 11:24:05,2020
176,True,True,True,False,203,0,0,2020-08-11 08:41:23+00:00,active,11,1,3,203,,,2020-08-11 11:24:05,2020
177,True,True,True,False,204,0,0,2020-08-11 08:51:33+00:00,active,12,0,3,204,,,2020-08-11 11:24:05,2020
178,True,True,True,False,205,0,0,2020-08-11 08:13:04+00:00,active,10,0,5,205,,,2020-08-11 11:24:05,2020
179,True,True,True,True,206,0,0,2020-08-11 11:02:39+00:00,active,23,0,0,206,,,2020-08-11 11:24:05,2020
180,True,True,True,True,208,0,0,2020-08-11 01:06:25+00:00,active,11,0,4,208,,,2020-08-11 11:24:05,2020
181,True,True,True,False,209,0,0,2020-08-11 08:53:13+00:00,active,7,0,8,209,,,2020-08-11 11:24:05,2020
182,True,True,True,False,210,0,0,2020-08-11 10:05:17+00:00,active,11,0,4,210,,,2020-08-11 11:24:05,2020
183,True,True,True,False,211,0,0,2020-08-11 10:40:45+00:00,active,13,0,6,211,,,2020-08-11 11:24:05,2020
184,True,True,True,False,212,0,0,2020-08-11 10:37:05+00:00,active,7,0,26,212,,,2020-08-11 11:24:05,2020
185,True,True,True,True,213,0,0,2020-08-11 08:56:43+00:00,active,8,0,8,213,,,2020-08-11 11:24:05,2020
186,True,True,True,False,214,0,0,2020-08-11 11:23:40+00:00,active,11,0,4,214,,,2020-08-11 11:24:05,2020
187,True,True,True,False,215,0,0,2020-08-11 08:53:10+00:00,active,8,0,7,215,,,2020-08-11 11:24:05,2020
188,True,True,True,False,216,0,0,2020-08-11 08:53:00+00:00,active,2,1,16,216,,,2020-08-11 11:24:05,2020
189,True,True,True,False,217,0,0,2020-08-11 08:27:43+00:00,active,2,0,17,217,,,2020-08-11 11:24:05,2020
190,True,True,True,False,218,0,0,2020-08-11 11:18:54+00:00,active,13,0,2,218,,,2020-08-11 11:24:05,2020
191,True,True,True,False,219,0,0,2020-08-11 08:51:53+00:00,active,9,0,6,219,,,2020-08-11 11:24:05,2020
192,True,True,True,False,221,0,0,2020-08-11 10:50:39+00:00,active,6,0,13,221,,,2020-08-11 11:24:05,2020
193,True,True,True,True,222,0,0,2020-08-11 11:07:34+00:00,active,10,0,4,222,,,2020-08-11 11:24:05,2020
194,True,True,True,False,224,0,0,2020-08-11 08:32:37+00:00,active,7,0,10,224,,,2020-08-11 11:24:05,2020
195,True,True,True,False,225,0,0,2020-08-11 11:03:06+00:00,active,5,1,13,225,,,2020-08-11 11:24:05,2020
196,True,True,True,False,226,0,0,2020-08-11 10:43:27+00:00,active,14,0,1,226,,,2020-08-11 11:24:05,2020
197,True,True,True,False,227,0,0,2020-08-11 10:47:02+00:00,active,10,0,9,227,,,2020-08-11 11:24:05,2020
198,True,True,True,False,228,0,0,2020-08-11 11:06:09+00:00,active,6,0,13,228,,,2020-08-11 11:24:05,2020
199,True,True,True,False,232,0,0,2020-08-11 01:22:39+00:00,active,3,0,8,232,,,2020-08-11 11:24:05,2020
200,True,True,True,False,233,0,0,2020-08-11 09:08:45+00:00,active,9,3,3,233,,,2020-08-11 11:24:05,2020
201,True,True,True,False,234,0,0,2020-08-11 08:36:25+00:00,active,13,0,2,234,,,2020-08-11 11:24:05,2020
202,True,True,True,False,235,0,0,2020-08-11 08:57:15+00:00,active,10,0,5,235,,,2020-08-11 11:24:05,2020
203,True,True,True,False,236,0,0,2020-08-11 11:23:02+00:00,active,4,0,11,236,,,2020-08-11 11:24:05,2020
204,True,True,True,False,239,0,0,2020-08-11 10:41:33+00:00,active,6,0,9,239,,,2020-08-11 11:24:05,2020
205,True,True,True,False,255,0,0,2020-08-11 08:41:24+00:00,active,4,0,11,255,,,2020-08-11 11:24:05,2020
206,True,True,True,False,258,0,0,2020-08-11 08:41:51+00:00,active,5,1,9,258,,,2020-08-11 11:24:05,2020
207,True,True,True,False,259,0,0,2020-08-11 08:42:57+00:00,active,0,0,15,259,,,2020-08-11 11:24:05,2020
208,True,True,True,False,260,0,0,2020-08-11 10:31:07+00:00,active,4,0,11,260,,,2020-08-11 11:24:05,2020
209,True,True,True,False,271,0,0,2020-08-11 10:44:07+00:00,active,8,0,7,271,,,2020-08-11 11:24:05,2020
210,True,True,True,False,272,0,0,2020-08-11 08:56:25+00:00,active,12,1,6,272,,,2020-08-11 11:24:05,2020
211,True,True,True,False,273,0,0,2020-08-11 10:05:37+00:00,active,21,0,19,273,,,2020-08-11 11:24:05,2020
212,True,True,True,False,279,0,0,2020-08-11 11:15:30+00:00,active,3,0,16,279,,,2020-08-11 11:24:05,2020
213,True,True,True,False,280,0,0,2020-08-11 11:01:09+00:00,active,12,0,7,280,,,2020-08-11 11:24:05,2020
214,True,True,True,False,282,0,0,2020-08-11 10:29:50+00:00,active,2,2,11,282,,,2020-08-11 11:24:05,2020
215,True,True,True,False,296,0,0,2020-08-11 11:12:17+00:00,active,10,1,12,296,,,2020-08-11 11:24:05,2020
216,True,True,True,False,318,0,0,2020-08-11 11:19:16+00:00,active,9,0,10,318,,,2020-08-11 11:24:05,2020
217,True,True,True,False,319,0,0,2020-08-11 08:56:33+00:00,active,21,0,4,319,,,2020-08-11 11:24:05,2020
218,True,True,True,False,327,0,0,2020-08-11 08:47:51+00:00,active,0,0,15,327,,,2020-08-11 11:24:05,2020
219,True,True,True,False,328,0,0,2020-08-11 08:36:21+00:00,active,14,0,1,328,,,2020-08-11 11:24:05,2020
220,True,True,True,False,329,0,0,2020-08-11 10:23:59+00:00,active,11,0,4,329,,,2020-08-11 11:24:05,2020
221,True,True,True,False,330,0,0,2020-08-11 08:56:31+00:00,active,6,0,9,330,,,2020-08-11 11:24:05,2020
222,True,True,True,False,331,0,0,2020-08-11 11:01:13+00:00,active,12,0,3,331,,,2020-08-11 11:24:05,2020
223,True,True,True,False,332,0,0,2020-08-11 11:21:35+00:00,active,6,1,8,332,,,2020-08-11 11:24:05,2020
224,True,True,True,False,333,0,0,2020-08-11 11:14:47+00:00,active,2,0,23,333,,,2020-08-11 11:24:05,2020
225,True,True,True,False,334,0,0,2020-08-11 08:51:47+00:00,active,1,0,18,334,,,2020-08-11 11:24:05,2020
226,True,True,True,False,335,0,0,2020-08-11 08:41:24+00:00,active,1,0,18,335,,,2020-08-11 11:24:05,2020
227,True,True,True,False,336,0,0,2020-08-11 08:52:49+00:00,active,0,2,13,336,,,2020-08-11 11:24:05,2020
228,True,True,True,False,337,0,0,2020-08-11 08:53:06+00:00,active,1,0,14,337,,,2020-08-11 11:24:05,2020
229,True,True,True,False,338,0,0,2020-08-11 11:19:09+00:00,active,13,0,2,338,,,2020-08-11 11:24:05,2020
230,True,True,True,False,339,0,0,2020-08-11 08:57:57+00:00,active,6,0,9,339,,,2020-08-11 11:24:05,2020
231,True,True,True,False,340,0,0,2020-08-11 11:04:47+00:00,active,1,0,18,340,,,2020-08-11 11:24:05,2020
232,True,True,True,True,341,0,0,2020-08-11 10:22:27+00:00,active,10,0,5,341,,,2020-08-11 11:24:05,2020
233,True,True,True,False,342,0,0,2020-08-11 11:23:50+00:00,active,12,0,3,342,,,2020-08-11 11:24:05,2020
234,True,True,True,False,343,0,0,2020-08-11 08:47:45+00:00,active,10,0,5,343,,,2020-08-11 11:24:05,2020
