,num_docks_available,num_docks_disabled,last_reported,num_ebikes_available,station_id,station_status,is_renting,num_bikes_disabled,is_installed,legacy_id,num_bikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
197,10,0,2020-07-29 23:17:56+00:00,0,227,active,True,0,True,227,9,True,False,,,2020-07-29 23:21:10,2020
198,9,0,2020-07-29 23:17:34+00:00,0,228,active,True,0,True,228,10,True,False,,,2020-07-29 23:21:10,2020
199,7,0,2020-07-29 23:15:59+00:00,0,232,active,True,0,True,232,4,True,False,,,2020-07-29 23:21:10,2020
200,14,0,2020-07-29 23:19:56+00:00,0,233,active,True,1,True,233,0,True,False,,,2020-07-29 23:21:10,2020
201,11,0,2020-07-29 22:13:33+00:00,0,234,active,True,0,True,234,4,True,False,,,2020-07-29 23:21:10,2020
202,7,0,2020-07-29 21:57:07+00:00,0,235,active,True,0,True,235,8,True,False,,,2020-07-29 23:21:10,2020
203,6,0,2020-07-29 23:12:36+00:00,0,236,active,True,1,True,236,8,True,False,,,2020-07-29 23:21:10,2020
204,11,0,2020-07-29 23:20:27+00:00,0,239,active,True,0,True,239,4,True,False,,,2020-07-29 23:21:10,2020
205,4,0,2020-07-29 17:50:43+00:00,0,255,active,True,0,True,255,11,True,False,,,2020-07-29 23:21:10,2020
206,7,0,2020-07-29 23:21:00+00:00,0,258,active,True,0,True,258,8,True,False,,,2020-07-29 23:21:10,2020
207,14,0,2020-07-29 22:31:42+00:00,0,259,active,True,0,True,259,1,True,False,,,2020-07-29 23:21:10,2020
208,4,0,2020-07-29 22:46:53+00:00,0,260,active,True,3,True,260,8,True,False,,,2020-07-29 23:21:10,2020
209,13,0,2020-07-29 23:10:19+00:00,0,271,active,True,1,True,271,1,True,False,,,2020-07-29 23:21:10,2020
210,11,0,2020-07-29 22:48:31+00:00,0,272,active,True,2,True,272,6,True,False,,,2020-07-29 23:21:10,2020
211,10,0,2020-07-29 22:42:25+00:00,0,273,active,True,1,True,273,29,True,False,,,2020-07-29 23:21:10,2020
212,8,0,2020-07-29 21:58:19+00:00,0,279,active,True,0,True,279,11,True,False,,,2020-07-29 23:21:10,2020
213,17,0,2020-07-29 23:03:16+00:00,0,280,active,True,0,True,280,2,True,False,,,2020-07-29 23:21:10,2020
214,5,0,2020-07-29 23:06:08+00:00,0,282,active,True,1,True,282,9,True,False,,,2020-07-29 23:21:10,2020
215,18,0,2020-07-29 23:15:09+00:00,0,296,active,True,0,True,296,5,True,False,,,2020-07-29 23:21:10,2020
216,13,0,2020-07-29 23:13:08+00:00,0,318,active,True,1,True,318,5,True,False,,,2020-07-29 23:21:10,2020
217,14,0,2020-07-29 23:00:43+00:00,0,319,active,True,0,True,319,11,True,False,,,2020-07-29 23:21:10,2020
218,0,0,2020-07-29 23:11:51+00:00,0,327,active,True,0,True,327,15,True,False,,,2020-07-29 23:21:10,2020
219,10,0,2020-07-29 23:16:27+00:00,0,328,active,True,0,True,328,5,True,False,,,2020-07-29 23:21:10,2020
220,0,0,2020-07-29 22:42:32+00:00,0,329,active,True,0,True,329,15,True,False,,,2020-07-29 23:21:10,2020
221,8,0,2020-07-29 23:03:53+00:00,0,330,active,True,0,True,330,7,True,False,,,2020-07-29 23:21:10,2020
222,6,0,2020-07-29 23:12:51+00:00,0,331,active,True,1,True,331,8,True,False,,,2020-07-29 23:21:10,2020
223,10,0,2020-07-29 23:18:59+00:00,0,332,active,True,2,True,332,3,True,False,,,2020-07-29 23:21:10,2020
224,10,0,2020-07-29 23:04:03+00:00,0,333,active,True,0,True,333,15,True,False,,,2020-07-29 23:21:10,2020
225,11,0,2020-07-29 22:43:06+00:00,0,334,active,True,0,True,334,8,True,False,,,2020-07-29 23:21:10,2020
226,12,0,2020-07-29 23:03:31+00:00,0,335,active,True,0,True,335,7,True,False,,,2020-07-29 23:21:10,2020
227,4,0,2020-07-29 21:08:19+00:00,0,336,active,True,0,True,336,11,True,False,,,2020-07-29 23:21:10,2020
228,0,0,2020-07-29 22:57:54+00:00,0,337,active,True,1,True,337,14,True,False,,,2020-07-29 23:21:10,2020
229,13,0,2020-07-29 23:10:53+00:00,0,338,active,True,0,True,338,2,True,False,,,2020-07-29 23:21:10,2020
230,3,0,2020-07-29 22:48:43+00:00,0,339,active,True,0,True,339,12,True,False,,,2020-07-29 23:21:10,2020
231,5,0,2020-07-29 15:27:12+00:00,0,340,active,True,1,True,340,13,True,False,,,2020-07-29 23:21:10,2020
232,7,0,2020-07-29 15:51:22+00:00,0,341,active,True,0,True,341,8,True,True,,,2020-07-29 23:21:10,2020
233,4,0,2020-07-29 23:19:01+00:00,0,342,active,True,0,True,342,11,True,False,,,2020-07-29 23:21:10,2020
234,10,0,2020-07-29 22:58:46+00:00,0,343,active,True,1,True,343,4,True,False,,,2020-07-29 23:21:10,2020
235,18,0,2020-07-29 21:37:22+00:00,0,344,active,True,0,True,344,1,True,False,,,2020-07-29 23:21:10,2020
