,last_reported,legacy_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,num_ebikes_available,station_status,station_id,is_renting,is_returning,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
193,2020-08-21 17:23:11+00:00,222,0,1,11,True,0,active,222,True,True,2,True,,,2020-08-21 17:23:25,2020
194,2020-08-21 17:04:51+00:00,224,0,0,2,False,0,active,224,True,True,15,True,,,2020-08-21 17:23:25,2020
195,2020-08-21 17:10:49+00:00,225,0,1,5,False,0,active,225,True,True,13,True,,,2020-08-21 17:23:25,2020
196,2020-08-21 16:32:35+00:00,226,0,0,15,False,0,active,226,True,True,0,True,,,2020-08-21 17:23:25,2020
197,2020-08-21 17:16:48+00:00,227,0,0,7,False,0,active,227,True,True,12,True,,,2020-08-21 17:23:25,2020
198,2020-08-21 14:51:35+00:00,228,0,0,15,False,0,active,228,True,True,4,True,,,2020-08-21 17:23:25,2020
199,2020-08-21 08:55:46+00:00,232,0,0,10,False,0,active,232,True,True,1,True,,,2020-08-21 17:23:25,2020
200,2020-08-21 16:50:04+00:00,233,0,0,7,False,0,active,233,True,True,8,True,,,2020-08-21 17:23:25,2020
201,2020-08-21 13:11:22+00:00,234,0,0,15,False,0,active,234,True,True,0,True,,,2020-08-21 17:23:25,2020
202,2020-08-21 16:13:58+00:00,235,0,0,6,False,0,active,235,True,True,9,True,,,2020-08-21 17:23:25,2020
203,2020-08-21 17:15:10+00:00,236,0,0,8,False,0,active,236,True,True,7,True,,,2020-08-21 17:23:25,2020
204,2020-08-21 17:19:13+00:00,239,0,1,13,False,0,active,239,True,True,1,True,,,2020-08-21 17:23:25,2020
205,2020-08-21 08:51:35+00:00,255,0,0,9,False,0,active,255,True,True,6,True,,,2020-08-21 17:23:25,2020
206,2020-08-21 11:25:57+00:00,258,0,0,2,False,0,active,258,True,True,13,True,,,2020-08-21 17:23:25,2020
207,2020-08-21 08:52:15+00:00,259,0,0,6,False,0,active,259,True,True,9,True,,,2020-08-21 17:23:25,2020
208,2020-08-21 15:42:27+00:00,260,0,0,11,False,0,active,260,True,True,4,True,,,2020-08-21 17:23:25,2020
209,2020-08-21 16:45:24+00:00,271,0,0,4,False,0,active,271,True,True,11,True,,,2020-08-21 17:23:25,2020
210,2020-08-21 10:57:50+00:00,272,0,0,11,False,0,active,272,True,True,8,True,,,2020-08-21 17:23:25,2020
211,2020-08-21 17:12:11+00:00,273,0,0,8,False,0,active,273,True,True,32,True,,,2020-08-21 17:23:25,2020
212,2020-08-21 17:15:43+00:00,279,0,0,5,False,0,active,279,True,True,14,True,,,2020-08-21 17:23:25,2020
213,2020-08-21 16:54:50+00:00,280,0,0,5,False,0,active,280,True,True,14,True,,,2020-08-21 17:23:25,2020
214,2020-08-21 16:54:04+00:00,282,0,0,13,False,0,active,282,True,True,2,True,,,2020-08-21 17:23:25,2020
215,2020-08-21 17:22:11+00:00,296,0,1,17,False,0,active,296,True,True,5,True,,,2020-08-21 17:23:25,2020
216,2020-08-21 17:08:48+00:00,318,0,0,0,False,0,active,318,True,True,19,True,,,2020-08-21 17:23:25,2020
217,2020-08-21 17:19:04+00:00,319,0,0,23,False,0,active,319,True,True,2,True,,,2020-08-21 17:23:25,2020
218,2020-08-21 17:05:03+00:00,327,0,0,15,False,0,active,327,True,True,0,True,,,2020-08-21 17:23:25,2020
