,is_returning,num_ebikes_available,is_renting,num_docks_available,station_id,station_status,is_installed,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,num_docks_disabled,last_reported,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
114,True,0,True,12,126,active,True,3,False,0,0,2020-07-27 14:47:55+00:00,126,,,2020-07-27 16:42:50,2020
115,True,0,True,8,128,active,True,10,False,1,0,2020-07-27 16:19:27+00:00,128,,,2020-07-27 16:42:50,2020
116,True,0,True,9,129,active,True,10,False,0,0,2020-07-27 15:29:51+00:00,129,,,2020-07-27 16:42:50,2020
117,True,0,True,8,130,active,True,7,False,0,0,2020-07-27 16:28:07+00:00,130,,,2020-07-27 16:42:50,2020
118,True,0,True,6,131,active,True,12,False,0,0,2020-07-27 14:13:01+00:00,131,,,2020-07-27 16:42:50,2020
119,True,0,True,16,133,active,True,7,False,0,0,2020-07-27 15:08:39+00:00,133,,,2020-07-27 16:42:50,2020
120,True,0,True,9,135,active,True,8,False,0,0,2020-07-27 12:42:49+00:00,135,,,2020-07-27 16:42:50,2020
121,True,0,True,3,136,active,True,16,False,0,0,2020-07-27 15:59:55+00:00,136,,,2020-07-27 16:42:50,2020
122,True,0,True,13,137,active,True,2,False,0,0,2020-07-27 15:48:54+00:00,137,,,2020-07-27 16:42:50,2020
123,True,0,True,3,138,active,True,10,False,2,0,2020-07-27 15:14:24+00:00,138,,,2020-07-27 16:42:50,2020
124,True,0,True,15,139,active,True,4,False,0,0,2020-07-27 16:20:03+00:00,139,,,2020-07-27 16:42:50,2020
125,True,0,True,8,140,active,True,8,False,1,0,2020-07-27 16:26:34+00:00,140,,,2020-07-27 16:42:50,2020
126,True,0,True,5,141,active,True,9,False,1,0,2020-07-27 16:35:55+00:00,141,,,2020-07-27 16:42:50,2020
127,True,0,True,2,142,active,True,21,False,0,0,2020-07-27 15:08:48+00:00,142,,,2020-07-27 16:42:50,2020
128,True,0,True,14,143,active,True,9,False,0,0,2020-07-27 16:09:56+00:00,143,,,2020-07-27 16:42:50,2020
129,True,0,True,9,144,active,True,10,False,0,0,2020-07-27 15:46:20+00:00,144,,,2020-07-27 16:42:50,2020
130,True,0,True,15,145,active,True,4,False,0,0,2020-07-27 15:59:09+00:00,145,,,2020-07-27 16:42:50,2020
131,True,0,True,8,146,active,True,8,False,3,0,2020-07-27 15:52:54+00:00,146,,,2020-07-27 16:42:50,2020
132,True,0,True,9,149,active,True,9,True,0,0,2020-07-27 16:34:49+00:00,149,,,2020-07-27 16:42:50,2020
133,True,0,True,7,150,active,True,12,False,0,0,2020-07-27 13:12:11+00:00,150,,,2020-07-27 16:42:50,2020
134,True,0,True,11,151,active,True,8,False,0,0,2020-07-27 16:29:35+00:00,151,,,2020-07-27 16:42:50,2020
135,True,0,True,11,152,active,True,4,True,0,0,2020-07-27 16:29:38+00:00,152,,,2020-07-27 16:42:50,2020
136,True,0,True,12,156,active,True,3,False,0,0,2020-07-27 14:05:57+00:00,156,,,2020-07-27 16:42:50,2020
137,True,0,True,6,157,active,True,9,False,0,0,2020-07-27 16:35:28+00:00,157,,,2020-07-27 16:42:50,2020
138,True,0,True,12,159,active,True,2,False,1,0,2020-07-27 15:43:03+00:00,159,,,2020-07-27 16:42:50,2020
139,True,0,True,11,160,active,True,3,True,0,0,2020-07-27 08:59:00+00:00,160,,,2020-07-27 16:42:50,2020
140,True,0,True,15,161,active,True,7,True,1,0,2020-07-27 16:38:19+00:00,161,,,2020-07-27 16:42:50,2020
141,True,0,True,4,162,active,True,11,False,0,0,2020-07-27 14:09:23+00:00,162,,,2020-07-27 16:42:50,2020
142,True,0,True,11,163,active,True,8,True,0,0,2020-07-27 16:41:14+00:00,163,,,2020-07-27 16:42:50,2020
143,True,0,True,2,167,active,True,11,False,2,0,2020-07-27 15:48:15+00:00,167,,,2020-07-27 16:42:50,2020
144,True,0,True,11,169,active,True,8,False,0,0,2020-07-27 16:32:12+00:00,169,,,2020-07-27 16:42:50,2020
145,True,0,True,14,170,active,True,0,True,0,0,2020-07-27 14:16:26+00:00,170,,,2020-07-27 16:42:50,2020
146,True,0,True,19,171,active,True,4,True,0,0,2020-07-27 13:53:24+00:00,171,,,2020-07-27 16:42:50,2020
147,True,0,True,1,173,active,True,12,True,1,0,2020-07-27 12:43:58+00:00,173,,,2020-07-27 16:42:50,2020
148,True,0,True,5,174,active,True,9,False,1,0,2020-07-27 14:43:34+00:00,174,,,2020-07-27 16:42:50,2020
149,True,0,True,17,175,active,True,0,True,0,0,2020-07-27 12:05:23+00:00,175,,,2020-07-27 16:42:50,2020
150,True,0,True,4,176,active,True,11,False,0,0,2020-07-27 16:17:04+00:00,176,,,2020-07-27 16:42:50,2020
151,True,0,True,10,177,active,True,8,False,1,0,2020-07-27 16:22:53+00:00,177,,,2020-07-27 16:42:50,2020
152,True,0,True,17,178,active,True,2,False,0,0,2020-07-27 15:59:40+00:00,178,,,2020-07-27 16:42:50,2020
153,True,0,True,17,179,active,True,8,False,0,0,2020-07-27 16:34:41+00:00,179,,,2020-07-27 16:42:50,2020
154,True,0,True,10,180,active,True,9,False,0,0,2020-07-27 15:43:15+00:00,180,,,2020-07-27 16:42:50,2020
155,True,0,True,8,181,active,True,11,False,0,0,2020-07-27 12:57:16+00:00,181,,,2020-07-27 16:42:50,2020
156,True,0,True,15,182,active,True,3,True,1,0,2020-07-27 16:15:44+00:00,182,,,2020-07-27 16:42:50,2020
157,True,0,True,11,183,active,True,8,False,0,0,2020-07-27 16:09:53+00:00,183,,,2020-07-27 16:42:50,2020
158,True,0,True,16,184,active,True,3,False,0,0,2020-07-27 16:21:23+00:00,184,,,2020-07-27 16:42:50,2020
159,True,0,True,7,185,active,True,8,False,0,0,2020-07-27 16:35:59+00:00,185,,,2020-07-27 16:42:50,2020
160,True,0,True,4,186,active,True,9,True,2,0,2020-07-27 16:35:00+00:00,186,,,2020-07-27 16:42:50,2020
161,True,0,True,12,187,active,True,3,False,0,0,2020-07-27 15:45:03+00:00,187,,,2020-07-27 16:42:50,2020
162,True,0,True,1,188,active,True,14,False,0,0,2020-07-27 16:14:18+00:00,188,,,2020-07-27 16:42:50,2020
163,True,0,True,12,189,active,True,11,True,0,0,2020-07-27 16:18:11+00:00,189,,,2020-07-27 16:42:50,2020
164,True,0,True,27,190,active,True,8,True,2,0,2020-07-27 16:23:52+00:00,190,,,2020-07-27 16:42:50,2020
165,True,0,True,11,191,active,True,4,False,0,0,2020-07-27 16:03:45+00:00,191,,,2020-07-27 16:42:50,2020
166,True,0,True,7,192,active,True,12,False,0,0,2020-07-27 16:23:54+00:00,192,,,2020-07-27 16:42:50,2020
167,True,0,True,9,193,active,True,6,True,0,0,2020-07-27 16:33:41+00:00,193,,,2020-07-27 16:42:50,2020
168,True,0,True,10,194,active,True,9,False,0,0,2020-07-27 16:20:26+00:00,194,,,2020-07-27 16:42:50,2020
169,True,0,True,13,195,active,True,10,False,0,0,2020-07-27 16:32:48+00:00,195,,,2020-07-27 16:42:50,2020
170,True,0,True,9,196,active,True,1,True,0,0,2020-07-27 15:01:39+00:00,196,,,2020-07-27 16:42:50,2020
