,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_installed,is_renting,station_status,station_id,num_bikes_available,legacy_id,num_ebikes_available,is_returning,last_reported,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
78,False,0,6,True,True,active,89,13,89,0,True,2020-07-31 12:35:31+00:00,0,,,2020-07-31 12:49:05,2020
79,False,0,12,True,True,active,90,7,90,0,True,2020-07-31 12:38:45+00:00,0,,,2020-07-31 12:49:05,2020
80,False,1,14,True,True,active,91,4,91,0,True,2020-07-31 12:45:35+00:00,0,,,2020-07-31 12:49:05,2020
81,False,1,5,True,True,active,92,13,92,0,True,2020-07-31 12:45:18+00:00,0,,,2020-07-31 12:49:05,2020
82,False,2,3,True,True,active,93,10,93,0,True,2020-07-31 12:37:19+00:00,0,,,2020-07-31 12:49:05,2020
83,False,0,5,True,True,active,94,6,94,0,True,2020-07-31 12:41:49+00:00,0,,,2020-07-31 12:49:05,2020
84,False,1,2,True,True,active,95,12,95,0,True,2020-07-31 12:48:12+00:00,0,,,2020-07-31 12:49:05,2020
85,False,0,9,True,True,active,96,10,96,0,True,2020-07-31 12:38:15+00:00,0,,,2020-07-31 12:49:05,2020
86,False,0,9,True,True,active,97,10,97,0,True,2020-07-31 12:08:06+00:00,0,,,2020-07-31 12:49:05,2020
87,False,0,14,True,True,active,98,8,98,0,True,2020-07-31 12:48:54+00:00,0,,,2020-07-31 12:49:05,2020
88,False,0,3,True,True,active,99,12,99,0,True,2020-07-31 12:48:07+00:00,0,,,2020-07-31 12:49:05,2020
89,True,1,10,True,True,active,100,14,100,0,True,2020-07-31 12:34:51+00:00,0,,,2020-07-31 12:49:05,2020
90,False,0,14,True,True,active,101,1,101,0,True,2020-07-31 12:41:50+00:00,0,,,2020-07-31 12:49:05,2020
91,False,0,8,True,True,active,102,7,102,0,True,2020-07-31 11:14:41+00:00,0,,,2020-07-31 12:49:05,2020
92,False,1,10,True,True,active,103,4,103,0,True,2020-07-31 12:20:30+00:00,0,,,2020-07-31 12:49:05,2020
93,False,0,3,True,True,active,104,16,104,0,True,2020-07-31 12:33:51+00:00,0,,,2020-07-31 12:49:05,2020
94,False,0,13,True,True,active,105,6,105,0,True,2020-07-31 12:28:39+00:00,0,,,2020-07-31 12:49:05,2020
95,False,0,8,True,True,active,106,7,106,0,True,2020-07-31 12:28:21+00:00,0,,,2020-07-31 12:49:05,2020
96,False,0,11,True,True,active,107,8,107,0,True,2020-07-31 12:48:39+00:00,0,,,2020-07-31 12:49:05,2020
97,False,0,6,True,True,active,108,11,108,0,True,2020-07-31 08:06:29+00:00,0,,,2020-07-31 12:49:05,2020
98,False,2,8,True,True,active,109,25,109,0,True,2020-07-31 00:13:00+00:00,0,,,2020-07-31 12:49:05,2020
99,False,1,5,True,True,active,110,9,110,0,True,2020-07-31 12:36:00+00:00,0,,,2020-07-31 12:49:05,2020
100,False,0,14,True,True,active,111,1,111,0,True,2020-07-31 12:35:48+00:00,0,,,2020-07-31 12:49:05,2020
101,False,0,11,True,True,active,112,4,112,0,True,2020-07-31 11:43:35+00:00,0,,,2020-07-31 12:49:05,2020
102,False,0,10,True,True,active,113,5,113,0,True,2020-07-31 12:32:35+00:00,0,,,2020-07-31 12:49:05,2020
103,False,0,9,True,True,active,114,6,114,0,True,2020-07-31 04:15:25+00:00,0,,,2020-07-31 12:49:05,2020
104,False,1,14,True,True,active,115,4,115,0,True,2020-07-31 12:20:35+00:00,0,,,2020-07-31 12:49:05,2020
105,False,0,11,True,True,active,116,12,116,0,True,2020-07-31 12:47:58+00:00,0,,,2020-07-31 12:49:05,2020
106,False,2,3,True,True,active,117,14,117,0,True,2020-07-31 11:51:35+00:00,0,,,2020-07-31 12:49:05,2020
107,False,1,13,True,True,active,118,5,118,0,True,2020-07-31 11:44:57+00:00,0,,,2020-07-31 12:49:05,2020
108,False,0,12,True,True,active,119,3,119,0,True,2020-07-31 12:48:26+00:00,0,,,2020-07-31 12:49:05,2020
109,False,2,13,True,True,active,120,0,120,0,True,2020-07-31 12:36:39+00:00,0,,,2020-07-31 12:49:05,2020
110,False,0,8,True,True,active,121,9,121,0,True,2020-07-31 12:38:49+00:00,0,,,2020-07-31 12:49:05,2020
111,False,1,2,True,True,active,122,12,122,0,True,2020-07-31 11:59:56+00:00,0,,,2020-07-31 12:49:05,2020
112,False,0,10,True,True,active,124,5,124,0,True,2020-07-31 08:06:05+00:00,0,,,2020-07-31 12:49:05,2020
113,False,0,14,True,True,active,125,1,125,0,True,2020-07-31 12:38:23+00:00,0,,,2020-07-31 12:49:05,2020
114,False,1,6,True,True,active,126,8,126,0,True,2020-07-31 12:13:26+00:00,0,,,2020-07-31 12:49:05,2020
115,False,0,5,True,True,active,128,14,128,0,True,2020-07-31 12:21:11+00:00,0,,,2020-07-31 12:49:05,2020
116,False,0,9,True,True,active,129,10,129,0,True,2020-07-31 12:40:29+00:00,0,,,2020-07-31 12:49:05,2020
117,False,0,2,True,True,active,130,13,130,0,True,2020-07-31 08:56:24+00:00,0,,,2020-07-31 12:49:05,2020
118,False,3,6,True,True,active,131,9,131,0,True,2020-07-31 12:14:48+00:00,0,,,2020-07-31 12:49:05,2020
119,False,0,7,True,True,active,133,16,133,0,True,2020-07-31 12:21:53+00:00,0,,,2020-07-31 12:49:05,2020
120,False,0,13,True,True,active,135,4,135,0,True,2020-07-31 12:47:59+00:00,0,,,2020-07-31 12:49:05,2020
121,False,0,5,True,True,active,136,14,136,0,True,2020-07-31 12:27:11+00:00,0,,,2020-07-31 12:49:05,2020
122,False,0,7,True,True,active,137,8,137,0,True,2020-07-31 12:44:13+00:00,0,,,2020-07-31 12:49:05,2020
123,False,1,3,True,True,active,138,11,138,0,True,2020-07-31 12:15:47+00:00,0,,,2020-07-31 12:49:05,2020
124,False,1,6,True,True,active,139,12,139,0,True,2020-07-31 12:45:44+00:00,0,,,2020-07-31 12:49:05,2020
125,False,0,14,True,True,active,140,3,140,0,True,2020-07-31 12:45:03+00:00,0,,,2020-07-31 12:49:05,2020
126,False,1,9,True,True,active,141,5,141,0,True,2020-07-31 10:18:18+00:00,0,,,2020-07-31 12:49:05,2020
127,False,1,5,True,True,active,142,17,142,0,True,2020-07-31 12:45:39+00:00,0,,,2020-07-31 12:49:05,2020
128,False,1,4,True,True,active,143,18,143,0,True,2020-07-31 11:59:25+00:00,0,,,2020-07-31 12:49:05,2020
129,False,0,14,True,True,active,144,5,144,0,True,2020-07-31 08:46:26+00:00,0,,,2020-07-31 12:49:05,2020
130,False,0,10,True,True,active,145,9,145,0,True,2020-07-31 11:49:30+00:00,0,,,2020-07-31 12:49:05,2020
131,False,0,6,True,True,active,146,13,146,0,True,2020-07-31 12:24:53+00:00,0,,,2020-07-31 12:49:05,2020
132,True,0,17,True,True,active,149,1,149,0,True,2020-07-31 12:28:37+00:00,0,,,2020-07-31 12:49:05,2020
133,False,1,1,True,True,active,150,17,150,0,True,2020-07-31 12:43:55+00:00,0,,,2020-07-31 12:49:05,2020
134,False,2,8,True,True,active,151,9,151,0,True,2020-07-31 12:48:42+00:00,0,,,2020-07-31 12:49:05,2020
135,True,0,1,True,True,active,152,14,152,0,True,2020-07-31 12:26:08+00:00,0,,,2020-07-31 12:49:05,2020
136,False,0,11,True,True,active,156,4,156,0,True,2020-07-31 12:11:32+00:00,0,,,2020-07-31 12:49:05,2020
137,False,1,10,True,True,active,157,4,157,0,True,2020-07-31 12:45:44+00:00,0,,,2020-07-31 12:49:05,2020
138,False,1,9,True,True,active,159,5,159,0,True,2020-07-31 12:30:53+00:00,0,,,2020-07-31 12:49:05,2020
139,True,0,5,True,True,active,160,9,160,0,True,2020-07-31 12:00:22+00:00,0,,,2020-07-31 12:49:05,2020
140,True,0,15,True,True,active,161,8,161,0,True,2020-07-31 12:32:09+00:00,0,,,2020-07-31 12:49:05,2020
141,False,0,9,True,True,active,162,6,162,0,True,2020-07-31 11:31:27+00:00,0,,,2020-07-31 12:49:05,2020
142,True,0,14,True,True,active,163,5,163,0,True,2020-07-31 12:09:47+00:00,0,,,2020-07-31 12:49:05,2020
143,False,0,1,True,True,active,167,14,167,0,True,2020-07-31 10:24:38+00:00,0,,,2020-07-31 12:49:05,2020
144,False,0,11,True,True,active,169,8,169,0,True,2020-07-31 12:38:49+00:00,0,,,2020-07-31 12:49:05,2020
145,True,0,13,True,True,active,170,1,170,0,True,2020-07-31 08:17:07+00:00,0,,,2020-07-31 12:49:05,2020
146,True,0,17,True,True,active,171,6,171,0,True,2020-07-31 08:16:19+00:00,0,,,2020-07-31 12:49:05,2020
147,True,3,6,True,True,active,173,5,173,0,True,2020-07-31 12:14:50+00:00,0,,,2020-07-31 12:49:05,2020
148,False,0,2,True,True,active,174,13,174,0,True,2020-07-31 12:04:08+00:00,0,,,2020-07-31 12:49:05,2020
149,True,0,5,True,True,active,175,12,175,0,True,2020-07-31 12:35:45+00:00,0,,,2020-07-31 12:49:05,2020
150,False,0,3,True,True,active,176,12,176,0,True,2020-07-31 12:39:40+00:00,0,,,2020-07-31 12:49:05,2020
151,False,0,15,True,True,active,177,4,177,0,True,2020-07-31 12:43:24+00:00,0,,,2020-07-31 12:49:05,2020
152,False,0,8,True,True,active,178,11,178,0,True,2020-07-31 12:11:17+00:00,0,,,2020-07-31 12:49:05,2020
153,False,0,9,True,True,active,179,16,179,0,True,2020-07-31 12:39:44+00:00,0,,,2020-07-31 12:49:05,2020
154,False,0,6,True,True,active,180,13,180,0,True,2020-07-31 12:42:17+00:00,0,,,2020-07-31 12:49:05,2020
155,False,1,17,True,True,active,181,1,181,0,True,2020-07-31 12:07:14+00:00,0,,,2020-07-31 12:49:05,2020
156,True,1,9,True,True,active,182,9,182,0,True,2020-07-31 08:52:01+00:00,0,,,2020-07-31 12:49:05,2020
157,False,0,15,True,True,active,183,4,183,0,True,2020-07-31 12:38:56+00:00,0,,,2020-07-31 12:49:05,2020
158,False,0,4,True,True,active,184,15,184,0,True,2020-07-31 12:39:59+00:00,0,,,2020-07-31 12:49:05,2020
159,False,0,8,True,True,active,185,7,185,0,True,2020-07-31 12:46:46+00:00,0,,,2020-07-31 12:49:05,2020
160,True,0,6,True,True,active,186,9,186,0,True,2020-07-31 12:21:15+00:00,0,,,2020-07-31 12:49:05,2020
161,False,0,2,True,True,active,187,13,187,0,True,2020-07-31 12:01:58+00:00,0,,,2020-07-31 12:49:05,2020
162,False,0,5,True,True,active,188,10,188,0,True,2020-07-31 12:48:32+00:00,0,,,2020-07-31 12:49:05,2020
163,True,0,15,True,True,active,189,8,189,0,True,2020-07-31 12:32:10+00:00,0,,,2020-07-31 12:49:05,2020
164,True,2,10,True,True,active,190,25,190,0,True,2020-07-31 12:39:53+00:00,0,,,2020-07-31 12:49:05,2020
165,False,0,12,True,True,active,191,3,191,0,True,2020-07-31 08:21:42+00:00,0,,,2020-07-31 12:49:05,2020
166,False,1,8,True,True,active,192,10,192,0,True,2020-07-31 12:45:01+00:00,0,,,2020-07-31 12:49:05,2020
167,True,0,5,True,True,active,193,10,193,0,True,2020-07-31 11:50:07+00:00,0,,,2020-07-31 12:49:05,2020
168,False,0,4,True,True,active,194,15,194,0,True,2020-07-31 08:31:22+00:00,0,,,2020-07-31 12:49:05,2020
169,False,0,10,True,True,active,195,13,195,0,True,2020-07-31 12:43:56+00:00,0,,,2020-07-31 12:49:05,2020
170,True,1,8,True,True,active,196,1,196,0,True,2020-07-31 12:31:56+00:00,0,,,2020-07-31 12:49:05,2020
171,False,0,12,True,True,active,197,3,197,0,True,2020-07-31 11:40:17+00:00,0,,,2020-07-31 12:49:05,2020
172,False,0,7,True,True,active,199,8,199,0,True,2020-07-31 08:36:09+00:00,0,,,2020-07-31 12:49:05,2020
173,False,0,8,True,True,active,200,11,200,0,True,2020-07-31 12:34:04+00:00,0,,,2020-07-31 12:49:05,2020
174,False,0,15,True,True,active,201,0,201,0,True,2020-07-31 08:12:47+00:00,0,,,2020-07-31 12:49:05,2020
175,False,0,13,True,True,active,202,2,202,0,True,2020-07-31 08:12:10+00:00,0,,,2020-07-31 12:49:05,2020
176,False,0,7,True,True,active,203,8,203,0,True,2020-07-31 12:41:50+00:00,0,,,2020-07-31 12:49:05,2020
177,False,0,8,True,True,active,204,7,204,0,True,2020-07-31 12:36:47+00:00,0,,,2020-07-31 12:49:05,2020
178,False,0,7,True,True,active,205,8,205,0,True,2020-07-31 08:31:57+00:00,0,,,2020-07-31 12:49:05,2020
179,False,0,17,True,True,active,206,6,206,0,True,2020-07-31 12:26:39+00:00,0,,,2020-07-31 12:49:05,2020
180,True,0,3,True,True,active,208,12,208,0,True,2020-07-31 04:01:54+00:00,0,,,2020-07-31 12:49:05,2020
181,False,1,2,True,True,active,209,12,209,0,True,2020-07-31 08:20:52+00:00,0,,,2020-07-31 12:49:05,2020
182,False,0,13,True,True,active,210,2,210,0,True,2020-07-31 12:46:10+00:00,0,,,2020-07-31 12:49:05,2020
183,False,1,1,True,True,active,211,17,211,0,True,2020-07-31 08:06:57+00:00,0,,,2020-07-31 12:49:05,2020
184,False,0,20,True,True,active,212,13,212,0,True,2020-07-31 10:33:07+00:00,0,,,2020-07-31 12:49:05,2020
185,True,0,13,True,True,active,213,3,213,0,True,2020-07-31 04:40:28+00:00,0,,,2020-07-31 12:49:05,2020
186,False,0,10,True,True,active,214,5,214,0,True,2020-07-31 11:24:37+00:00,0,,,2020-07-31 12:49:05,2020
187,False,0,1,True,True,active,215,14,215,0,True,2020-07-31 08:57:51+00:00,0,,,2020-07-31 12:49:05,2020
188,False,0,3,True,True,active,216,16,216,0,True,2020-07-31 08:26:03+00:00,0,,,2020-07-31 12:49:05,2020
189,False,0,16,True,True,active,217,3,217,0,True,2020-07-31 08:28:50+00:00,0,,,2020-07-31 12:49:05,2020
190,False,0,10,True,True,active,218,5,218,0,True,2020-07-31 12:46:58+00:00,0,,,2020-07-31 12:49:05,2020
191,False,1,6,True,True,active,219,8,219,0,True,2020-07-31 08:46:14+00:00,0,,,2020-07-31 12:49:05,2020
192,False,0,12,True,True,active,221,7,221,0,True,2020-07-31 12:22:51+00:00,0,,,2020-07-31 12:49:05,2020
193,True,0,11,True,True,active,222,3,222,0,True,2020-07-31 12:19:16+00:00,0,,,2020-07-31 12:49:05,2020
194,False,0,4,True,True,active,224,13,224,0,True,2020-07-31 11:00:52+00:00,0,,,2020-07-31 12:49:05,2020
195,False,0,1,True,True,active,225,18,225,0,True,2020-07-31 12:48:48+00:00,0,,,2020-07-31 12:49:05,2020
196,False,0,4,True,True,active,226,11,226,0,True,2020-07-31 12:38:04+00:00,0,,,2020-07-31 12:49:05,2020
197,False,1,10,True,True,active,227,8,227,0,True,2020-07-31 12:00:13+00:00,0,,,2020-07-31 12:49:05,2020
198,False,0,15,True,True,active,228,4,228,0,True,2020-07-31 12:10:57+00:00,0,,,2020-07-31 12:49:05,2020
199,False,0,7,True,True,active,232,4,232,0,True,2020-07-31 08:16:55+00:00,0,,,2020-07-31 12:49:05,2020
200,False,1,13,True,True,active,233,1,233,0,True,2020-07-31 08:27:33+00:00,0,,,2020-07-31 12:49:05,2020
201,False,0,8,True,True,active,234,7,234,0,True,2020-07-31 12:48:41+00:00,0,,,2020-07-31 12:49:05,2020
202,False,0,5,True,True,active,235,10,235,0,True,2020-07-31 09:23:29+00:00,0,,,2020-07-31 12:49:05,2020
203,False,0,6,True,True,active,236,9,236,0,True,2020-07-31 11:24:33+00:00,0,,,2020-07-31 12:49:05,2020
204,False,1,10,True,True,active,239,4,239,0,True,2020-07-31 12:46:40+00:00,0,,,2020-07-31 12:49:05,2020
205,False,0,2,True,True,active,255,13,255,0,True,2020-07-31 08:32:06+00:00,0,,,2020-07-31 12:49:05,2020
206,False,0,5,True,True,active,258,10,258,0,True,2020-07-31 11:35:57+00:00,0,,,2020-07-31 12:49:05,2020
207,False,0,15,True,True,active,259,0,259,0,True,2020-07-31 08:31:40+00:00,0,,,2020-07-31 12:49:05,2020
208,False,0,11,True,True,active,260,4,260,0,True,2020-07-31 08:36:20+00:00,0,,,2020-07-31 12:49:05,2020
209,False,0,15,True,True,active,271,0,271,0,True,2020-07-31 09:52:39+00:00,0,,,2020-07-31 12:49:05,2020
210,False,2,10,True,True,active,272,7,272,0,True,2020-07-31 12:24:46+00:00,0,,,2020-07-31 12:49:05,2020
211,False,0,14,True,True,active,273,26,273,0,True,2020-07-31 12:05:30+00:00,0,,,2020-07-31 12:49:05,2020
212,False,0,12,True,True,active,279,7,279,0,True,2020-07-31 08:42:26+00:00,0,,,2020-07-31 12:49:05,2020
213,False,1,12,True,True,active,280,6,280,0,True,2020-07-31 12:29:03+00:00,0,,,2020-07-31 12:49:05,2020
214,False,2,1,True,True,active,282,12,282,0,True,2020-07-31 12:39:09+00:00,0,,,2020-07-31 12:49:05,2020
215,False,1,7,True,True,active,296,15,296,0,True,2020-07-31 12:46:51+00:00,0,,,2020-07-31 12:49:05,2020
