,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,data_read_timestamp,year_station_last_reported
113,125,5,0,0,10,0,True,True,True,2020-03-11 20:09:43+00:00,False,,2020-03-11 20:18:33,2020
114,126,1,0,0,14,0,True,True,True,2020-03-11 20:09:54+00:00,False,,2020-03-11 20:18:33,2020
115,128,0,0,0,19,0,False,False,False,2019-11-07 14:52:43+00:00,False,,2020-03-11 20:18:33,2019
116,129,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
117,130,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
118,131,8,0,0,10,0,True,True,True,2020-03-11 19:56:37+00:00,True,,2020-03-11 20:18:33,2020
119,133,14,0,1,8,0,True,True,True,2020-03-11 20:07:53+00:00,False,,2020-03-11 20:18:33,2020
120,134,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
121,135,13,0,0,4,0,True,True,True,2020-03-11 19:52:33+00:00,False,,2020-03-11 20:18:33,2020
122,136,7,0,1,11,0,True,True,True,2020-03-11 20:04:21+00:00,False,,2020-03-11 20:18:33,2020
123,137,1,0,1,13,0,True,True,True,2020-03-11 18:27:13+00:00,False,,2020-03-11 20:18:33,2020
124,138,13,0,2,0,0,True,True,True,2020-03-11 20:10:21+00:00,False,,2020-03-11 20:18:33,2020
125,139,4,0,0,15,0,True,True,True,2020-03-11 19:46:56+00:00,False,,2020-03-11 20:18:33,2020
126,140,7,0,0,10,0,True,True,True,2020-03-11 19:19:40+00:00,False,,2020-03-11 20:18:33,2020
127,141,11,0,0,4,0,True,True,True,2020-03-11 20:12:44+00:00,False,,2020-03-11 20:18:33,2020
128,142,3,0,0,20,0,True,True,True,2020-03-11 20:10:17+00:00,False,,2020-03-11 20:18:33,2020
129,143,22,0,1,0,0,True,True,True,2020-03-11 19:32:49+00:00,False,,2020-03-11 20:18:33,2020
130,144,13,0,0,6,0,True,True,True,2020-03-11 18:56:10+00:00,False,,2020-03-11 20:18:33,2020
131,145,1,0,1,17,0,True,True,True,2020-03-11 19:26:58+00:00,False,,2020-03-11 20:18:33,2020
132,146,6,0,0,13,0,True,True,True,2020-03-11 18:33:12+00:00,False,,2020-03-11 20:18:33,2020
133,149,2,0,1,15,0,True,True,True,2020-03-11 20:15:05+00:00,True,,2020-03-11 20:18:33,2020
134,150,18,0,0,1,0,True,True,True,2020-03-11 20:02:17+00:00,False,,2020-03-11 20:18:33,2020
135,151,12,0,1,6,0,True,True,True,2020-03-11 20:03:50+00:00,False,,2020-03-11 20:18:33,2020
136,152,6,0,1,8,0,True,True,True,2020-03-11 18:54:21+00:00,False,,2020-03-11 20:18:33,2020
137,156,2,0,0,13,0,True,True,True,2020-03-11 12:37:22+00:00,False,,2020-03-11 20:18:33,2020
138,157,6,0,0,9,0,True,True,True,2020-03-11 20:13:36+00:00,False,,2020-03-11 20:18:33,2020
139,159,3,0,0,12,0,True,True,True,2020-03-11 19:27:16+00:00,False,,2020-03-11 20:18:33,2020
140,160,6,0,0,8,0,True,True,True,2020-03-11 20:12:49+00:00,True,,2020-03-11 20:18:33,2020
141,161,11,0,0,12,0,True,True,True,2020-03-11 19:16:43+00:00,True,,2020-03-11 20:18:33,2020
142,162,3,0,0,12,0,True,True,True,2020-03-11 08:14:32+00:00,False,,2020-03-11 20:18:33,2020
143,163,12,0,0,7,0,True,True,True,2020-03-11 19:10:51+00:00,True,,2020-03-11 20:18:33,2020
144,167,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
145,169,6,0,1,12,0,True,True,True,2020-03-11 19:08:08+00:00,False,,2020-03-11 20:18:33,2020
146,170,0,0,0,14,0,True,True,True,2020-03-11 08:50:03+00:00,True,,2020-03-11 20:18:33,2020
147,171,4,0,1,18,0,True,True,True,2020-03-11 20:18:22+00:00,False,,2020-03-11 20:18:33,2020
148,173,12,0,0,2,0,True,True,True,2020-03-11 19:39:11+00:00,True,,2020-03-11 20:18:33,2020
149,174,5,0,0,10,0,True,True,True,2020-03-11 18:36:54+00:00,False,,2020-03-11 20:18:33,2020
150,175,8,0,0,9,0,True,True,True,2020-03-11 20:16:30+00:00,True,,2020-03-11 20:18:33,2020
151,176,1,0,1,13,0,True,True,True,2020-03-11 20:15:46+00:00,False,,2020-03-11 20:18:33,2020
152,177,7,0,0,12,0,True,True,True,2020-03-11 20:14:56+00:00,False,,2020-03-11 20:18:33,2020
